"TIME","GEO","UNIT","Value"
"2016","Ireland","Percentage of government expenditure","0.95"
"2016","Greece","Percentage of government expenditure","1.09"
"2016","Spain","Percentage of government expenditure","1.28"
"2016","France","Percentage of government expenditure","1.11"
"2016","Croatia","Percentage of government expenditure","1.55"
"2016","Italy","Percentage of government expenditure","1.05"
"2016","Cyprus","Percentage of government expenditure","0.84"
"2016","Latvia","Percentage of government expenditure","0.55"
"2016","Lithuania","Percentage of government expenditure","0.92"
"2016","Luxembourg","Percentage of government expenditure","1.49"
"2016","Hungary","Percentage of government expenditure","0.83"
"2016","Malta","Percentage of government expenditure","0.54"
"2016","Netherlands","Percentage of government expenditure","1.6"
"2016","Austria","Percentage of government expenditure","1.61"
"2016","Poland","Percentage of government expenditure","0.8"
"2016","Portugal","Percentage of government expenditure","0.85"
"2016","Romania","Percentage of government expenditure","0.81"
"2016","Slovenia","Percentage of government expenditure","0.87"
"2016","Slovakia","Percentage of government expenditure","0.87"
"2016","Finland","Percentage of government expenditure","1.52"
"2016","Sweden","Percentage of government expenditure","1.57"
"2016","Iceland","Percentage of government expenditure","2"
"2016","Norway","Percentage of government expenditure","1.94"
"2016","Switzerland","Percentage of government expenditure",":"
"2016","United Kingdom","Percentage of government expenditure","1.24"
"2016","Turkey","Percentage of government expenditure",":"
"2016","Russia","Percentage of government expenditure",":"
"2016","United States","Percentage of government expenditure",":"
"2016","Japan","Percentage of government expenditure",":"
"2016","South Korea","Percentage of government expenditure",":"
"2017","Belgium","Percentage of government expenditure","1.27"
"2017","Bulgaria","Percentage of government expenditure","0.6"
"2017","Czechia","Percentage of government expenditure","1.54"
"2017","Denmark","Percentage of government expenditure","1.75"
"2017","Germany (until 1990 former territory of the FRG)","Percentage of government expenditure","2.09"
"2017","Estonia","Percentage of government expenditure","1.53"
"2017","Ireland","Percentage of government expenditure","0.95"
"2017","Greece","Percentage of government expenditure","1.03"
"2017","Spain","Percentage of government expenditure","1.25"
"2017","France","Percentage of government expenditure","1.14"
"2017","Croatia","Percentage of government expenditure","1.59"
"2017","Italy","Percentage of government expenditure","1.04"
"2017","Cyprus","Percentage of government expenditure","0.84"
"2017","Latvia","Percentage of government expenditure","0.57"
"2017","Lithuania","Percentage of government expenditure","0.94"
"2017","Luxembourg","Percentage of government expenditure","1.45"
"2017","Hungary","Percentage of government expenditure","0.74"
"2017","Malta","Percentage of government expenditure","0.53"
"2017","Netherlands","Percentage of government expenditure","1.58"
"2017","Austria","Percentage of government expenditure","1.59"
"2017","Poland","Percentage of government expenditure","0.87"
"2017","Portugal","Percentage of government expenditure","0.82"
"2017","Romania","Percentage of government expenditure","0.56"
"2017","Slovenia","Percentage of government expenditure","0.9"
"2017","Slovakia","Percentage of government expenditure","0.92"
"2017","Finland","Percentage of government expenditure","1.55"
"2017","Sweden","Percentage of government expenditure","1.61"
"2017","Iceland","Percentage of government expenditure","2.13"
"2017","Norway","Percentage of government expenditure","2.04"
"2017","Switzerland","Percentage of government expenditure","2.97"
"2017","United Kingdom","Percentage of government expenditure","1.27"
"2017","Turkey","Percentage of government expenditure",":"
"2017","Russia","Percentage of government expenditure",":"
"2017","United States","Percentage of government expenditure",":"
"2017","Japan","Percentage of government expenditure",":"
"2017","South Korea","Percentage of government expenditure",":"
"2018","Belgium","Percentage of government expenditure","1.21"
"2018","Bulgaria","Percentage of government expenditure","0.55"
"2018","Czechia","Percentage of government expenditure","1.52"
"2018","Denmark","Percentage of government expenditure","1.76"
"2018","Germany (until 1990 former territory of the FRG)","Percentage of government expenditure","2.13"
"2018","Estonia","Percentage of government expenditure","1.79"
"2018","Ireland","Percentage of government expenditure","0.93"
"2018","Greece","Percentage of government expenditure","1.28"
"2018","Spain","Percentage of government expenditure","1.25"
"2018","France","Percentage of government expenditure","1.18"
"2018","Croatia","Percentage of government expenditure","1.65"
"2018","Italy","Percentage of government expenditure","1.05"
"2018","Cyprus","Percentage of government expenditure","0.73"
"2018","Latvia","Percentage of government expenditure","0.56"
"2018","Lithuania","Percentage of government expenditure","0.86"
"2018","Luxembourg","Percentage of government expenditure","1.4"
"2018","Hungary","Percentage of government expenditure","0.65"
"2018","Malta","Percentage of government expenditure","0.56"
"2018","Netherlands","Percentage of government expenditure","1.69"
"2018","Austria","Percentage of government expenditure","1.55"
"2018","Poland","Percentage of government expenditure","0.69"
"2018","Portugal","Percentage of government expenditure","0.84"
"2018","Romania","Percentage of government expenditure","0.49"
"2018","Slovenia","Percentage of government expenditure","0.96"
"2018","Slovakia","Percentage of government expenditure","0.92"
"2018","Finland","Percentage of government expenditure","1.57"
"2018","Sweden","Percentage of government expenditure","1.56"
"2018","Iceland","Percentage of government expenditure","2.18"
"2018","Norway","Percentage of government expenditure","2.02"
"2018","Switzerland","Percentage of government expenditure","2.86"
"2018","United Kingdom","Percentage of government expenditure","1.33"
"2018","Turkey","Percentage of government expenditure",":"
"2018","Russia","Percentage of government expenditure",":"
"2018","United States","Percentage of government expenditure",":"
"2018","Japan","Percentage of government expenditure",":"
"2018","South Korea","Percentage of government expenditure",":"
"2019","Belgium","Percentage of government expenditure","1.34"
"2019","Bulgaria","Percentage of government expenditure","0.63"
"2019","Czechia","Percentage of government expenditure","1.51"
"2019","Denmark","Percentage of government expenditure","1.8"
"2019","Germany (until 1990 former territory of the FRG)","Percentage of government expenditure","2.18"
"2019","Estonia","Percentage of government expenditure","1.6"
"2019","Ireland","Percentage of government expenditure","0.93"
"2019","Greece","Percentage of government expenditure","1.47"
"2019","Spain","Percentage of government expenditure","1.24"
"2019","France","Percentage of government expenditure","1.13"
"2019","Croatia","Percentage of government expenditure","1.65"
"2019","Italy","Percentage of government expenditure","1.13"
"2019","Cyprus","Percentage of government expenditure","0.91"
"2019","Latvia","Percentage of government expenditure","0.59"
"2019","Lithuania","Percentage of government expenditure","0.9"
"2019","Luxembourg","Percentage of government expenditure","1.43"
"2019","Hungary","Percentage of government expenditure","0.59"
"2019","Malta","Percentage of government expenditure","0.6"
"2019","Netherlands","Percentage of government expenditure","1.65"
"2019","Austria","Percentage of government expenditure","1.56"
"2019","Poland","Percentage of government expenditure","1.06"
"2019","Portugal","Percentage of government expenditure","0.82"
"2019","Romania","Percentage of government expenditure","0.53"
"2019","Slovenia","Percentage of government expenditure","1.05"
"2019","Slovakia","Percentage of government expenditure","0.94"
"2019","Finland","Percentage of government expenditure","1.57"
"2019","Sweden","Percentage of government expenditure","1.49"
"2019","Iceland","Percentage of government expenditure","2.11"
"2019","Norway","Percentage of government expenditure","1.99"
"2019","Switzerland","Percentage of government expenditure","2.91"
"2019","United Kingdom","Percentage of government expenditure","1.36"
"2019","Turkey","Percentage of government expenditure",":"
"2019","Russia","Percentage of government expenditure",":"
"2019","United States","Percentage of government expenditure",":"
"2019","Japan","Percentage of government expenditure",":"
"2019","South Korea","Percentage of government expenditure",":"
"2020","Belgium","Percentage of government expenditure","1.26"
"2020","Bulgaria","Percentage of government expenditure","0.57"
"2020","Czechia","Percentage of government expenditure","1.42"
"2020","Denmark","Percentage of government expenditure","1.81"
"2020","Germany (until 1990 former territory of the FRG)","Percentage of government expenditure","2.17"
"2020","Estonia","Percentage of government expenditure","1.52"
"2020","Ireland","Percentage of government expenditure","0.85"
"2020","Greece","Percentage of government expenditure","1.48"
"2020","Spain","Percentage of government expenditure","1.18"
"2020","France","Percentage of government expenditure","1.12"
"2020","Croatia","Percentage of government expenditure","1.44"
"2020","Italy","Percentage of government expenditure","1.17"
"2020","Cyprus","Percentage of government expenditure","1.21"
"2020","Latvia","Percentage of government expenditure","0.62"
"2020","Lithuania","Percentage of government expenditure","0.77"
"2020","Luxembourg","Percentage of government expenditure","1.26"
"2020","Hungary","Percentage of government expenditure","1.04"
"2020","Malta","Percentage of government expenditure","0.5"
"2020","Netherlands","Percentage of government expenditure","1.58"
"2020","Austria","Percentage of government expenditure","1.52"
"2020","Poland","Percentage of government expenditure","0.9"
"2020","Portugal","Percentage of government expenditure","0.75"
"2020","Romania","Percentage of government expenditure","0.43"
"2020","Slovenia","Percentage of government expenditure","1.01"
"2020","Slovakia","Percentage of government expenditure","0.92"
"2020","Finland","Percentage of government expenditure","1.68"
"2020","Sweden","Percentage of government expenditure","1.47"
"2020","Iceland","Percentage of government expenditure",":"
"2020","Norway","Percentage of government expenditure","1.98"
"2020","Switzerland","Percentage of government expenditure","2.72"
"2020","United Kingdom","Percentage of government expenditure",":"
"2020","Turkey","Percentage of government expenditure",":"
"2020","Russia","Percentage of government expenditure",":"
"2020","United States","Percentage of government expenditure",":"
"2020","Japan","Percentage of government expenditure",":"
"2020","South Korea","Percentage of government expenditure",":"
