EVENT,COUNTRY,FREQUENCY,TIME,ISCED11,AGE,SEX,VALUE
Cinema,Belgium,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,26.2
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 24 years,Total,28.4
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 24 years,Males,30.1
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 24 years,Females,26.8
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 29 years,Total,30.0
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 29 years,Males,29.6
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 29 years,Females,30.4
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 25 to 34 years,Total,37.5
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 25 to 34 years,Males,34.9
Cinema,Belgium,From 1 to 3 times,2015,All ISCED 2011 levels,From 25 to 34 years,Females,40.0
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,26.5
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,29.7
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,23.0
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,28.3
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,30.1
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,26.2
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,35.8
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,34.7
Cinema,Belgium,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,37.2
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,28.1
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,27.9
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,28.3
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,33.8
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,31.5
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,35.4
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,42.1
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,41.0
Cinema,Belgium,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,42.8
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 16 to 24 years,Total,83.9
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 16 to 24 years,Males,83.5
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 16 to 24 years,Females,84.4
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 16 to 29 years,Total,79.2
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 16 to 29 years,Males,78.7
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 16 to 29 years,Females,79.8
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 25 to 34 years,Total,67.1
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 25 to 34 years,Males,67.6
Cinema,Belgium,At least once,2015,All ISCED 2011 levels,From 25 to 34 years,Females,66.6
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,84.8
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,83.4
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,86.3
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,79.2
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,77.9
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,80.7
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,63.2
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,65.3
Cinema,Belgium,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,60.6
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,93.7
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,96.0
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,92.1
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,86.7
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,89.5
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,84.7
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,75.9
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,78.8
Cinema,Belgium,At least once,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,73.8
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 16 to 24 years,Total,55.5
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 16 to 24 years,Males,53.4
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 16 to 24 years,Females,57.6
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 16 to 29 years,Total,49.2
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 16 to 29 years,Males,49.0
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 16 to 29 years,Females,49.3
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 25 to 34 years,Total,29.6
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 25 to 34 years,Males,32.7
Cinema,Belgium,At least 4 times,2015,All ISCED 2011 levels,From 25 to 34 years,Females,26.6
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,58.4
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,53.7
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,63.3
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,50.9
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,47.8
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,54.5
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,27.4
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,30.5
Cinema,Belgium,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,23.4
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,65.6
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,68.1
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,63.8
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,52.9
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,58.0
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,49.3
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,33.9
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,37.8
Cinema,Belgium,At least 4 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,31.0
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Total,46.4
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Males,45.5
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Females,47.4
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Total,51.8
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Males,50.1
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Females,53.5
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Total,59.7
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Males,59.2
Cinema,Bulgaria,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Females,60.2
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,39.5
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,40.9
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,37.7
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,46.1
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,46.2
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,46.1
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,60.2
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,57.4
Cinema,Bulgaria,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,64.0
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,12.8
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,13.2
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,12.5
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,28.1
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,23.7
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,31.1
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,30.1
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,28.0
Cinema,Bulgaria,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,31.5
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 24 years,Total,29.1
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 24 years,Males,30.3
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 24 years,Females,27.7
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 29 years,Total,26.3
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 29 years,Males,26.7
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 16 to 29 years,Females,25.8
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 25 to 34 years,Total,24.4
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 25 to 34 years,Males,22.1
Cinema,Bulgaria,From 1 to 3 times,2015,All ISCED 2011 levels,From 25 to 34 years,Females,26.8
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,32.1
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,31.8
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,32.6
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,29.7
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,30.6
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,28.4
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,25.3
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,26.6
Cinema,Bulgaria,From 1 to 3 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,23.5
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,48.2
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,41.5
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,52.3
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,36.6
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,26.6
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,43.3
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,40.4
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,30.9
Cinema,Bulgaria,From 1 to 3 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,47.3
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 16 to 24 years,Total,53.6
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 16 to 24 years,Males,54.5
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 16 to 24 years,Females,52.6
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 16 to 29 years,Total,48.2
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 16 to 29 years,Males,49.9
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 16 to 29 years,Females,46.5
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 25 to 34 years,Total,40.3
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 25 to 34 years,Males,40.8
Cinema,Bulgaria,At least once,2015,All ISCED 2011 levels,From 25 to 34 years,Females,39.8
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,60.5
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,59.1
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,62.3
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,53.9
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,53.8
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,53.9
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,39.8
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,42.6
Cinema,Bulgaria,At least once,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,36.0
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,87.2
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,86.8
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,87.5
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,71.9
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,76.3
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,68.9
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,69.9
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,72.0
Cinema,Bulgaria,At least once,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,68.5
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 16 to 24 years,Total,24.5
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 16 to 24 years,Males,24.1
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 16 to 24 years,Females,24.9
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 16 to 29 years,Total,22.0
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 16 to 29 years,Males,23.1
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 16 to 29 years,Females,20.7
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 25 to 34 years,Total,15.9
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 25 to 34 years,Males,18.6
Cinema,Bulgaria,At least 4 times,2015,All ISCED 2011 levels,From 25 to 34 years,Females,13.0
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,28.3
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,27.3
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,29.7
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,24.2
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,23.2
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,25.5
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,14.5
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,16.0
Cinema,Bulgaria,At least 4 times,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,12.5
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,39.0
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,45.2
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,35.2
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,35.2
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,49.7
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,25.6
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,29.5
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,41.1
Cinema,Bulgaria,At least 4 times,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,21.2
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Total,14.5
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Males,16.1
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 24 years,Females,12.7
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Total,18.4
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Males,18.3
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 16 to 29 years,Females,18.6
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Total,28.6
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Males,27.9
Cinema,Czechia,Not in the last 12 months,2015,All ISCED 2011 levels,From 25 to 34 years,Females,29.4
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Total,13.5
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Males,15.7
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 24 years,Females,10.7
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Total,18.7
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Males,17.6
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 16 to 29 years,Females,20.0
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Total,30.4
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Males,28.1
Cinema,Czechia,Not in the last 12 months,2015,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),From 25 to 34 years,Females,33.5
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Total,4.2
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Males,3.0
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 24 years,Females,5.3
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Total,13.1
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Males,13.4
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 16 to 29 years,Females,12.9
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Total,19.0
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Males,18.4
Cinema,Czechia,Not in the last 12 months,2015,Tertiary education (levels 5-8),From 25 to 34 years,Females,19.4
