SECT_PERF,COUNTRY,TIME,VALUE
Business enterprise sector,Switzerland,2017,2.04
Business enterprise sector,Switzerland,2019,2.13
Business enterprise sector,Cyprus,2000,0.05
Business enterprise sector,Cyprus,2001,0.05
Business enterprise sector,Cyprus,2002,0.06
Business enterprise sector,Cyprus,2003,0.07
Business enterprise sector,Cyprus,2004,0.07
Business enterprise sector,Cyprus,2005,0.08
Business enterprise sector,Cyprus,2006,0.09
Business enterprise sector,Cyprus,2007,0.09
Business enterprise sector,Cyprus,2008,0.09
Business enterprise sector,Cyprus,2009,0.09
Business enterprise sector,Cyprus,2010,0.08
Business enterprise sector,Cyprus,2011,0.07
Business enterprise sector,Cyprus,2012,0.07
Business enterprise sector,Cyprus,2013,0.09
Business enterprise sector,Cyprus,2014,0.11
Business enterprise sector,Cyprus,2015,0.11
Business enterprise sector,Cyprus,2016,0.19
Business enterprise sector,Cyprus,2017,0.2
Business enterprise sector,Cyprus,2018,0.25
Business enterprise sector,Cyprus,2019,0.31
Business enterprise sector,Cyprus,2020,0.37
Business enterprise sector,Czechia,2000,0.67
Business enterprise sector,Czechia,2001,0.66
Business enterprise sector,Czechia,2002,0.67
Business enterprise sector,Czechia,2003,0.7
Business enterprise sector,Czechia,2004,0.71
Business enterprise sector,Czechia,2005,0.68
Business enterprise sector,Czechia,2006,0.72
Business enterprise sector,Czechia,2007,0.75
Business enterprise sector,Czechia,2008,0.71
Business enterprise sector,Czechia,2009,0.71
Business enterprise sector,Czechia,2010,0.77
Business enterprise sector,Czechia,2011,0.85
Business enterprise sector,Czechia,2012,0.95
Business enterprise sector,Czechia,2013,1.02
Business enterprise sector,Czechia,2014,1.1
Business enterprise sector,Czechia,2015,1.04
Business enterprise sector,Czechia,2016,1.02
Business enterprise sector,Czechia,2017,1.11
Business enterprise sector,Czechia,2018,1.18
Business enterprise sector,Czechia,2019,1.19
Business enterprise sector,Czechia,2020,1.21
Business enterprise sector,Germany (until 1990 former territory of the FRG),2000,1.69
Business enterprise sector,Germany (until 1990 former territory of the FRG),2001,1.67
Business enterprise sector,Germany (until 1990 former territory of the FRG),2002,1.68
Business enterprise sector,Germany (until 1990 former territory of the FRG),2003,1.72
Business enterprise sector,Germany (until 1990 former territory of the FRG),2004,1.7
Business enterprise sector,Germany (until 1990 former territory of the FRG),2005,1.69
Business enterprise sector,Germany (until 1990 former territory of the FRG),2006,1.73
Business enterprise sector,Germany (until 1990 former territory of the FRG),2007,1.72
Business enterprise sector,Germany (until 1990 former territory of the FRG),2008,1.81
Business enterprise sector,Germany (until 1990 former territory of the FRG),2009,1.85
Business enterprise sector,Germany (until 1990 former territory of the FRG),2010,1.83
Business enterprise sector,Germany (until 1990 former territory of the FRG),2011,1.9
Business enterprise sector,Germany (until 1990 former territory of the FRG),2012,1.96
Business enterprise sector,Germany (until 1990 former territory of the FRG),2013,1.91
Business enterprise sector,Germany (until 1990 former territory of the FRG),2014,1.95
Business enterprise sector,Germany (until 1990 former territory of the FRG),2015,2.01
Business enterprise sector,Germany (until 1990 former territory of the FRG),2016,2
Business enterprise sector,Germany (until 1990 former territory of the FRG),2017,2.11
Business enterprise sector,Germany (until 1990 former territory of the FRG),2018,2.14
Business enterprise sector,Germany (until 1990 former territory of the FRG),2019,2.18
Business enterprise sector,Germany (until 1990 former territory of the FRG),2020,2.11
Business enterprise sector,Denmark,2000,1.46
Business enterprise sector,Denmark,2001,1.59
Business enterprise sector,Denmark,2002,1.69
Business enterprise sector,Denmark,2003,1.74
Business enterprise sector,Denmark,2004,1.65
Business enterprise sector,Denmark,2005,1.63
Business enterprise sector,Denmark,2006,1.61
Business enterprise sector,Denmark,2007,1.76
Business enterprise sector,Denmark,2008,1.94
Business enterprise sector,Denmark,2009,2.13
Business enterprise sector,Denmark,2010,1.96
Business enterprise sector,Denmark,2011,1.96
Business enterprise sector,Denmark,2012,1.95
Business enterprise sector,Denmark,2013,1.88
Business enterprise sector,Denmark,2014,1.86
Business enterprise sector,Denmark,2015,1.94
Business enterprise sector,Denmark,2016,2.01
Business enterprise sector,Denmark,2017,1.86
Business enterprise sector,Denmark,2018,1.87
Business enterprise sector,Denmark,2019,1.84
Business enterprise sector,Denmark,2020,1.84
Business enterprise sector,Estonia,2000,0.14
Business enterprise sector,Estonia,2001,0.23
Business enterprise sector,Estonia,2002,0.22
Business enterprise sector,Estonia,2003,0.26
Business enterprise sector,Estonia,2004,0.33
Business enterprise sector,Estonia,2005,0.41
Business enterprise sector,Estonia,2006,0.49
Business enterprise sector,Estonia,2007,0.5
Business enterprise sector,Estonia,2008,0.54
Business enterprise sector,Estonia,2009,0.62
Business enterprise sector,Estonia,2010,0.79
Business enterprise sector,Estonia,2011,1.46
Business enterprise sector,Estonia,2012,1.22
Business enterprise sector,Estonia,2013,0.82
Business enterprise sector,Estonia,2014,0.62
Business enterprise sector,Estonia,2015,0.68
Business enterprise sector,Estonia,2016,0.64
Business enterprise sector,Estonia,2017,0.6
Business enterprise sector,Estonia,2018,0.6
Business enterprise sector,Estonia,2019,0.87
Business enterprise sector,Estonia,2020,0.98
Business enterprise sector,Greece,2000,0.14
Business enterprise sector,Greece,2001,0.18
Business enterprise sector,Greece,2002,0.18
Business enterprise sector,Greece,2003,0.18
Business enterprise sector,Greece,2004,0.16
Business enterprise sector,Greece,2005,0.18
Business enterprise sector,Greece,2006,0.17
Business enterprise sector,Greece,2007,0.16
Business enterprise sector,Greece,2008,0.21
Business enterprise sector,Greece,2009,0.23
Business enterprise sector,Greece,2010,0.24
Business enterprise sector,Greece,2011,0.24
Business enterprise sector,Greece,2012,0.24
Business enterprise sector,Greece,2013,0.27
Business enterprise sector,Greece,2014,0.28
Business enterprise sector,Greece,2015,0.32
Business enterprise sector,Greece,2016,0.42
Business enterprise sector,Greece,2017,0.56
Business enterprise sector,Greece,2018,0.58
Business enterprise sector,Greece,2019,0.59
Business enterprise sector,Greece,2020,0.69
Business enterprise sector,Spain,2000,0.47
Business enterprise sector,Spain,2001,0.47
Business enterprise sector,Spain,2002,0.52
Business enterprise sector,Spain,2003,0.55
Business enterprise sector,Spain,2004,0.57
Business enterprise sector,Spain,2005,0.59
Business enterprise sector,Spain,2006,0.65
Business enterprise sector,Spain,2007,0.69
Business enterprise sector,Spain,2008,0.73
Business enterprise sector,Spain,2009,0.71
Business enterprise sector,Spain,2010,0.7
Business enterprise sector,Spain,2011,0.7
Business enterprise sector,Spain,2012,0.69
Business enterprise sector,Spain,2013,0.68
Business enterprise sector,Spain,2014,0.66
Business enterprise sector,Spain,2015,0.64
Business enterprise sector,Spain,2016,0.64
Business enterprise sector,Spain,2017,0.67
Business enterprise sector,Spain,2018,0.7
Business enterprise sector,Spain,2019,0.7
Business enterprise sector,Spain,2020,0.78
Business enterprise sector,Finland,2000,2.3
Business enterprise sector,Finland,2001,2.27
Business enterprise sector,Finland,2002,2.27
Business enterprise sector,Finland,2003,2.32
Business enterprise sector,Finland,2004,2.32
Business enterprise sector,Finland,2005,2.35
Business enterprise sector,Finland,2006,2.38
Business enterprise sector,Finland,2007,2.41
Business enterprise sector,Finland,2008,2.63
Business enterprise sector,Finland,2009,2.67
Business enterprise sector,Finland,2010,2.58
Business enterprise sector,Finland,2011,2.55
Business enterprise sector,Finland,2012,2.34
Business enterprise sector,Finland,2013,2.25
Business enterprise sector,Finland,2014,2.13
Business enterprise sector,Finland,2015,1.91
Business enterprise sector,Finland,2016,1.79
Business enterprise sector,Finland,2017,1.78
Business enterprise sector,Finland,2018,1.81
Business enterprise sector,Finland,2019,1.84
Business enterprise sector,Finland,2020,1.97
Business enterprise sector,France,2000,1.31
Business enterprise sector,France,2001,1.35
Business enterprise sector,France,2002,1.38
Business enterprise sector,France,2003,1.33
Business enterprise sector,France,2004,1.32
Business enterprise sector,France,2005,1.27
Business enterprise sector,France,2006,1.29
Business enterprise sector,France,2007,1.28
Business enterprise sector,France,2008,1.29
Business enterprise sector,France,2009,1.36
Business enterprise sector,France,2010,1.38
Business enterprise sector,France,2011,1.4
Business enterprise sector,France,2012,1.44
Business enterprise sector,France,2013,1.44
Business enterprise sector,France,2014,1.45
Business enterprise sector,France,2015,1.44
Business enterprise sector,France,2016,1.45
Business enterprise sector,France,2017,1.44
Business enterprise sector,France,2018,1.44
Business enterprise sector,France,2019,1.44
Business enterprise sector,France,2020,1.56
Business enterprise sector,Croatia,2002,0.4
Business enterprise sector,Croatia,2003,0.37
Business enterprise sector,Croatia,2004,0.43
Business enterprise sector,Croatia,2005,0.35
Business enterprise sector,Croatia,2006,0.27
Business enterprise sector,Croatia,2007,0.32
Business enterprise sector,Croatia,2008,0.39
Business enterprise sector,Croatia,2009,0.34
Business enterprise sector,Croatia,2010,0.32
Business enterprise sector,Croatia,2011,0.33
Business enterprise sector,Croatia,2012,0.34
Business enterprise sector,Croatia,2013,0.4
Business enterprise sector,Croatia,2014,0.37
Business enterprise sector,Croatia,2015,0.42
Business enterprise sector,Croatia,2016,0.39
Business enterprise sector,Croatia,2017,0.41
Business enterprise sector,Croatia,2018,0.46
Business enterprise sector,Croatia,2019,0.53
Business enterprise sector,Croatia,2020,0.6
Business enterprise sector,Hungary,2000,0.35
Business enterprise sector,Hungary,2001,0.37
Business enterprise sector,Hungary,2002,0.35
Business enterprise sector,Hungary,2003,0.34
Business enterprise sector,Hungary,2004,0.35
Business enterprise sector,Hungary,2005,0.4
Business enterprise sector,Hungary,2006,0.47
Business enterprise sector,Hungary,2007,0.48
Business enterprise sector,Hungary,2008,0.51
Business enterprise sector,Hungary,2009,0.65
Business enterprise sector,Hungary,2010,0.67
Business enterprise sector,Hungary,2011,0.74
Business enterprise sector,Hungary,2012,0.82
Business enterprise sector,Hungary,2013,0.96
Business enterprise sector,Hungary,2014,0.96
Business enterprise sector,Hungary,2015,0.98
Business enterprise sector,Hungary,2016,0.87
Business enterprise sector,Hungary,2017,0.96
Business enterprise sector,Hungary,2018,1.14
Business enterprise sector,Hungary,2019,1.11
Business enterprise sector,Hungary,2020,1.23
Business enterprise sector,Ireland,2000,0.78
Business enterprise sector,Ireland,2001,0.74
Business enterprise sector,Ireland,2002,0.73
Business enterprise sector,Ireland,2003,0.76
Business enterprise sector,Ireland,2004,0.77
Business enterprise sector,Ireland,2005,0.78
Business enterprise sector,Ireland,2006,0.79
Business enterprise sector,Ireland,2007,0.81
Business enterprise sector,Ireland,2008,0.9
Business enterprise sector,Ireland,2009,1.1
Business enterprise sector,Ireland,2010,1.1
Business enterprise sector,Ireland,2011,1.08
Business enterprise sector,Ireland,2012,1.12
Business enterprise sector,Ireland,2013,1.13
Business enterprise sector,Ireland,2014,1.08
Business enterprise sector,Ireland,2015,0.85
Business enterprise sector,Ireland,2016,0.85
Business enterprise sector,Ireland,2017,0.93
Business enterprise sector,Ireland,2018,0.85
Business enterprise sector,Ireland,2019,0.91
Business enterprise sector,Ireland,2020,0.91
Business enterprise sector,Iceland,2000,1.45
Business enterprise sector,Iceland,2001,1.67
Business enterprise sector,Iceland,2002,1.61
Business enterprise sector,Iceland,2003,1.4
Business enterprise sector,Iceland,2005,1.38
Business enterprise sector,Iceland,2006,1.52
Business enterprise sector,Iceland,2007,1.38
Business enterprise sector,Iceland,2008,1.34
Business enterprise sector,Iceland,2009,1.31
Business enterprise sector,Iceland,2010,1.27
Business enterprise sector,Iceland,2011,1.28
Business enterprise sector,Iceland,2013,0.95
Business enterprise sector,Iceland,2014,1.18
Business enterprise sector,Iceland,2015,1.44
Business enterprise sector,Iceland,2016,1.36
Business enterprise sector,Iceland,2017,1.34
Business enterprise sector,Iceland,2018,1.29
Business enterprise sector,Iceland,2019,1.6
Business enterprise sector,Iceland,2020,1.68
Business enterprise sector,Italy,2000,0.5
Business enterprise sector,Italy,2001,0.51
Business enterprise sector,Italy,2002,0.52
Business enterprise sector,Italy,2003,0.5
Business enterprise sector,Italy,2004,0.5
Business enterprise sector,Italy,2005,0.53
Business enterprise sector,Italy,2006,0.53
Business enterprise sector,Italy,2007,0.59
Business enterprise sector,Italy,2008,0.62
Business enterprise sector,Italy,2009,0.65
Business enterprise sector,Italy,2010,0.66
Business enterprise sector,Italy,2011,0.66
Business enterprise sector,Italy,2012,0.68
Business enterprise sector,Italy,2013,0.71
Business enterprise sector,Italy,2014,0.76
Business enterprise sector,Italy,2015,0.78
Business enterprise sector,Italy,2016,0.83
Business enterprise sector,Italy,2017,0.85
Business enterprise sector,Italy,2018,0.9
Business enterprise sector,Italy,2019,0.92
Business enterprise sector,Italy,2020,0.93
Business enterprise sector,Lithuania,2000,0.13
Business enterprise sector,Lithuania,2001,0.19
Business enterprise sector,Lithuania,2002,0.11
Business enterprise sector,Lithuania,2003,0.14
Business enterprise sector,Lithuania,2004,0.16
Business enterprise sector,Lithuania,2005,0.15
Business enterprise sector,Lithuania,2006,0.22
Business enterprise sector,Lithuania,2007,0.23
Business enterprise sector,Lithuania,2008,0.19
Business enterprise sector,Lithuania,2009,0.2
Business enterprise sector,Lithuania,2010,0.23
Business enterprise sector,Lithuania,2011,0.24
Business enterprise sector,Lithuania,2012,0.24
Business enterprise sector,Lithuania,2013,0.24
Business enterprise sector,Lithuania,2014,0.32
Business enterprise sector,Lithuania,2015,0.29
Business enterprise sector,Lithuania,2016,0.29
Business enterprise sector,Lithuania,2017,0.33
Business enterprise sector,Lithuania,2018,0.39
Business enterprise sector,Lithuania,2019,0.43
Business enterprise sector,Lithuania,2020,0.55
Business enterprise sector,Luxembourg,2000,1.47
Business enterprise sector,Luxembourg,2003,1.45
Business enterprise sector,Luxembourg,2004,1.39
Business enterprise sector,Luxembourg,2005,1.35
Business enterprise sector,Luxembourg,2006,1.42
Business enterprise sector,Luxembourg,2007,1.32
Business enterprise sector,Luxembourg,2008,1.2
Business enterprise sector,Luxembourg,2009,1.21
Business enterprise sector,Luxembourg,2010,0.94
Business enterprise sector,Luxembourg,2011,0.94
Business enterprise sector,Luxembourg,2012,0.67
Business enterprise sector,Luxembourg,2013,0.65
Business enterprise sector,Luxembourg,2014,0.64
Business enterprise sector,Luxembourg,2015,0.66
Business enterprise sector,Luxembourg,2016,0.7
Business enterprise sector,Luxembourg,2017,0.69
Business enterprise sector,Luxembourg,2018,0.62
Business enterprise sector,Luxembourg,2019,0.64
Business enterprise sector,Luxembourg,2020,0.61
Business enterprise sector,Latvia,2000,0.18
Business enterprise sector,Latvia,2001,0.15
Business enterprise sector,Latvia,2002,0.17
Business enterprise sector,Latvia,2003,0.12
Business enterprise sector,Latvia,2004,0.18
Business enterprise sector,Latvia,2005,0.21
Business enterprise sector,Latvia,2006,0.33
Business enterprise sector,Latvia,2007,0.18
Business enterprise sector,Latvia,2008,0.14
Business enterprise sector,Latvia,2009,0.16
Business enterprise sector,Latvia,2010,0.22
Business enterprise sector,Latvia,2011,0.2
Business enterprise sector,Latvia,2012,0.15
Business enterprise sector,Latvia,2013,0.17
Business enterprise sector,Latvia,2014,0.24
Business enterprise sector,Latvia,2015,0.15
Business enterprise sector,Latvia,2016,0.11
Business enterprise sector,Latvia,2017,0.14
Business enterprise sector,Latvia,2018,0.16
Business enterprise sector,Latvia,2019,0.17
Business enterprise sector,Latvia,2020,0.22
Business enterprise sector,Montenegro,2011,0.09
Business enterprise sector,Montenegro,2013,0.18
Business enterprise sector,Montenegro,2014,0.14
Business enterprise sector,Montenegro,2015,0.11
Business enterprise sector,Montenegro,2016,0.05
Business enterprise sector,Montenegro,2017,0.07
Business enterprise sector,Montenegro,2018,0.19
Business enterprise sector,North Macedonia,2015,0.08
Business enterprise sector,North Macedonia,2016,0.1
Business enterprise sector,North Macedonia,2017,0.09
Business enterprise sector,North Macedonia,2018,0.11
Business enterprise sector,North Macedonia,2019,0.1
Business enterprise sector,North Macedonia,2020,0.1
Business enterprise sector,Malta,2002,0.06
Business enterprise sector,Malta,2003,0.07
Business enterprise sector,Malta,2004,0.32
Business enterprise sector,Malta,2005,0.35
Business enterprise sector,Malta,2006,0.38
Business enterprise sector,Malta,2007,0.36
Business enterprise sector,Malta,2008,0.35
Business enterprise sector,Malta,2009,0.32
Business enterprise sector,Malta,2010,0.36
Business enterprise sector,Malta,2011,0.43
Business enterprise sector,Malta,2012,0.46
Business enterprise sector,Malta,2013,0.38
Business enterprise sector,Malta,2014,0.38
Business enterprise sector,Malta,2015,0.37
Business enterprise sector,Malta,2016,0.35
Business enterprise sector,Malta,2017,0.36
Business enterprise sector,Malta,2018,0.36
Business enterprise sector,Malta,2019,0.35
Business enterprise sector,Malta,2020,0.43
Business enterprise sector,Netherlands,2000,0.99
Business enterprise sector,Netherlands,2001,0.98
Business enterprise sector,Netherlands,2002,0.91
Business enterprise sector,Netherlands,2003,0.94
Business enterprise sector,Netherlands,2004,0.96
Business enterprise sector,Netherlands,2005,0.94
Business enterprise sector,Netherlands,2006,0.94
Business enterprise sector,Netherlands,2007,0.89
Business enterprise sector,Netherlands,2008,0.81
Business enterprise sector,Netherlands,2009,0.78
Business enterprise sector,Netherlands,2010,0.82
Business enterprise sector,Netherlands,2011,1.06
Business enterprise sector,Netherlands,2012,1.08
Business enterprise sector,Netherlands,2013,1.41
Business enterprise sector,Netherlands,2014,1.41
Business enterprise sector,Netherlands,2015,1.38
Business enterprise sector,Netherlands,2016,1.41
Business enterprise sector,Netherlands,2017,1.45
Business enterprise sector,Netherlands,2018,1.42
Business enterprise sector,Netherlands,2019,1.46
Business enterprise sector,Netherlands,2020,1.54
Business enterprise sector,Norway,2001,0.93
Business enterprise sector,Norway,2002,0.94
Business enterprise sector,Norway,2003,0.96
Business enterprise sector,Norway,2004,0.84
Business enterprise sector,Norway,2005,0.79
Business enterprise sector,Norway,2006,0.78
Business enterprise sector,Norway,2007,0.82
Business enterprise sector,Norway,2008,0.83
Business enterprise sector,Norway,2009,0.89
Business enterprise sector,Norway,2010,0.85
Business enterprise sector,Norway,2011,0.85
Business enterprise sector,Norway,2012,0.85
Business enterprise sector,Norway,2013,0.87
Business enterprise sector,Norway,2014,0.92
Business enterprise sector,Norway,2015,1.04
Business enterprise sector,Norway,2016,1.09
Business enterprise sector,Norway,2017,1.1
Business enterprise sector,Norway,2018,1.06
Business enterprise sector,Norway,2019,1.14
Business enterprise sector,Norway,2020,1.24
Business enterprise sector,Poland,2000,0.23
Business enterprise sector,Poland,2001,0.22
Business enterprise sector,Poland,2002,0.11
Business enterprise sector,Poland,2003,0.15
Business enterprise sector,Poland,2004,0.16
Business enterprise sector,Poland,2005,0.18
Business enterprise sector,Poland,2006,0.17
Business enterprise sector,Poland,2007,0.17
Business enterprise sector,Poland,2008,0.19
Business enterprise sector,Poland,2009,0.19
Business enterprise sector,Poland,2010,0.19
Business enterprise sector,Poland,2011,0.23
Business enterprise sector,Poland,2012,0.33
Business enterprise sector,Poland,2013,0.38
Business enterprise sector,Poland,2014,0.44
Business enterprise sector,Poland,2015,0.47
Business enterprise sector,Poland,2016,0.63
Business enterprise sector,Poland,2017,0.67
Business enterprise sector,Poland,2018,0.8
Business enterprise sector,Poland,2019,0.83
Business enterprise sector,Poland,2020,0.88
Business enterprise sector,Portugal,2000,0.2
Business enterprise sector,Portugal,2001,0.24
Business enterprise sector,Portugal,2002,0.23
Business enterprise sector,Portugal,2003,0.23
Business enterprise sector,Portugal,2004,0.26
Business enterprise sector,Portugal,2005,0.29
Business enterprise sector,Portugal,2006,0.44
Business enterprise sector,Portugal,2007,0.58
Business enterprise sector,Portugal,2008,0.72
Business enterprise sector,Portugal,2009,0.75
Business enterprise sector,Portugal,2010,0.71
Business enterprise sector,Portugal,2011,0.69
Business enterprise sector,Portugal,2012,0.69
Business enterprise sector,Portugal,2013,0.63
Business enterprise sector,Portugal,2014,0.6
Business enterprise sector,Portugal,2015,0.58
Business enterprise sector,Portugal,2016,0.62
Business enterprise sector,Portugal,2017,0.67
Business enterprise sector,Portugal,2018,0.69
Business enterprise sector,Portugal,2019,0.73
Business enterprise sector,Portugal,2020,0.92
Business enterprise sector,Romania,2000,0.25
Business enterprise sector,Romania,2001,0.24
Business enterprise sector,Romania,2002,0.23
Business enterprise sector,Romania,2003,0.23
Business enterprise sector,Romania,2004,0.22
Business enterprise sector,Romania,2005,0.21
Business enterprise sector,Romania,2006,0.22
Business enterprise sector,Romania,2007,0.21
Business enterprise sector,Romania,2008,0.17
Business enterprise sector,Romania,2009,0.18
Business enterprise sector,Romania,2010,0.18
Business enterprise sector,Romania,2011,0.18
Business enterprise sector,Romania,2012,0.19
Business enterprise sector,Romania,2013,0.12
Business enterprise sector,Romania,2014,0.16
Business enterprise sector,Romania,2015,0.21
Business enterprise sector,Romania,2016,0.27
Business enterprise sector,Romania,2017,0.29
Business enterprise sector,Romania,2018,0.3
Business enterprise sector,Romania,2019,0.28
Business enterprise sector,Romania,2020,0.28
Business enterprise sector,Serbia,2009,0.12
Business enterprise sector,Serbia,2010,0.08
Business enterprise sector,Serbia,2011,0.06
Business enterprise sector,Serbia,2012,0.21
Business enterprise sector,Serbia,2013,0.09
Business enterprise sector,Serbia,2014,0.21
Business enterprise sector,Serbia,2015,0.26
Business enterprise sector,Serbia,2016,0.31
Business enterprise sector,Serbia,2017,0.32
Business enterprise sector,Serbia,2018,0.36
Business enterprise sector,Serbia,2019,0.35
Business enterprise sector,Serbia,2020,0.35
Business enterprise sector,Sweden,2001,3
Business enterprise sector,Sweden,2003,2.66
Business enterprise sector,Sweden,2004,2.47
Business enterprise sector,Sweden,2005,2.45
Business enterprise sector,Sweden,2006,2.6
Business enterprise sector,Sweden,2007,2.36
Business enterprise sector,Sweden,2008,2.57
Business enterprise sector,Sweden,2009,2.41
Business enterprise sector,Sweden,2010,2.18
Business enterprise sector,Sweden,2011,2.2
Business enterprise sector,Sweden,2012,2.19
Business enterprise sector,Sweden,2013,2.25
Business enterprise sector,Sweden,2014,2.08
Business enterprise sector,Sweden,2015,2.24
Business enterprise sector,Sweden,2016,2.26
Business enterprise sector,Sweden,2017,2.4
Business enterprise sector,Sweden,2018,2.36
Business enterprise sector,Sweden,2019,2.43
Business enterprise sector,Sweden,2020,2.55
Business enterprise sector,Slovenia,2000,0.77
Business enterprise sector,Slovenia,2001,0.85
Business enterprise sector,Slovenia,2002,0.86
Business enterprise sector,Slovenia,2003,0.8
Business enterprise sector,Slovenia,2004,0.92
Business enterprise sector,Slovenia,2005,0.83
Business enterprise sector,Slovenia,2006,0.93
Business enterprise sector,Slovenia,2007,0.85
Business enterprise sector,Slovenia,2008,1.05
Business enterprise sector,Slovenia,2009,1.17
Business enterprise sector,Slovenia,2010,1.39
Business enterprise sector,Slovenia,2011,1.78
Business enterprise sector,Slovenia,2012,1.94
Business enterprise sector,Slovenia,2013,1.96
Business enterprise sector,Slovenia,2014,1.83
Business enterprise sector,Slovenia,2015,1.67
Business enterprise sector,Slovenia,2016,1.52
Business enterprise sector,Slovenia,2017,1.39
Business enterprise sector,Slovenia,2018,1.44
Business enterprise sector,Slovenia,2019,1.51
Business enterprise sector,Slovenia,2020,1.57
Business enterprise sector,Slovakia,2000,0.42
Business enterprise sector,Slovakia,2001,0.42
Business enterprise sector,Slovakia,2002,0.36
Business enterprise sector,Slovakia,2003,0.31
Business enterprise sector,Slovakia,2004,0.25
Business enterprise sector,Slovakia,2005,0.25
Business enterprise sector,Slovakia,2006,0.2
Business enterprise sector,Slovakia,2007,0.18
Business enterprise sector,Slovakia,2008,0.2
Business enterprise sector,Slovakia,2009,0.19
Business enterprise sector,Slovakia,2010,0.26
Business enterprise sector,Slovakia,2011,0.24
Business enterprise sector,Slovakia,2012,0.33
Business enterprise sector,Slovakia,2013,0.38
Business enterprise sector,Slovakia,2014,0.32
Business enterprise sector,Slovakia,2015,0.32
Business enterprise sector,Slovakia,2016,0.4
Business enterprise sector,Slovakia,2017,0.48
Business enterprise sector,Slovakia,2018,0.45
Business enterprise sector,Slovakia,2019,0.45
Business enterprise sector,Slovakia,2020,0.49
Business enterprise sector,United Kingdom,2000,1.05
Business enterprise sector,United Kingdom,2001,1.05
Business enterprise sector,United Kingdom,2002,1.05
Business enterprise sector,United Kingdom,2003,1.01
Business enterprise sector,United Kingdom,2004,0.96
Business enterprise sector,United Kingdom,2005,0.96
Business enterprise sector,United Kingdom,2006,0.97
Business enterprise sector,United Kingdom,2007,1.01
Business enterprise sector,United Kingdom,2008,1
Business enterprise sector,United Kingdom,2009,1.01
Business enterprise sector,United Kingdom,2010,1
Business enterprise sector,United Kingdom,2011,1.05
Business enterprise sector,United Kingdom,2012,1
Business enterprise sector,United Kingdom,2013,1.04
Business enterprise sector,United Kingdom,2014,1.07
Business enterprise sector,United Kingdom,2015,1.09
Business enterprise sector,United Kingdom,2016,1.11
Business enterprise sector,United Kingdom,2017,1.14
Business enterprise sector,United Kingdom,2018,1.17
