SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Total,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,2018,Purchasing power standard (PPS),2270
Total,Germany (until 1990 former territory of the FRG),Information and communication,2018,Euro,5486
Total,Germany (until 1990 former territory of the FRG),Information and communication,2018,Purchasing power standard (PPS),5136
Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,5101
Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),4775
Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities,2018,Euro,5868
Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities,2018,Purchasing power standard (PPS),5493
Total,Germany (until 1990 former territory of the FRG),Real estate activities,2018,Euro,5093
Total,Germany (until 1990 former territory of the FRG),Real estate activities,2018,Purchasing power standard (PPS),4768
Total,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,2018,Euro,5297
Total,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,2018,Purchasing power standard (PPS),4959
Total,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2018,Euro,3556
Total,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2018,Purchasing power standard (PPS),3329
Total,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security,2018,Euro,4368
Total,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),4090
Total,Germany (until 1990 former territory of the FRG),Education,2018,Euro,4422
Total,Germany (until 1990 former territory of the FRG),Education,2018,Purchasing power standard (PPS),4140
Total,Germany (until 1990 former territory of the FRG),Human health and social work activities,2018,Euro,5431
Total,Germany (until 1990 former territory of the FRG),Human health and social work activities,2018,Purchasing power standard (PPS),5084
Total,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,2018,Euro,3803
Total,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,2018,Purchasing power standard (PPS),3560
Total,Germany (until 1990 former territory of the FRG),Other service activities,2018,Euro,4379
Total,Germany (until 1990 former territory of the FRG),Other service activities,2018,Purchasing power standard (PPS),4099
Total,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1640
Total,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1977
Total,Estonia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1631
Total,Estonia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),1965
Total,Estonia,Business economy,2018,Euro,1727
Total,Estonia,Business economy,2018,Purchasing power standard (PPS),2082
Total,Estonia,Industry and construction,2018,Euro,1627
Total,Estonia,Industry and construction,2018,Purchasing power standard (PPS),1961
Total,Estonia,Industry (except construction),2018,Euro,1614
Total,Estonia,Industry (except construction),2018,Purchasing power standard (PPS),1945
Total,Estonia,Mining and quarrying,2018,Euro,1802
Total,Estonia,Mining and quarrying,2018,Purchasing power standard (PPS),2171
Total,Estonia,Manufacturing,2018,Euro,1566
Total,Estonia,Manufacturing,2018,Purchasing power standard (PPS),1888
Total,Estonia,Electricity gas steam and air conditioning supply,2018,Euro,2020
Total,Estonia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2434
Total,Estonia,Water supply; sewerage waste management and remediation activities,2018,Euro,1530
Total,Estonia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),1844
Total,Estonia,Construction,2018,Euro,1687
Total,Estonia,Construction,2018,Purchasing power standard (PPS),2033
Total,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1644
Total,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1981
Total,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1632
Total,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),1966
Total,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1736
Total,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2092
Total,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1486
Total,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1791
Total,Estonia,Transportation and storage,2018,Euro,1626
Total,Estonia,Transportation and storage,2018,Purchasing power standard (PPS),1960
Total,Estonia,Accommodation and food service activities,2018,Euro,1126
Total,Estonia,Accommodation and food service activities,2018,Purchasing power standard (PPS),1357
Total,Estonia,Information and communication,2018,Euro,2467
Total,Estonia,Information and communication,2018,Purchasing power standard (PPS),2973
Total,Estonia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1876
Total,Estonia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2261
Total,Estonia,Financial and insurance activities,2018,Euro,2330
Total,Estonia,Financial and insurance activities,2018,Purchasing power standard (PPS),2809
Total,Estonia,Real estate activities,2018,Euro,1567
Total,Estonia,Real estate activities,2018,Purchasing power standard (PPS),1889
Total,Estonia,Professional scientific and technical activities,2018,Euro,1963
Total,Estonia,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2367
Total,Estonia,Administrative and support service activities,2018,Euro,1420
Total,Estonia,Administrative and support service activities,2018,Purchasing power standard (PPS),1711
Total,Estonia,Public administration and defence; compulsory social security,2018,Euro,1715
Total,Estonia,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2067
Total,Estonia,Education,2018,Euro,1364
Total,Estonia,Education,2018,Purchasing power standard (PPS),1644
Total,Estonia,Human health and social work activities,2018,Euro,1847
Total,Estonia,Human health and social work activities,2018,Purchasing power standard (PPS),2226
Total,Estonia,Arts entertainment and recreation,2018,Euro,1251
Total,Estonia,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1508
Total,Estonia,Other service activities,2018,Euro,1327
Total,Estonia,Other service activities,2018,Purchasing power standard (PPS),1600
Total,Ireland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4302
Total,Ireland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3242
Total,Ireland,Industry construction and services (except public administration defense compulsory social security),2018,Euro,4295
Total,Ireland,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3237
Total,Ireland,Business economy,2018,Euro,4293
Total,Ireland,Business economy,2018,Purchasing power standard (PPS),3235
Total,Ireland,Industry and construction,2018,Euro,4729
Total,Ireland,Industry and construction,2018,Purchasing power standard (PPS),3564
Total,Ireland,Industry (except construction),2018,Euro,4900
Total,Ireland,Industry (except construction),2018,Purchasing power standard (PPS),3693
Total,Ireland,Mining and quarrying,2018,Euro,5493
Total,Ireland,Mining and quarrying,2018,Purchasing power standard (PPS),4139
Total,Ireland,Manufacturing,2018,Euro,4846
Total,Ireland,Manufacturing,2018,Purchasing power standard (PPS),3652
Total,Ireland,Electricity gas steam and air conditioning supply,2018,Euro,6002
Total,Ireland,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),4523
Total,Ireland,Water supply; sewerage waste management and remediation activities,2018,Euro,4142
Total,Ireland,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3121
Total,Ireland,Construction,2018,Euro,4031
Total,Ireland,Construction,2018,Purchasing power standard (PPS),3038
Total,Ireland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4238
Total,Ireland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3194
Total,Ireland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4223
Total,Ireland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3183
Total,Ireland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,3849
Total,Ireland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2900
Total,Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,3434
Total,Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2588
