TIME,COUNTRY,ISCEDF13,VALUE
2013,Czechia,Architecture and construction,1535
2013,Czechia,Agriculture forestry fisheries and veterinary,1020
2013,Czechia,Health and welfare,6653
2013,Czechia,Health,0
2013,Czechia,Dental studies,646
2013,Czechia,Medicine therapy and rehabilitation,0
2013,Czechia,Welfare,0
2013,Czechia,Care of the elderly and of disabled adults,0
2013,Czechia,Child care and youth services,14
2013,Czechia,Social work and counselling,106
2013,Czechia,Services,1178
2013,Czechia,Domestic services,0
2013,Czechia,Hair and beauty services,0
2013,Czechia,Hotel restaurants and catering,558
2013,Czechia,Sports,179
2013,Czechia,Travel tourism and leisure,55
2013,Czechia,Transport services,307
2013,Denmark,Total,29480
2013,Denmark,Education,909
2013,Denmark,Arts and humanities,3010
2013,Denmark,Social sciences journalism and information,2512
2013,Denmark,Business administration and law,9494
2013,Denmark,Natural sciences mathematics and statistics,1339
2013,Denmark,Biology,0
2013,Denmark,Biochemistry,0
2013,Denmark,Environment,0
2013,Denmark,Physical sciences,299
2013,Denmark,Mathematics and statistics,656
2013,Denmark,Information and Communication Technologies,2020
2013,Denmark,Engineering manufacturing and construction,5768
2013,Denmark,Engineering and engineering trades,2813
2013,Denmark,Manufacturing and processing,571
2013,Denmark,Architecture and construction,2384
2013,Denmark,Agriculture forestry fisheries and veterinary,982
2013,Denmark,Health and welfare,3136
2013,Denmark,Health,0
2013,Denmark,Dental studies,67
2013,Denmark,Medicine therapy and rehabilitation,0
2013,Denmark,Welfare,0
2013,Denmark,Care of the elderly and of disabled adults,0
2013,Denmark,Child care and youth services,286
2013,Denmark,Social work and counselling,88
2013,Denmark,Services,310
2013,Denmark,Domestic services,0
2013,Denmark,Hair and beauty services,0
2013,Denmark,Hotel restaurants and catering,0
2013,Denmark,Sports,46
2013,Denmark,Travel tourism and leisure,216
2013,Denmark,Transport services,42
2013,Germany (until 1990 former territory of the FRG),Total,196619
2013,Germany (until 1990 former territory of the FRG),Education,4893
2013,Germany (until 1990 former territory of the FRG),Arts and humanities,37526
2013,Germany (until 1990 former territory of the FRG),Social sciences journalism and information,16087
2013,Germany (until 1990 former territory of the FRG),Business administration and law,36842
2013,Germany (until 1990 former territory of the FRG),Natural sciences mathematics and statistics,16204
2013,Germany (until 1990 former territory of the FRG),Biology,0
2013,Germany (until 1990 former territory of the FRG),Biochemistry,0
2013,Germany (until 1990 former territory of the FRG),Environment,0
2013,Germany (until 1990 former territory of the FRG),Physical sciences,Total,0
2013,Germany (until 1990 former territory of the FRG),Mathematics and statistics,0
2013,Germany (until 1990 former territory of the FRG),Information and Communication Technologies,13933
2013,Germany (until 1990 former territory of the FRG),Engineering manufacturing and construction,52823
2013,Germany (until 1990 former territory of the FRG),Engineering and engineering trades,0
2013,Germany (until 1990 former territory of the FRG),Manufacturing and processing,0
2013,Germany (until 1990 former territory of the FRG),Architecture and construction,0
2013,Germany (until 1990 former territory of the FRG),Agriculture forestry fisheries and veterinary,2926
2013,Germany (until 1990 former territory of the FRG),Health and welfare,12719
2013,Germany (until 1990 former territory of the FRG),Health,0
2013,Germany (until 1990 former territory of the FRG),Dental studies,0
2013,Germany (until 1990 former territory of the FRG),Medicine therapy and rehabilitation,0
2013,Germany (until 1990 former territory of the FRG),Welfare,0
2013,Germany (until 1990 former territory of the FRG),Care of the elderly and of disabled adults,0
2013,Germany (until 1990 former territory of the FRG),Child care and youth services,0
2013,Germany (until 1990 former territory of the FRG),Social work and counselling,0
2013,Germany (until 1990 former territory of the FRG),Services,1690
2013,Germany (until 1990 former territory of the FRG),Domestic services,0
2013,Germany (until 1990 former territory of the FRG),Hair and beauty services,0
2013,Germany (until 1990 former territory of the FRG),Hotel restaurants and catering,0
2013,Germany (until 1990 former territory of the FRG),Sports,0
2013,Germany (until 1990 former territory of the FRG),Travel tourism and leisure,0
2013,Germany (until 1990 former territory of the FRG),Transport services,0
2013,Estonia,Total,1876
2013,Estonia,Education,6
2013,Estonia,Arts and humanities,295
2013,Estonia,Social sciences journalism and information,216
2013,Estonia,Business administration and law,817
2013,Estonia,Natural sciences mathematics and statistics,50
2013,Estonia,Biology,0
2013,Estonia,Biochemistry,0
2013,Estonia,Environment,10
2013,Estonia,Physical sciences,17
2013,Estonia,Mathematics and statistics,7
2013,Estonia,Information and Communication Technologies,111
2013,Estonia,Engineering manufacturing and construction,128
2013,Estonia,Engineering and engineering trades,25
2013,Estonia,Manufacturing and processing,1
2013,Estonia,Architecture and construction,18
2013,Estonia,Agriculture forestry fisheries and veterinary,147
2013,Estonia,Health and welfare,101
2013,Estonia,Health,0
2013,Estonia,Dental studies,0
2013,Estonia,Medicine therapy and rehabilitation,0
2013,Estonia,Welfare,0
2013,Estonia,Care of the elderly and of disabled adults,0
2013,Estonia,Child care and youth services,0
2013,Estonia,Social work and counselling,2
2013,Estonia,Services,5
2013,Estonia,Domestic services,0
2013,Estonia,Hair and beauty services,0
2013,Estonia,Hotel restaurants and catering,1
2013,Estonia,Sports,4
2013,Estonia,Travel tourism and leisure,0
2013,Estonia,Transport services,0
2013,Ireland,Total,12861
2013,Ireland,Education,0
2013,Ireland,Arts and humanities,0
2013,Ireland,Social sciences journalism and information,0
2013,Ireland,Business administration and law,0
2013,Ireland,Natural sciences mathematics and statistics,0
2013,Ireland,Biology,0
2013,Ireland,Biochemistry,0
2013,Ireland,Environment,0
2013,Ireland,Physical sciences,0
2013,Ireland,Mathematics and statistics,0
2013,Ireland,Information and Communication Technologies,0
2013,Ireland,Engineering manufacturing and construction,0
2013,Ireland,Engineering and engineering trades,0
2013,Ireland,Manufacturing and processing,0
2013,Ireland,Architecture and construction,0
2013,Ireland,Agriculture forestry fisheries and veterinary,0
2013,Ireland,Health and welfare,0
2013,Ireland,Health,0
2013,Ireland,Dental studies,0
2013,Ireland,Medicine therapy and rehabilitation,0
2013,Ireland,Welfare,0
2013,Ireland,Care of the elderly and of disabled adults,0
2013,Ireland,Child care and youth services,0
2013,Ireland,Social work and counselling,0
2013,Ireland,Services,0
2013,Ireland,Domestic services,0
2013,Ireland,Hair and beauty services,0
2013,Ireland,Hotel restaurants and catering,0
2013,Ireland,Sports,0
2013,Ireland,Travel tourism and leisure,0
2013,Ireland,Transport services,0
2013,Greece,Total,27600
2013,Greece,Education,1151
2013,Greece,Arts and humanities,3972
2013,Greece,Social sciences journalism and information,3771
2013,Greece,Business administration and law,4355
2013,Greece,Natural sciences mathematics and statistics,2020
2013,Greece,Biology,0
2013,Greece,Biochemistry,0
2013,Greece,Environment,91
2013,Greece,Physical sciences,701
2013,Greece,Mathematics and statistics,946
2013,Greece,Information and Communication Technologies,1574
2013,Greece,Engineering manufacturing and construction,5285
2013,Greece,Engineering and engineering trades,3302
2013,Greece,Manufacturing and processing,373
2013,Greece,Architecture and construction,1457
2013,Greece,Agriculture forestry fisheries and veterinary,857
2013,Greece,Health and welfare,3616
2013,Greece,Health,3371
2013,Greece,Dental studies,0
2013,Greece,Medicine therapy and rehabilitation,0
2013,Greece,Welfare,245
2013,Greece,Care of the elderly and of disabled adults,0
2013,Greece,Child care and youth services,0
2013,Greece,Social work and counselling,0
2013,Greece,Services,518
2013,Greece,Domestic services,0
2013,Greece,Hair and beauty services,0
2013,Greece,Hotel restaurants and catering,0
2013,Greece,Sports,0
2013,Greece,Travel tourism and leisure,0
2013,Greece,Transport services,37
2013,Spain,Total,56358
2013,Spain,Education,2185
2013,Spain,Arts and humanities,5228
2013,Spain,Social sciences journalism and information,4092
2013,Spain,Business administration and law,12652
2013,Spain,Natural sciences mathematics and statistics,1478
2013,Spain,Biology,0
2013,Spain,Biochemistry,0
2013,Spain,Environment,360
2013,Spain,Physical sciences,475
2013,Spain,Mathematics and statistics,201
2013,Spain,Information and Communication Technologies,2937
2013,Spain,Engineering manufacturing and construction,8753
2013,Spain,Engineering and engineering trades,5771
2013,Spain,Manufacturing and processing,643
2013,Spain,Architecture and construction,2339
2013,Spain,Agriculture forestry fisheries and veterinary,723
2013,Spain,Health and welfare,14868
2013,Spain,Health,0
2013,Spain,Dental studies,3120
2013,Spain,Medicine therapy and rehabilitation,0
2013,Spain,Welfare,0
2013,Spain,Care of the elderly and of disabled adults,0
2013,Spain,Child care and youth services,0
2013,Spain,Social work and counselling,481
2013,Spain,Services,3442
2013,Spain,Domestic services,0
2013,Spain,Hair and beauty services,460
2013,Spain,Hotel restaurants and catering,481
2013,Spain,Sports,415
2013,Spain,Travel tourism and leisure,1850
2013,Spain,Transport services,35
2013,France,Total,228639
2013,France,Education,3265
2013,France,Arts and humanities,40008
2013,France,Social sciences journalism and information,28148
2013,France,Business administration and law,58574
2013,France,Natural sciences mathematics and statistics,0
2013,France,Biology,0
2013,France,Biochemistry,0
2013,France,Environment,0
2013,France,Physical sciences,0
2013,France,Mathematics and statistics,5803
2013,France,Information and Communication Technologies,13400
2013,France,Engineering manufacturing and construction,0
2013,France,Engineering and engineering trades,0
2013,France,Manufacturing and processing,1964
2013,France,Architecture and construction,6185
2013,France,Agriculture forestry fisheries and veterinary,674
2013,France,Health and welfare,15308
2013,France,Health,0
2013,France,Dental studies,366
2013,France,Medicine therapy and rehabilitation,0
2013,France,Welfare,0
2013,France,Care of the elderly and of disabled adults,0
2013,France,Child care and youth services,0
2013,France,Social work and counselling,428
2013,France,Services,0
2013,France,Domestic services,-1
2013,France,Hair and beauty services,76
2013,France,Hotel restaurants and catering,678
2013,France,Sports,813
2013,France,Travel tourism and leisure,351
2013,France,Transport services,734
2013,Croatia,Total,500
2013,Croatia,Education,6
2013,Croatia,Arts and humanities,87
2013,Croatia,Social sciences journalism and information,39
2013,Croatia,Business administration and law,88
2013,Croatia,Natural sciences mathematics and statistics,0
2013,Croatia,Biology,0
2013,Croatia,Biochemistry,0
2013,Croatia,Environment,0
2013,Croatia,Physical sciences,8
2013,Croatia,Mathematics and statistics,7
2013,Croatia,Information and Communication Technologies,14
2013,Croatia,Engineering manufacturing and construction,0
2013,Croatia,Engineering and engineering trades,0
2013,Croatia,Manufacturing and processing,8
2013,Croatia,Architecture and construction,12
2013,Croatia,Agriculture forestry fisheries and veterinary,31
2013,Croatia,Health and welfare,167
2013,Croatia,Health,0
2013,Croatia,Dental studies,0
2013,Croatia,Medicine therapy and rehabilitation,0
2013,Croatia,Welfare,0
2013,Croatia,Care of the elderly and of disabled adults,0
2013,Croatia,Child care and youth services,0
2013,Croatia,Social work and counselling,0
2013,Croatia,Services,0
2013,Croatia,Domestic services,0
2013,Croatia,Hair and beauty services,0
2013,Croatia,Hotel restaurants and catering,0
2013,Croatia,Sports,0
2013,Croatia,Travel tourism and leisure,0
2013,Croatia,Transport services,12
2013,Italy,Total,82585
2013,Italy,Education,1593
2013,Italy,Arts and humanities,17163
2013,Italy,Social sciences journalism and information,10434
2013,Italy,Business administration and law,15284
2013,Italy,Natural sciences mathematics and statistics,0
2013,Italy,Biology,0
2013,Italy,Biochemistry,0
2013,Italy,Environment,0
2013,Italy,Physical sciences,0
2013,Italy,Mathematics and statistics,858
2013,Italy,Information and Communication Technologies,1388
2013,Italy,Engineering manufacturing and construction,0
2013,Italy,Engineering and engineering trades,0
2013,Italy,Manufacturing and processing,0
2013,Italy,Architecture and construction,7252
2013,Italy,Agriculture forestry fisheries and veterinary,1515
2013,Italy,Health and welfare,12168
2013,Italy,Health,0
2013,Italy,Dental studies,0
2013,Italy,Medicine therapy and rehabilitation,0
2013,Italy,Welfare,0
2013,Italy,Care of the elderly and of disabled adults,0
2013,Italy,Child care and youth services,0
2013,Italy,Social work and counselling,0
2013,Italy,Services,0
2013,Italy,Domestic services,0
2013,Italy,Hair and beauty services,0
2013,Italy,Hotel restaurants and catering,0
2013,Italy,Sports,0
2013,Italy,Travel tourism and leisure,0
2013,Italy,Transport services,6
2013,Cyprus,Total,4756
2013,Cyprus,Education,409
2013,Cyprus,Arts and humanities,154
2013,Cyprus,Social sciences journalism and information,138
2013,Cyprus,Business administration and law,3523
2013,Cyprus,Natural sciences mathematics and statistics,37
2013,Cyprus,Biology,0
2013,Cyprus,Biochemistry,0
2013,Cyprus,Environment,0
2013,Cyprus,Physical sciences,5
2013,Cyprus,Mathematics and statistics,8
2013,Cyprus,Information and Communication Technologies,134
2013,Cyprus,Engineering manufacturing and construction,221
2013,Cyprus,Engineering and engineering trades,105
2013,Cyprus,Manufacturing and processing,0
2013,Cyprus,Architecture and construction,110
2013,Cyprus,Agriculture forestry fisheries and veterinary,3
2013,Cyprus,Health and welfare,101
2013,Cyprus,Health,0
2013,Cyprus,Dental studies,0
2013,Cyprus,Medicine therapy and rehabilitation,0
2013,Cyprus,Welfare,0
2013,Cyprus,Care of the elderly and of disabled adults,0
2013,Cyprus,Child care and youth services,5
2013,Cyprus,Social work and counselling,2
2013,Cyprus,Services,36
2013,Cyprus,Domestic services,0
2013,Cyprus,Hair and beauty services,5
2013,Cyprus,Hotel restaurants and catering,25
2013,Cyprus,Sports,0
2013,Cyprus,Travel tourism and leisure,6
2013,Cyprus,Transport services,0
2013,Latvia,Total,3505
2013,Latvia,Education,49
2013,Latvia,Arts and humanities,267
2013,Latvia,Social sciences journalism and information,347
2013,Latvia,Business administration and law,1132
2013,Latvia,Natural sciences mathematics and statistics,20
2013,Latvia,Biology,0
2013,Latvia,Biochemistry,0
2013,Latvia,Environment,0
2013,Latvia,Physical sciences,0
2013,Latvia,Mathematics and statistics,3
2013,Latvia,Information and Communication Technologies,125
2013,Latvia,Engineering manufacturing and construction,194
2013,Latvia,Engineering and engineering trades,138
2013,Latvia,Manufacturing and processing,3
2013,Latvia,Architecture and construction,39
2013,Latvia,Agriculture forestry fisheries and veterinary,2
2013,Latvia,Health and welfare,951
2013,Latvia,Health,0
2013,Latvia,Dental studies,81
2013,Latvia,Medicine therapy and rehabilitation,0
2013,Latvia,Welfare,0
2013,Latvia,Care of the elderly and of disabled adults,0
2013,Latvia,Child care and youth services,0
2013,Latvia,Social work and counselling,7
2013,Latvia,Services,418
2013,Latvia,Domestic services,0
2013,Latvia,Hair and beauty services,0
2013,Latvia,Hotel restaurants and catering,6
2013,Latvia,Sports,8
2013,Latvia,Travel tourism and leisure,163
2013,Latvia,Transport services,192
2013,Lithuania,Total,3915
2013,Lithuania,Education,31
2013,Lithuania,Arts and humanities,649
2013,Lithuania,Social sciences journalism and information,824
2013,Lithuania,Business administration and law,1176
2013,Lithuania,Natural sciences mathematics and statistics,30
2013,Lithuania,Biology,0
2013,Lithuania,Biochemistry,0
2013,Lithuania,Environment,9
2013,Lithuania,Physical sciences,12
2013,Lithuania,Mathematics and statistics,7
2013,Lithuania,Information and Communication Technologies,16
2013,Lithuania,Engineering manufacturing and construction,221
2013,Lithuania,Engineering and engineering trades,118
2013,Lithuania,Manufacturing and processing,4
2013,Lithuania,Architecture and construction,76
2013,Lithuania,Agriculture forestry fisheries and veterinary,20
2013,Lithuania,Health and welfare,618
2013,Lithuania,Health,0
2013,Lithuania,Dental studies,137
2013,Lithuania,Medicine therapy and rehabilitation,0
2013,Lithuania,Welfare,0
2013,Lithuania,Care of the elderly and of disabled adults,0
2013,Lithuania,Child care and youth services,0
2013,Lithuania,Social work and counselling,55
2013,Lithuania,Services,330
2013,Lithuania,Domestic services,0
2013,Lithuania,Hair and beauty services,0
2013,Lithuania,Hotel restaurants and catering,0
2013,Lithuania,Sports,0
2013,Lithuania,Travel tourism and leisure,327
2013,Lithuania,Transport services,3
2013,Luxembourg,Total,2880
2013,Luxembourg,Education,161
2013,Luxembourg,Arts and humanities,259
2013,Luxembourg,Social sciences journalism and information,348
2013,Luxembourg,Business administration and law,1429
2013,Luxembourg,Natural sciences mathematics and statistics,213
2013,Luxembourg,Biology,0
2013,Luxembourg,Biochemistry,0
2013,Luxembourg,Environment,51
2013,Luxembourg,Physical sciences,58
2013,Luxembourg,Mathematics and statistics,35
2013,Luxembourg,Information and Communication Technologies,134
2013,Luxembourg,Engineering manufacturing and construction,144
2013,Luxembourg,Engineering and engineering trades,24
2013,Luxembourg,Manufacturing and processing,0
2013,Luxembourg,Architecture and construction,63
2013,Luxembourg,Agriculture forestry fisheries and veterinary,28
2013,Luxembourg,Health and welfare,82
2013,Luxembourg,Health,0
2013,Luxembourg,Dental studies,0
2013,Luxembourg,Medicine therapy and rehabilitation,0
2013,Luxembourg,Welfare,0
2013,Luxembourg,Care of the elderly and of disabled adults,0
2013,Luxembourg,Child care and youth services,0
2013,Luxembourg,Social work and counselling,28
2013,Luxembourg,Services,0
2013,Luxembourg,Domestic services,0
2013,Luxembourg,Hair and beauty services,0
2013,Luxembourg,Hotel restaurants and catering,0
2013,Luxembourg,Sports,0
2013,Luxembourg,Travel tourism and leisure,0
2013,Luxembourg,Transport services,0
2013,Hungary,Total,20694
2013,Hungary,Education,638
2013,Hungary,Arts and humanities,2173
2013,Hungary,Social sciences journalism and information,1808
2013,Hungary,Business administration and law,2558
2013,Hungary,Natural sciences mathematics and statistics,498
2013,Hungary,Biology,0
2013,Hungary,Biochemistry,0
2013,Hungary,Environment,68
2013,Hungary,Physical sciences,238
2013,Hungary,Mathematics and statistics,66
2013,Hungary,Information and Communication Technologies,440
2013,Hungary,Engineering manufacturing and construction,1970
2013,Hungary,Engineering and engineering trades,1266
2013,Hungary,Manufacturing and processing,138
2013,Hungary,Architecture and construction,540
2013,Hungary,Agriculture forestry fisheries and veterinary,1688
2013,Hungary,Health and welfare,8354
2013,Hungary,Health,0
2013,Hungary,Dental studies,1077
2013,Hungary,Medicine therapy and rehabilitation,0
2013,Hungary,Welfare,0
2013,Hungary,Care of the elderly and of disabled adults,0
2013,Hungary,Child care and youth services,62
2013,Hungary,Social work and counselling,71
2013,Hungary,Services,569
2013,Hungary,Domestic services,0
2013,Hungary,Hair and beauty services,0
2013,Hungary,Hotel restaurants and catering,227
2013,Hungary,Sports,36
2013,Hungary,Travel tourism and leisure,268
2013,Hungary,Transport services,0
2013,Malta,Total,636
2013,Malta,Education,34
2013,Malta,Arts and humanities,91
2013,Malta,Social sciences journalism and information,120
2013,Malta,Business administration and law,78
2013,Malta,Natural sciences mathematics and statistics,30
2013,Malta,Biology,0
2013,Malta,Biochemistry,0
2013,Malta,Environment,14
2013,Malta,Physical sciences,10
2013,Malta,Mathematics and statistics,0
2013,Malta,Information and Communication Technologies,26
2013,Malta,Engineering manufacturing and construction,19
2013,Malta,Engineering and engineering trades,12
2013,Malta,Manufacturing and processing,0
2013,Malta,Architecture and construction,7
2013,Malta,Agriculture forestry fisheries and veterinary,0
2013,Malta,Health and welfare,181
2013,Malta,Health,0
2013,Malta,Dental studies,12
2013,Malta,Medicine therapy and rehabilitation,0
2013,Malta,Welfare,0
2013,Malta,Care of the elderly and of disabled adults,0
2013,Malta,Child care and youth services,4
2013,Malta,Social work and counselling,3
2013,Malta,Services,46
2013,Malta,Domestic services,0
2013,Malta,Hair and beauty services,0
2013,Malta,Hotel restaurants and catering,6
2013,Malta,Sports,0
2013,Malta,Travel tourism and leisure,38
2013,Malta,Transport services,0
2013,Netherlands,Total,63709
2013,Netherlands,Education,1869
2013,Netherlands,Arts and humanities,7199
2013,Netherlands,Social sciences journalism and information,9817
2013,Netherlands,Business administration and law,21378
2013,Netherlands,Natural sciences mathematics and statistics,3182
2013,Netherlands,Biology,416
2013,Netherlands,Biochemistry,953
2013,Netherlands,Environment,579
2013,Netherlands,Physical sciences,812
2013,Netherlands,Mathematics and statistics,367
2013,Netherlands,Information and Communication Technologies,1276
2013,Netherlands,Engineering manufacturing and construction,5882
2013,Netherlands,Engineering and engineering trades,3654
2013,Netherlands,Manufacturing and processing,677
2013,Netherlands,Architecture and construction,1551
2013,Netherlands,Agriculture forestry fisheries and veterinary,797
2013,Netherlands,Health and welfare,7415
2013,Netherlands,Health,4489
2013,Netherlands,Dental studies,101
2013,Netherlands,Medicine therapy and rehabilitation,0
2013,Netherlands,Welfare,2926
2013,Netherlands,Care of the elderly and of disabled adults,2428
2013,Netherlands,Child care and youth services,3
2013,Netherlands,Social work and counselling,495
2013,Netherlands,Services,4889
2013,Netherlands,Domestic services,107
2013,Netherlands,Hair and beauty services,0
2013,Netherlands,Hotel restaurants and catering,1416
2013,Netherlands,Sports,59
2013,Netherlands,Travel tourism and leisure,2271
2013,Netherlands,Transport services,931
2013,Austria,Total,70855
2013,Austria,Education,3968
2013,Austria,Arts and humanities,12287
2013,Austria,Social sciences journalism and information,11834
2013,Austria,Business administration and law,15203
2013,Austria,Natural sciences mathematics and statistics,5946
2013,Austria,Biology,0
2013,Austria,Biochemistry,0
2013,Austria,Environment,332
2013,Austria,Physical sciences,2332
2013,Austria,Mathematics and statistics,562
2013,Austria,Information and Communication Technologies,2950
2013,Austria,Engineering manufacturing and construction,10578
2013,Austria,Engineering and engineering trades,4114
2013,Austria,Manufacturing and processing,400
2013,Austria,Architecture and construction,5089
2013,Austria,Agriculture forestry fisheries and veterinary,1271
2013,Austria,Health and welfare,5954
2013,Austria,Health,0
2013,Austria,Dental studies,704
2013,Austria,Medicine therapy and rehabilitation,0
2013,Austria,Welfare,0
2013,Austria,Care of the elderly and of disabled adults,0
2013,Austria,Child care and youth services,4
2013,Austria,Social work and counselling,263
2013,Austria,Services,615
2013,Austria,Domestic services,0
2013,Austria,Hair and beauty services,0
2013,Austria,Hotel restaurants and catering,0
2013,Austria,Sports,404
2013,Austria,Travel tourism and leisure,145
2013,Austria,Transport services,0
2013,Poland,Total,27770
2013,Poland,Education,672
2013,Poland,Arts and humanities,3000
2013,Poland,Social sciences journalism and information,3830
2013,Poland,Business administration and law,7789
2013,Poland,Natural sciences mathematics and statistics,0
2013,Poland,Biology,0
2013,Poland,Biochemistry,0
2013,Poland,Environment,0
2013,Poland,Physical sciences,0
2013,Poland,Mathematics and statistics,113
2013,Poland,Information and Communication Technologies,1309
2013,Poland,Engineering manufacturing and construction,0
2013,Poland,Engineering and engineering trades,0
2013,Poland,Manufacturing and processing,0
2013,Poland,Architecture and construction,582
2013,Poland,Agriculture forestry fisheries and veterinary,368
2013,Poland,Health and welfare,6065
2013,Poland,Health,0
2013,Poland,Dental studies,0
2013,Poland,Medicine therapy and rehabilitation,0
2013,Poland,Welfare,0
2013,Poland,Care of the elderly and of disabled adults,0
2013,Poland,Child care and youth services,0
2013,Poland,Social work and counselling,0
2013,Poland,Services,0
2013,Poland,Domestic services,0
2013,Poland,Hair and beauty services,0
2013,Poland,Hotel restaurants and catering,0
2013,Poland,Sports,0
2013,Poland,Travel tourism and leisure,0
2013,Poland,Transport services,0
2013,Portugal,Total,14541
2013,Portugal,Education,827
2013,Portugal,Arts and humanities,1821
2013,Portugal,Social sciences journalism and information,1774
2013,Portugal,Business administration and law,3378
2013,Portugal,Natural sciences mathematics and statistics,1360
2013,Portugal,Biology,435
2013,Portugal,Biochemistry,45
2013,Portugal,Environment,74
2013,Portugal,Physical sciences,594
2013,Portugal,Mathematics and statistics,211
2013,Portugal,Information and Communication Technologies,299
2013,Portugal,Engineering manufacturing and construction,2727
2013,Portugal,Engineering and engineering trades,1647
2013,Portugal,Manufacturing and processing,145
2013,Portugal,Architecture and construction,865
2013,Portugal,Agriculture forestry fisheries and veterinary,153
2013,Portugal,Health and welfare,1470
2013,Portugal,Health,1349
2013,Portugal,Dental studies,184
2013,Portugal,Medicine therapy and rehabilitation,0
2013,Portugal,Welfare,121
2013,Portugal,Care of the elderly and of disabled adults,0
2013,Portugal,Child care and youth services,0
2013,Portugal,Social work and counselling,121
2013,Portugal,Services,730
2013,Portugal,Domestic services,0
2013,Portugal,Hair and beauty services,0
2013,Portugal,Hotel restaurants and catering,37
2013,Portugal,Sports,266
2013,Portugal,Travel tourism and leisure,192
2013,Portugal,Transport services,61
2013,Romania,Total,22215
2013,Romania,Education,49
2013,Romania,Arts and humanities,1786
2013,Romania,Social sciences journalism and information,2119
2013,Romania,Business administration and law,2230
2013,Romania,Natural sciences mathematics and statistics,434
2013,Romania,Biology,0
2013,Romania,Biochemistry,0
2013,Romania,Environment,64
2013,Romania,Physical sciences,217
2013,Romania,Mathematics and statistics,116
2013,Romania,Information and Communication Technologies,117
2013,Romania,Engineering manufacturing and construction,2915
2013,Romania,Engineering and engineering trades,1706
2013,Romania,Manufacturing and processing,341
2013,Romania,Architecture and construction,680
2013,Romania,Agriculture forestry fisheries and veterinary,380
2013,Romania,Health and welfare,11702
2013,Romania,Health,0
2013,Romania,Dental studies,2668
2013,Romania,Medicine therapy and rehabilitation,0
2013,Romania,Welfare,0
2013,Romania,Care of the elderly and of disabled adults,0
2013,Romania,Child care and youth services,0
2013,Romania,Social work and counselling,69
2013,Romania,Services,483
2013,Romania,Domestic services,0
2013,Romania,Hair and beauty services,0
2013,Romania,Hotel restaurants and catering,0
