COUNTRY,TIME,VALUE
Switzerland,2020,60850
Switzerland,2021,62600
Cyprus,2000,20130
Cyprus,2001,20700
Cyprus,2002,21230
Cyprus,2003,21520
Cyprus,2004,22300
Cyprus,2005,23050
Cyprus,2006,23740
Cyprus,2007,24420
Cyprus,2008,24680
Cyprus,2009,23550
Cyprus,2010,23400
Cyprus,2011,22900
Cyprus,2012,21780
Cyprus,2013,20400
Cyprus,2014,20250
Cyprus,2015,21050
Cyprus,2016,22310
Cyprus,2017,23400
Cyprus,2018,24430
Cyprus,2019,25370
Cyprus,2020,23840
Cyprus,2021,24920
Czechia,2000,11230
Czechia,2001,11620
Czechia,2002,11830
Czechia,2003,12260
Czechia,2004,12840
Czechia,2005,13650
Czechia,2006,14530
Czechia,2007,15250
Czechia,2008,15500
Czechia,2009,14690
Czechia,2010,15020
Czechia,2011,15310
Czechia,2012,15170
Czechia,2013,15160
Czechia,2014,15480
Czechia,2015,16290
Czechia,2016,16670
Czechia,2017,17490
Czechia,2018,17990
Czechia,2019,18460
Czechia,2020,17340
Czechia,2021,17920
Germany (until 1990 former territory of the FRG),2000,28910
Germany (until 1990 former territory of the FRG),2001,29370
Germany (until 1990 former territory of the FRG),2002,29290
Germany (until 1990 former territory of the FRG),2003,29100
Germany (until 1990 former territory of the FRG),2004,29470
Germany (until 1990 former territory of the FRG),2005,29730
Germany (until 1990 former territory of the FRG),2006,30930
Germany (until 1990 former territory of the FRG),2007,31920
Germany (until 1990 former territory of the FRG),2008,32320
Germany (until 1990 former territory of the FRG),2009,30580
Germany (until 1990 former territory of the FRG),2010,31940
Germany (until 1990 former territory of the FRG),2011,33200
Germany (until 1990 former territory of the FRG),2012,33280
Germany (until 1990 former territory of the FRG),2013,33330
Germany (until 1990 former territory of the FRG),2014,33920
Germany (until 1990 former territory of the FRG),2015,34130
Germany (until 1990 former territory of the FRG),2016,34610
Germany (until 1990 former territory of the FRG),2017,35410
Germany (until 1990 former territory of the FRG),2018,35690
Germany (until 1990 former territory of the FRG),2019,35980
Germany (until 1990 former territory of the FRG),2020,34310
Germany (until 1990 former territory of the FRG),2021,35290
Denmark,2000,42190
Denmark,2001,42390
Denmark,2002,42430
Denmark,2003,42490
Denmark,2004,43520
Denmark,2005,44400
Denmark,2006,45990
Denmark,2007,46210
Denmark,2008,45700
Denmark,2009,43220
Denmark,2010,43840
Denmark,2011,44240
Denmark,2012,44170
Denmark,2013,44410
Denmark,2014,44890
Denmark,2015,45630
Denmark,2016,46720
Denmark,2017,47740
Denmark,2018,48450
Denmark,2019,49270
Denmark,2020,48150
Denmark,2021,50200
Estonia,2000,7540
Estonia,2001,8040
Estonia,2002,8640
Estonia,2003,9350
Estonia,2004,10050
Estonia,2005,11070
Estonia,2006,12230
Estonia,2007,13230
Estonia,2008,12590
Estonia,2009,10770
Estonia,2010,11060
Estonia,2011,11890
Estonia,2012,12320
Estonia,2013,12540
Estonia,2014,12960
Estonia,2015,13230
Estonia,2016,13620
Estonia,2017,14410
Estonia,2018,14970
Estonia,2019,15510
Estonia,2020,15010
Estonia,2021,16260
Greece,2000,17430
Greece,2001,18050
Greece,2002,18690
Greece,2003,19730
Greece,2004,20670
Greece,2005,20740
Greece,2006,21840
Greece,2007,22500
Greece,2008,22370
Greece,2009,21350
Greece,2010,20150
Greece,2011,18130
Greece,2012,16940
Greece,2013,16630
Greece,2014,16830
Greece,2015,16900
Greece,2016,16890
Greece,2017,17110
Greece,2018,17430
Greece,2019,17760
Greece,2020,16180
Greece,2021,17590
Spain,2000,21460
Spain,2001,22190
Spain,2002,22430
Spain,2003,22680
Spain,2004,23020
Spain,2005,23420
Spain,2006,24000
Spain,2007,24380
Spain,2008,24200
Spain,2009,23100
Spain,2010,23040
Spain,2011,22770
Spain,2012,22080
Spain,2013,21840
Spain,2014,22210
Spain,2015,23080
Spain,2016,23760
Spain,2017,24430
Spain,2018,24880
Spain,2019,25200
Spain,2020,22350
Spain,2021,23510
Finland,2000,30510
Finland,2001,31230
Finland,2002,31690
Finland,2003,32250
Finland,2004,33440
Finland,2005,34250
Finland,2006,35490
Finland,2007,37210
Finland,2008,37330
Finland,2009,34150
Finland,2010,35080
Finland,2011,35810
Finland,2012,35140
Finland,2013,34660
Finland,2014,34390
Finland,2015,34460
Finland,2016,35330
Finland,2017,36380
Finland,2018,36740
Finland,2019,37150
Finland,2020,36240
Finland,2021,37400
France,2000,28930
France,2001,29290
France,2002,29410
France,2003,29440
France,2004,30050
France,2005,30320
France,2006,30850
France,2007,31400
France,2008,31310
France,2009,30250
France,2010,30690
France,2011,31210
France,2012,31160
France,2013,31170
France,2014,31320
France,2015,31540
France,2016,31770
France,2017,32360
France,2018,32820
France,2019,33320
France,2020,30610
France,2021,32650
Croatia,2000,7970
Croatia,2001,8510
Croatia,2002,8990
Croatia,2003,9490
Croatia,2004,9880
Croatia,2005,10290
Croatia,2006,10800
Croatia,2007,11330
Croatia,2008,11550
Croatia,2009,10720
Croatia,2010,10610
Croatia,2011,10630
Croatia,2012,10420
Croatia,2013,10420
Croatia,2014,10430
Croatia,2015,10770
Croatia,2016,11240
Croatia,2017,11750
Croatia,2018,12200
Croatia,2019,12700
Croatia,2020,11730
Croatia,2021,13480
Hungary,2000,7910
Hungary,2001,8260
Hungary,2002,8670
Hungary,2003,9050
Hungary,2004,9530
Hungary,2005,9950
Hungary,2006,10360
Hungary,2007,10410
Hungary,2008,10530
Hungary,2009,9850
Hungary,2010,9980
Hungary,2011,10200
Hungary,2012,10120
Hungary,2013,10330
Hungary,2014,10800
Hungary,2015,11220
Hungary,2016,11500
Hungary,2017,12030
Hungary,2018,12690
Hungary,2019,13270
Hungary,2020,12710
Hungary,2021,13660
Ireland,2000,33270
Ireland,2001,34490
Ireland,2002,35890
Ireland,2003,36370
Ireland,2004,38170
Ireland,2005,39460
Ireland,2006,40360
Ireland,2007,41240
Ireland,2008,38550
Ireland,2009,36240
Ireland,2010,36700
Ireland,2011,36940
Ireland,2012,36770
Ireland,2013,37060
Ireland,2014,40010
Ireland,2015,49620
Ireland,2016,50060
Ireland,2017,53930
Ireland,2018,58100
Ireland,2019,60130
Ireland,2020,62980
Ireland,2021,70920
Iceland,2000,28570
Iceland,2001,29310
Iceland,2002,29220
Iceland,2003,29670
Iceland,2004,31620
Iceland,2005,33190
Iceland,2006,34310
Iceland,2007,36360
Iceland,2008,36230
Iceland,2009,33480
Iceland,2010,32650
Iceland,2011,33150
Iceland,2012,33330
Iceland,2013,34510
Iceland,2014,34710
Iceland,2015,35870
Iceland,2016,37610
Iceland,2017,38280
Iceland,2018,39090
Iceland,2019,39160
Iceland,2020,35800
Iceland,2021,36890
Italy,2000,27430
Italy,2001,27950
Italy,2002,27960
Italy,2003,27850
Italy,2004,28040
Italy,2005,28100
Italy,2006,28490
Italy,2007,28740
Italy,2008,28250
Italy,2009,26600
Italy,2010,26940
Italy,2011,27030
Italy,2012,26160
Italy,2013,25620
Italy,2014,25620
Italy,2015,25860
Italy,2016,26240
Italy,2017,26730
Italy,2018,27030
Italy,2019,27230
Italy,2020,24900
Italy,2021,26700
Lithuania,2000,5230
Lithuania,2001,5620
Lithuania,2002,6050
Lithuania,2003,6740
Lithuania,2004,7270
Lithuania,2005,7960
Lithuania,2006,8690
Lithuania,2007,9770
Lithuania,2008,10130
Lithuania,2009,8720
Lithuania,2010,9050
Lithuania,2011,9820
Lithuania,2012,10330
Lithuania,2013,10810
Lithuania,2014,11290
Lithuania,2015,11620
Lithuania,2016,12070
Lithuania,2017,12760
Lithuania,2018,13400
Lithuania,2019,14050
Lithuania,2020,14030
Lithuania,2021,14690
Luxembourg,2000,72530
Luxembourg,2001,73930
Luxembourg,2002,75500
Luxembourg,2003,76510
Luxembourg,2004,78660
Luxembourg,2005,79370
Luxembourg,2006,82860
Luxembourg,2007,88120
Luxembourg,2008,86330
Luxembourg,2009,82020
Luxembourg,2010,83550
Luxembourg,2011,82490
Luxembourg,2012,81940
Luxembourg,2013,82400
Luxembourg,2014,82590
Luxembourg,2015,82820
Luxembourg,2016,84750
Luxembourg,2017,84020
Luxembourg,2018,84040
Luxembourg,2019,85030
Luxembourg,2020,82250
Luxembourg,2021,86550
Latvia,2000,5250
Latvia,2001,5650
Latvia,2002,6120
Latvia,2003,6700
Latvia,2004,7340
Latvia,2005,8210
Latvia,2006,9280
Latvia,2007,10280
Latvia,2008,10050
Latvia,2009,8770
Latvia,2010,8550
Latvia,2011,8940
Latvia,2012,9680
Latvia,2013,9980
Latvia,2014,10260
Latvia,2015,10750
Latvia,2016,11110
Latvia,2017,11590
Latvia,2018,12140
Latvia,2019,12530
Latvia,2020,12130
Latvia,2021,12820
Montenegro,2006,4580
Montenegro,2007,4890
Montenegro,2008,5230
Montenegro,2009,4920
Montenegro,2010,5050
Montenegro,2011,5200
Montenegro,2012,5060
Montenegro,2013,5230
Montenegro,2014,5320
Montenegro,2015,5500
Montenegro,2016,5660
Montenegro,2017,5920
Montenegro,2018,6230
Montenegro,2019,6480
Montenegro,2020,5490
North Macedonia,2000,2620
North Macedonia,2001,2530
North Macedonia,2002,2580
North Macedonia,2003,2630
North Macedonia,2004,2750
North Macedonia,2005,2870
North Macedonia,2006,3010
North Macedonia,2007,3200
North Macedonia,2008,3370
North Macedonia,2009,3350
North Macedonia,2010,3460
North Macedonia,2011,3530
North Macedonia,2012,3510
North Macedonia,2013,3610
North Macedonia,2014,3740
North Macedonia,2015,3870
North Macedonia,2016,3980
North Macedonia,2017,4020
North Macedonia,2018,4130
Malta,2000,13750
Malta,2001,13480
Malta,2002,13730
Malta,2003,14200
Malta,2004,14120
Malta,2005,14510
Malta,2006,14820
Malta,2007,15470
Malta,2008,15960
Malta,2009,15660
Malta,2010,16440
Malta,2011,16450
Malta,2012,16970
Malta,2013,17650
Malta,2014,18610
Malta,2015,19920
Malta,2016,20130
Malta,2017,21750
Malta,2018,22260
Malta,2019,22660
Malta,2020,20320
Malta,2021,22030
Netherlands,2000,35060
Netherlands,2001,35610
Netherlands,2002,35460
Netherlands,2003,35350
Netherlands,2004,35920
Netherlands,2005,36570
Netherlands,2006,37780
Netherlands,2007,39120
Netherlands,2008,39810
Netherlands,2009,38160
Netherlands,2010,38470
Netherlands,2011,38880
Netherlands,2012,38340
Netherlands,2013,38180
Netherlands,2014,38580
Netherlands,2015,39170
Netherlands,2016,39810
Netherlands,2017,40730
Netherlands,2018,41450
Netherlands,2019,41980
Netherlands,2020,40160
Netherlands,2021,41970
Norway,2000,61660
Norway,2001,62620
Norway,2002,63190
Norway,2003,63380
Norway,2004,65510
Norway,2005,66780
Norway,2006,67830
Norway,2007,69140
Norway,2008,68610
Norway,2009,66580
Norway,2010,66220
Norway,2011,66010
Norway,2012,66900
Norway,2013,66780
Norway,2014,67340
Norway,2015,67960
Norway,2016,68090
Norway,2017,69130
Norway,2018,69440
Norway,2019,69490
Norway,2020,68590
Norway,2021,70900
Poland,2000,6450
Poland,2001,6530
Poland,2002,6670
Poland,2003,6910
Poland,2004,7260
Poland,2005,7510
Poland,2006,7980
Poland,2007,8550
Poland,2008,8910
Poland,2009,9070
Poland,2010,9400
Poland,2011,9850
Poland,2012,9980
Poland,2013,10100
Poland,2014,10440
Poland,2015,10890
Poland,2016,11240
Poland,2017,11790
Poland,2018,12420
Poland,2019,13020
Poland,2020,12700
Poland,2021,13480
Portugal,2000,16230
Portugal,2001,16430
Portugal,2002,16470
Portugal,2003,16250
Portugal,2004,16500
Portugal,2005,16600
Portugal,2006,16840
Portugal,2007,17230
Portugal,2008,17260
Portugal,2009,16710
Portugal,2010,16990
Portugal,2011,16720
Portugal,2012,16110
Portugal,2013,16050
Portugal,2014,16260
Portugal,2015,16620
Portugal,2016,17010
Portugal,2017,17650
Portugal,2018,18190
Portugal,2019,18670
Portugal,2020,17070
Portugal,2021,17920
Romania,2000,0
Romania,2001,0
Romania,2002,4260
Romania,2003,4380
Romania,2004,4860
Romania,2005,5120
Romania,2006,5560
Romania,2007,6050
Romania,2008,6730
Romania,2009,6410
Romania,2010,6200
Romania,2011,6350
Romania,2012,6500
Romania,2013,6770
Romania,2014,7040
Romania,2015,7290
Romania,2016,7670
Romania,2017,8280
Romania,2018,8700
Romania,2019,9120
Romania,2020,8820
Romania,2021,9380
Serbia,2000,2650
Serbia,2001,2840
Serbia,2002,3020
Serbia,2003,3160
Serbia,2004,3460
Serbia,2005,3660
Serbia,2006,3860
Serbia,2007,4130
Serbia,2008,4380
Serbia,2009,4280
Serbia,2010,4330
Serbia,2011,4450
Serbia,2012,4440
Serbia,2013,4590
Serbia,2014,4540
Serbia,2015,4640
Serbia,2016,4820
Serbia,2017,4950
Serbia,2018,5200
Serbia,2019,5460
Serbia,2020,5440
Serbia,2021,5890
Sweden,2000,33960
Sweden,2001,34360
Sweden,2002,35000
Sweden,2003,35680
Sweden,2004,37080
Sweden,2005,37990
Sweden,2006,39540
Sweden,2007,40590
Sweden,2008,40100
Sweden,2009,38030
Sweden,2010,39950
Sweden,2011,40920
Sweden,2012,40380
Sweden,2013,40510
Sweden,2014,41180
Sweden,2015,42580
Sweden,2016,42920
Sweden,2017,43430
Sweden,2018,43760
Sweden,2019,44180
Sweden,2020,42570
Sweden,2021,44340
Slovenia,2000,13980
Slovenia,2001,14410
Slovenia,2002,14900
Slovenia,2003,15330
Slovenia,2004,15990
Slovenia,2005,16570
Slovenia,2006,17460
Slovenia,2007,18570
Slovenia,2008,19190
Slovenia,2009,17570
Slovenia,2010,17750
Slovenia,2011,17870
Slovenia,2012,17360
Slovenia,2013,17160
Slovenia,2014,17620
Slovenia,2015,17990
Slovenia,2016,18550
Slovenia,2017,19440
Slovenia,2018,20240
Slovenia,2019,20720
Slovenia,2020,19720
Slovenia,2021,21260
Slovakia,2000,7780
Slovakia,2001,8060
Slovakia,2002,8430
Slovakia,2003,8890
Slovakia,2004,9360
Slovakia,2005,9970
Slovakia,2006,10800
Slovakia,2007,11960
Slovakia,2008,12610
Slovakia,2009,11890
Slovakia,2010,12610
Slovakia,2011,13020
Slovakia,2012,13180
Slovakia,2013,13250
Slovakia,2014,13600
Slovakia,2015,14300
Slovakia,2016,14550
Slovakia,2017,14960
Slovakia,2018,15510
Slovakia,2019,15890
Slovakia,2020,15180
Slovakia,2021,15660
Turkey,2000,6130
Turkey,2001,5700
Turkey,2002,5990
Turkey,2003,6260
Turkey,2004,6790
Turkey,2005,7310
Turkey,2006,7720
Turkey,2007,8010
Turkey,2008,7980
Turkey,2009,7490
Turkey,2010,8000
Turkey,2011,8760
Turkey,2012,9070
Turkey,2013,9710
Turkey,2014,10050
Turkey,2015,10520
Turkey,2016,10730
Turkey,2017,11380
Turkey,2018,11560
Turkey,2019,11500
Turkey,2020,11600
United Kingdom,2000,27130
United Kingdom,2001,27770
United Kingdom,2002,28250
United Kingdom,2003,29060
United Kingdom,2004,29560
United Kingdom,2005,30210
United Kingdom,2006,30810
United Kingdom,2007,31280
United Kingdom,2008,30940
United Kingdom,2009,29460
United Kingdom,2010,29830
United Kingdom,2011,29960
United Kingdom,2012,30190
United Kingdom,2013,30660
United Kingdom,2014,31290
United Kingdom,2015,31780
United Kingdom,2016,32060
United Kingdom,2017,32430
United Kingdom,2018,32640
United Kingdom,2019,32910
