TIME,COUNTRY,COFOG99,VALUE
2010,Germany (until 1990 former territory of the FRG),Old age,9.6
2010,Germany (until 1990 former territory of the FRG),Family and children,1.7
2010,Germany (until 1990 former territory of the FRG),Unemployment,2.4
2010,Germany (until 1990 former territory of the FRG),Housing,0.5
2010,Germany (until 1990 former territory of the FRG),Social exclusion n.e.c.,0.3
2010,Estonia,Total,40.3
2010,Estonia,General public services,3.3
2010,Estonia,Defence,1.7
2010,Estonia,Public order and safety,2.2
2010,Estonia,Economic affairs,4.7
2010,Estonia,Fuel and energy,0.1
2010,Estonia,Transport,2.8
2010,Estonia,Environmental protection,-0.3
2010,Estonia,Housing and community amenities,0.5
2010,Estonia,Health,5.7
2010,Estonia,Medical products appliances and equipment,0.8
2010,Estonia,Outpatient services,0.5
2010,Estonia,Hospital services,4.1
2010,Estonia,Recreation culture and religion,2.2
2010,Estonia,Recreational and sporting services,0.5
2010,Estonia,Cultural services,1.1
2010,Estonia,Education,6.5
2010,Estonia,Tertiary education,1.5
2010,Estonia,Social protection,13.8
2010,Estonia,Sickness and disability,2.1
2010,Estonia,Old age,8.0
2010,Estonia,Family and children,2.4
2010,Estonia,Unemployment,0.8
2010,Estonia,Housing,0.0
2010,Estonia,Social exclusion n.e.c.,0.2
2010,Ireland,Total,64.9
2010,Ireland,General public services,5.2
2010,Ireland,Defence,0.4
2010,Ireland,Public order and safety,1.7
2010,Ireland,Economic affairs,25.1
2010,Ireland,Fuel and energy,0.1
2010,Ireland,Transport,4.6
2010,Ireland,Environmental protection,1.0
2010,Ireland,Housing and community amenities,1.2
2010,Ireland,Health,7.5
2010,Ireland,Medical products appliances and equipment,0.9
2010,Ireland,Outpatient services,4.0
2010,Ireland,Hospital services,1.9
2010,Ireland,Recreation culture and religion,0.9
2010,Ireland,Recreational and sporting services,0.2
2010,Ireland,Cultural services,0.4
2010,Ireland,Education,4.6
2010,Ireland,Tertiary education,0.7
2010,Ireland,Social protection,17.5
2010,Ireland,Sickness and disability,3.9
2010,Ireland,Old age,6.3
2010,Ireland,Family and children,2.2
2010,Ireland,Unemployment,2.3
2010,Ireland,Housing,0.7
2010,Ireland,Social exclusion n.e.c.,0.9
2010,Greece,Total,53.0
2010,Greece,General public services,12.3
2010,Greece,Defence,2.7
2010,Greece,Public order and safety,1.8
2010,Greece,Economic affairs,4.5
2010,Greece,Fuel and energy,0.0
2010,Greece,Transport,2.5
2010,Greece,Environmental protection,0.8
2010,Greece,Housing and community amenities,0.2
2010,Greece,Health,6.9
2010,Greece,Medical products appliances and equipment,2.3
2010,Greece,Outpatient services,0.3
2010,Greece,Hospital services,4.3
2010,Greece,Recreation culture and religion,0.6
2010,Greece,Recreational and sporting services,0.2
2010,Greece,Cultural services,0.1
2010,Greece,Education,4.1
2010,Greece,Tertiary education,0.9
2010,Greece,Social protection,19.0
2010,Greece,Sickness and disability,1.7
2010,Greece,Old age,13.6
2010,Greece,Family and children,0.9
2010,Greece,Unemployment,1.0
2010,Greece,Housing,0.1
2010,Greece,Social exclusion n.e.c.,0.0
2010,Spain,Total,46.0
2010,Spain,General public services,5.6
2010,Spain,Defence,1.1
2010,Spain,Public order and safety,2.2
2010,Spain,Economic affairs,5.9
2010,Spain,Fuel and energy,0.1
2010,Spain,Transport,2.7
2010,Spain,Environmental protection,1.1
2010,Spain,Housing and community amenities,0.7
2010,Spain,Health,6.6
2010,Spain,Medical products appliances and equipment,1.3
2010,Spain,Outpatient services,2.4
2010,Spain,Hospital services,2.6
2010,Spain,Recreation culture and religion,1.6
2010,Spain,Recreational and sporting services,0.5
2010,Spain,Cultural services,0.7
2010,Spain,Education,4.5
2010,Spain,Tertiary education,0.7
2010,Spain,Social protection,16.7
2010,Spain,Sickness and disability,2.4
2010,Spain,Old age,7.5
2010,Spain,Family and children,0.9
2010,Spain,Unemployment,3.2
2010,Spain,Housing,0.1
2010,Spain,Social exclusion n.e.c.,0.3
2010,France,Total,56.9
2010,France,General public services,6.9
2010,France,Defence,1.9
2010,France,Public order and safety,1.7
2010,France,Economic affairs,5.2
2010,France,Fuel and energy,0.2
2010,France,Transport,1.9
2010,France,Environmental protection,1.0
2010,France,Housing and community amenities,1.4
2010,France,Health,8.0
2010,France,Medical products appliances and equipment,1.5
2010,France,Outpatient services,2.7
2010,France,Hospital services,3.4
2010,France,Recreation culture and religion,1.6
2010,France,Recreational and sporting services,0.6
2010,France,Cultural services,0.8
2010,France,Education,5.6
2010,France,Tertiary education,0.7
2010,France,Social protection,23.7
2010,France,Sickness and disability,2.7
2010,France,Old age,12.9
2010,France,Family and children,2.4
2010,France,Unemployment,1.9
2010,France,Housing,0.9
2010,France,Social exclusion n.e.c.,1.0
2010,Croatia,Total,48.5
2010,Croatia,General public services,5.6
2010,Croatia,Defence,1.5
2010,Croatia,Public order and safety,2.5
2010,Croatia,Economic affairs,8.3
2010,Croatia,Fuel and energy,0.0
2010,Croatia,Transport,4.3
2010,Croatia,Environmental protection,0.6
2010,Croatia,Housing and community amenities,2.3
2010,Croatia,Health,6.2
2010,Croatia,Medical products appliances and equipment,1.6
2010,Croatia,Outpatient services,0.9
2010,Croatia,Hospital services,2.9
2010,Croatia,Recreation culture and religion,1.8
2010,Croatia,Recreational and sporting services,0.5
2010,Croatia,Cultural services,0.7
2010,Croatia,Education,4.6
2010,Croatia,Tertiary education,0.8
2010,Croatia,Social protection,15.0
2010,Croatia,Sickness and disability,2.1
2010,Croatia,Old age,8.9
2010,Croatia,Family and children,2.0
2010,Croatia,Unemployment,0.4
2010,Croatia,Housing,0.1
2010,Croatia,Social exclusion n.e.c.,0.3
2010,Italy,Total,49.9
2010,Italy,General public services,9.0
2010,Italy,Defence,1.4
2010,Italy,Public order and safety,1.9
2010,Italy,Economic affairs,4.0
2010,Italy,Fuel and energy,0.3
2010,Italy,Transport,1.9
2010,Italy,Environmental protection,0.8
2010,Italy,Housing and community amenities,0.8
2010,Italy,Health,7.4
2010,Italy,Medical products appliances and equipment,1.0
2010,Italy,Outpatient services,2.5
2010,Italy,Hospital services,3.3
2010,Italy,Recreation culture and religion,0.7
2010,Italy,Recreational and sporting services,0.2
2010,Italy,Cultural services,0.3
2010,Italy,Education,4.3
2010,Italy,Tertiary education,0.4
2010,Italy,Social protection,19.7
2010,Italy,Sickness and disability,1.7
2010,Italy,Old age,13.3
2010,Italy,Family and children,0.9
2010,Italy,Unemployment,0.9
2010,Italy,Housing,0.0
2010,Italy,Social exclusion n.e.c.,0.2
2010,Cyprus,Total,41.8
2010,Cyprus,General public services,8.3
2010,Cyprus,Defence,2.2
2010,Cyprus,Public order and safety,2.2
2010,Cyprus,Economic affairs,3.6
2010,Cyprus,Fuel and energy,0.2
2010,Cyprus,Transport,1.1
2010,Cyprus,Environmental protection,0.3
2010,Cyprus,Housing and community amenities,2.5
2010,Cyprus,Health,3.0
2010,Cyprus,Medical products appliances and equipment,0.6
2010,Cyprus,Outpatient services,0.1
2010,Cyprus,Hospital services,2.2
2010,Cyprus,Recreation culture and religion,1.1
2010,Cyprus,Recreational and sporting services,0.4
2010,Cyprus,Cultural services,0.4
2010,Cyprus,Education,6.5
2010,Cyprus,Tertiary education,1.2
2010,Cyprus,Social protection,12.1
2010,Cyprus,Sickness and disability,0.7
2010,Cyprus,Old age,4.7
2010,Cyprus,Family and children,2.2
2010,Cyprus,Unemployment,0.6
2010,Cyprus,Housing,0.0
2010,Cyprus,Social exclusion n.e.c.,2.6
2010,Latvia,Total,45.8
2010,Latvia,General public services,4.9
2010,Latvia,Defence,1.0
2010,Latvia,Public order and safety,1.9
2010,Latvia,Economic affairs,10.3
2010,Latvia,Fuel and energy,0.9
2010,Latvia,Transport,4.2
2010,Latvia,Environmental protection,0.3
2010,Latvia,Housing and community amenities,1.5
2010,Latvia,Health,4.1
2010,Latvia,Medical products appliances and equipment,0.6
2010,Latvia,Outpatient services,0.8
2010,Latvia,Hospital services,2.4
2010,Latvia,Recreation culture and religion,1.6
2010,Latvia,Recreational and sporting services,0.2
2010,Latvia,Cultural services,1.1
2010,Latvia,Education,6.2
2010,Latvia,Tertiary education,1.1
2010,Latvia,Social protection,14.1
2010,Latvia,Sickness and disability,2.4
2010,Latvia,Old age,8.6
2010,Latvia,Family and children,1.0
2010,Latvia,Unemployment,0.9
2010,Latvia,Housing,0.1
2010,Latvia,Social exclusion n.e.c.,0.5
2010,Lithuania,Total,42.4
2010,Lithuania,General public services,5.1
2010,Lithuania,Defence,1.1
2010,Lithuania,Public order and safety,1.8
2010,Lithuania,Economic affairs,4.6
2010,Lithuania,Fuel and energy,0.4
2010,Lithuania,Transport,2.0
2010,Lithuania,Environmental protection,1.3
2010,Lithuania,Housing and community amenities,0.3
2010,Lithuania,Health,5.4
2010,Lithuania,Medical products appliances and equipment,0.9
2010,Lithuania,Outpatient services,1.7
2010,Lithuania,Hospital services,2.5
2010,Lithuania,Recreation culture and religion,1.0
2010,Lithuania,Recreational and sporting services,0.2
2010,Lithuania,Cultural services,0.6
2010,Lithuania,Education,5.9
2010,Lithuania,Tertiary education,0.9
2010,Lithuania,Social protection,15.9
2010,Lithuania,Sickness and disability,5.0
2010,Lithuania,Old age,6.5
2010,Lithuania,Family and children,2.0
2010,Lithuania,Unemployment,0.9
2010,Lithuania,Housing,0.1
2010,Lithuania,Social exclusion n.e.c.,0.7
2010,Luxembourg,Total,42.0
2010,Luxembourg,General public services,5.2
2010,Luxembourg,Defence,0.5
2010,Luxembourg,Public order and safety,1.0
2010,Luxembourg,Economic affairs,5.5
2010,Luxembourg,Fuel and energy,0.2
2010,Luxembourg,Transport,3.6
2010,Luxembourg,Environmental protection,0.8
2010,Luxembourg,Housing and community amenities,0.8
2010,Luxembourg,Health,5.0
2010,Luxembourg,Medical products appliances and equipment,1.7
2010,Luxembourg,Outpatient services,0.9
2010,Luxembourg,Hospital services,2.1
2010,Luxembourg,Recreation culture and religion,1.2
2010,Luxembourg,Recreational and sporting services,0.4
2010,Luxembourg,Cultural services,0.5
2010,Luxembourg,Education,5.0
2010,Luxembourg,Tertiary education,0.3
2010,Luxembourg,Social protection,17.1
2010,Luxembourg,Sickness and disability,1.9
2010,Luxembourg,Old age,9.9
2010,Luxembourg,Family and children,3.5
2010,Luxembourg,Unemployment,1.0
2010,Luxembourg,Housing,0.0
2010,Luxembourg,Social exclusion n.e.c.,0.7
2010,Hungary,Total,48.8
2010,Hungary,General public services,9.3
2010,Hungary,Defence,1.2
2010,Hungary,Public order and safety,1.8
2010,Hungary,Economic affairs,5.8
2010,Hungary,Fuel and energy,0.0
2010,Hungary,Transport,3.2
2010,Hungary,Environmental protection,0.6
2010,Hungary,Housing and community amenities,0.7
2010,Hungary,Health,5.0
2010,Hungary,Medical products appliances and equipment,1.4
2010,Hungary,Outpatient services,1.4
2010,Hungary,Hospital services,1.8
2010,Hungary,Recreation culture and religion,1.8
2010,Hungary,Recreational and sporting services,0.4
2010,Hungary,Cultural services,0.8
2010,Hungary,Education,5.5
2010,Hungary,Tertiary education,0.9
2010,Hungary,Social protection,17.2
2010,Hungary,Sickness and disability,3.8
2010,Hungary,Old age,7.2
2010,Hungary,Family and children,2.6
2010,Hungary,Unemployment,0.8
2010,Hungary,Housing,0.6
2010,Hungary,Social exclusion n.e.c.,0.8
2010,Malta,Total,40.1
2010,Malta,General public services,6.6
2010,Malta,Defence,0.7
2010,Malta,Public order and safety,1.4
2010,Malta,Economic affairs,4.6
2010,Malta,Fuel and energy,0.2
2010,Malta,Transport,1.2
2010,Malta,Environmental protection,1.9
2010,Malta,Housing and community amenities,0.3
2010,Malta,Health,5.1
2010,Malta,Medical products appliances and equipment,0.6
2010,Malta,Outpatient services,0.8
2010,Malta,Hospital services,3.3
2010,Malta,Recreation culture and religion,0.8
2010,Malta,Recreational and sporting services,0.1
2010,Malta,Cultural services,0.5
2010,Malta,Education,5.4
2010,Malta,Tertiary education,0.9
2010,Malta,Social protection,13.3
2010,Malta,Sickness and disability,1.5
2010,Malta,Old age,7.6
2010,Malta,Family and children,1.1
2010,Malta,Unemployment,0.5
2010,Malta,Housing,0.1
2010,Malta,Social exclusion n.e.c.,0.3
2010,Netherlands,Total,47.9
2010,Netherlands,General public services,5.7
2010,Netherlands,Defence,1.3
2010,Netherlands,Public order and safety,1.9
2010,Netherlands,Economic affairs,5.1
2010,Netherlands,Fuel and energy,0.1
2010,Netherlands,Transport,2.8
2010,Netherlands,Environmental protection,1.6
2010,Netherlands,Housing and community amenities,0.7
2010,Netherlands,Health,7.8
2010,Netherlands,Medical products appliances and equipment,1.1
2010,Netherlands,Outpatient services,2.5
2010,Netherlands,Hospital services,3.4
2010,Netherlands,Recreation culture and religion,1.5
2010,Netherlands,Recreational and sporting services,0.6
2010,Netherlands,Cultural services,0.5
2010,Netherlands,Education,5.6
2010,Netherlands,Tertiary education,1.3
2010,Netherlands,Social protection,16.8
2010,Netherlands,Sickness and disability,5.0
2010,Netherlands,Old age,6.2
2010,Netherlands,Family and children,1.7
2010,Netherlands,Unemployment,1.2
2010,Netherlands,Housing,0.4
2010,Netherlands,Social exclusion n.e.c.,2.1
2010,Austria,Total,52.8
2010,Austria,General public services,7.7
2010,Austria,Defence,0.6
2010,Austria,Public order and safety,1.4
2010,Austria,Economic affairs,6.5
2010,Austria,Fuel and energy,0.0
2010,Austria,Transport,3.3
2010,Austria,Environmental protection,0.6
2010,Austria,Housing and community amenities,0.4
2010,Austria,Health,7.9
2010,Austria,Medical products appliances and equipment,1.1
2010,Austria,Outpatient services,1.4
2010,Austria,Hospital services,4.4
2010,Austria,Recreation culture and religion,1.3
2010,Austria,Recreational and sporting services,0.3
2010,Austria,Cultural services,0.6
2010,Austria,Education,5.1
2010,Austria,Tertiary education,0.7
2010,Austria,Social protection,21.4
2010,Austria,Sickness and disability,2.0
2010,Austria,Old age,12.6
2010,Austria,Family and children,2.7
2010,Austria,Unemployment,1.4
2010,Austria,Housing,0.2
2010,Austria,Social exclusion n.e.c.,0.8
2010,Poland,Total,45.8
2010,Poland,General public services,5.6
2010,Poland,Defence,1.6
2010,Poland,Public order and safety,2.4
2010,Poland,Economic affairs,6.4
2010,Poland,Fuel and energy,0.2
2010,Poland,Transport,4.4
2010,Poland,Environmental protection,0.7
2010,Poland,Housing and community amenities,0.8
2010,Poland,Health,5.0
2010,Poland,Medical products appliances and equipment,0.1
2010,Poland,Outpatient services,1.6
2010,Poland,Hospital services,3.0
2010,Poland,Recreation culture and religion,1.4
2010,Poland,Recreational and sporting services,0.6
2010,Poland,Cultural services,0.7
2010,Poland,Education,5.5
2010,Poland,Tertiary education,1.5
2010,Poland,Social protection,16.3
2010,Poland,Sickness and disability,2.7
2010,Poland,Old age,9.6
2010,Poland,Family and children,1.3
2010,Poland,Unemployment,0.7
2010,Poland,Housing,0.1
2010,Poland,Social exclusion n.e.c.,0.3
2010,Portugal,Total,51.9
2010,Portugal,General public services,7.5
2010,Portugal,Defence,1.9
2010,Portugal,Public order and safety,2.0
2010,Portugal,Economic affairs,6.4
2010,Portugal,Fuel and energy,0.0
2010,Portugal,Transport,3.3
2010,Portugal,Environmental protection,0.7
2010,Portugal,Housing and community amenities,0.6
2010,Portugal,Health,7.5
2010,Portugal,Medical products appliances and equipment,0.6
2010,Portugal,Outpatient services,2.6
2010,Portugal,Hospital services,3.9
2010,Portugal,Recreation culture and religion,1.2
2010,Portugal,Recreational and sporting services,0.4
2010,Portugal,Cultural services,0.4
2010,Portugal,Education,6.7
2010,Portugal,Tertiary education,0.7
2010,Portugal,Social protection,17.4
2010,Portugal,Sickness and disability,1.5
2010,Portugal,Old age,10.6
2010,Portugal,Family and children,1.2
2010,Portugal,Unemployment,1.3
2010,Portugal,Housing,0.2
2010,Portugal,Social exclusion n.e.c.,0.4
2010,Romania,Total,40.0
2010,Romania,General public services,4.5
2010,Romania,Defence,1.5
2010,Romania,Public order and safety,2.4
2010,Romania,Economic affairs,7.1
2010,Romania,Fuel and energy,0.5
2010,Romania,Transport,3.8
2010,Romania,Environmental protection,0.8
2010,Romania,Housing and community amenities,1.3
2010,Romania,Health,4.1
2010,Romania,Medical products appliances and equipment,1.1
2010,Romania,Outpatient services,0.1
2010,Romania,Hospital services,2.5
2010,Romania,Recreation culture and religion,1.0
2010,Romania,Recreational and sporting services,0.3
2010,Romania,Cultural services,0.4
2010,Romania,Education,3.3
2010,Romania,Tertiary education,0.9
2010,Romania,Social protection,13.9
2010,Romania,Sickness and disability,1.2
2010,Romania,Old age,10.3
2010,Romania,Family and children,1.2
2010,Romania,Unemployment,0.2
2010,Romania,Housing,0.0
2010,Romania,Social exclusion n.e.c.,0.3
2010,Slovenia,Total,50.2
2010,Slovenia,General public services,5.5
2010,Slovenia,Defence,1.5
2010,Slovenia,Public order and safety,1.9
2010,Slovenia,Economic affairs,5.2
2010,Slovenia,Fuel and energy,0.2
2010,Slovenia,Transport,2.3
2010,Slovenia,Environmental protection,0.7
2010,Slovenia,Housing and community amenities,0.7
2010,Slovenia,Health,6.9
2010,Slovenia,Medical products appliances and equipment,1.1
2010,Slovenia,Outpatient services,1.9
2010,Slovenia,Hospital services,3.2
2010,Slovenia,Recreation culture and religion,2.2
2010,Slovenia,Recreational and sporting services,0.6
2010,Slovenia,Cultural services,0.9
2010,Slovenia,Education,6.5
2010,Slovenia,Tertiary education,1.2
2010,Slovenia,Social protection,19.2
2010,Slovenia,Sickness and disability,2.7
2010,Slovenia,Old age,10.5
2010,Slovenia,Family and children,2.4
2010,Slovenia,Unemployment,0.7
2010,Slovenia,Housing,0.0
2010,Slovenia,Social exclusion n.e.c.,0.8
2010,Slovakia,Total,42.3
2010,Slovakia,General public services,4.7
2010,Slovakia,Defence,0.9
2010,Slovakia,Public order and safety,2.3
2010,Slovakia,Economic affairs,4.7
2010,Slovakia,Fuel and energy,0.4
2010,Slovakia,Transport,3.2
2010,Slovakia,Environmental protection,0.9
2010,Slovakia,Housing and community amenities,0.8
2010,Slovakia,Health,7.3
2010,Slovakia,Medical products appliances and equipment,1.8
2010,Slovakia,Outpatient services,2.0
2010,Slovakia,Hospital services,3.1
2010,Slovakia,Recreation culture and religion,1.0
2010,Slovakia,Recreational and sporting services,0.2
2010,Slovakia,Cultural services,0.6
2010,Slovakia,Education,4.5
2010,Slovakia,Tertiary education,0.9
2010,Slovakia,Social protection,15.1
2010,Slovakia,Sickness and disability,2.7
2010,Slovakia,Old age,7.6
2010,Slovakia,Family and children,1.5
2010,Slovakia,Unemployment,0.2
2010,Slovakia,Housing,0.0
2010,Slovakia,Social exclusion n.e.c.,0.5
2010,Finland,Total,53.9
2010,Finland,General public services,7.7
2010,Finland,Defence,1.5
2010,Finland,Public order and safety,1.5
2010,Finland,Economic affairs,4.9
2010,Finland,Fuel and energy,0.0
2010,Finland,Transport,2.2
2010,Finland,Environmental protection,0.3
2010,Finland,Housing and community amenities,0.5
2010,Finland,Health,7.3
2010,Finland,Medical products appliances and equipment,0.7
2010,Finland,Outpatient services,3.2
2010,Finland,Hospital services,3.0
2010,Finland,Recreation culture and religion,1.2
2010,Finland,Recreational and sporting services,0.5
2010,Finland,Cultural services,0.5
2010,Finland,Education,6.5
2010,Finland,Tertiary education,2.1
2010,Finland,Social protection,22.6
2010,Finland,Sickness and disability,4.4
2010,Finland,Old age,10.1
2010,Finland,Family and children,3.2
2010,Finland,Unemployment,2.3
2010,Finland,Housing,0.3
2010,Finland,Social exclusion n.e.c.,0.8
2010,Sweden,Total,50.4
2010,Sweden,General public services,7.5
2010,Sweden,Defence,1.5
2010,Sweden,Public order and safety,1.3
2010,Sweden,Economic affairs,4.5
2010,Sweden,Fuel and energy,0.2
2010,Sweden,Transport,2.8
2010,Sweden,Environmental protection,0.4
2010,Sweden,Housing and community amenities,0.5
2010,Sweden,Health,6.7
2010,Sweden,Medical products appliances and equipment,0.8
2010,Sweden,Outpatient services,2.9
2010,Sweden,Hospital services,2.4
2010,Sweden,Recreation culture and religion,1.3
2010,Sweden,Recreational and sporting services,0.5
2010,Sweden,Cultural services,0.6
2010,Sweden,Education,6.4
2010,Sweden,Tertiary education,1.2
2010,Sweden,Social protection,20.3
2010,Sweden,Sickness and disability,4.5
2010,Sweden,Old age,10.2
2010,Sweden,Family and children,2.4
2010,Sweden,Unemployment,1.5
2010,Sweden,Housing,0.3
2010,Sweden,Social exclusion n.e.c.,0.9
2010,Iceland,Total,48.8
2010,Iceland,General public services,11.7
2010,Iceland,Defence,0.0
2010,Iceland,Public order and safety,1.2
2010,Iceland,Economic affairs,6.5
2010,Iceland,Fuel and energy,0.2
2010,Iceland,Transport,2.4
2010,Iceland,Environmental protection,0.6
2010,Iceland,Housing and community amenities,0.4
2010,Iceland,Health,7.2
2010,Iceland,Medical products appliances and equipment,0.7
2010,Iceland,Outpatient services,1.5
2010,Iceland,Hospital services,4.8
2010,Iceland,Recreation culture and religion,3.5
2010,Iceland,Recreational and sporting services,1.6
2010,Iceland,Cultural services,1.2
2010,Iceland,Education,7.2
2010,Iceland,Tertiary education,1.3
2010,Iceland,Social protection,10.4
2010,Iceland,Sickness and disability,2.6
2010,Iceland,Old age,1.9
2010,Iceland,Family and children,2.5
2010,Iceland,Unemployment,1.5
2010,Iceland,Housing,1.0
2010,Iceland,Social exclusion n.e.c.,0.4
2010,Norway,Total,45.4
2010,Norway,General public services,5.0
2010,Norway,Defence,1.5
2010,Norway,Public order and safety,0.9
2010,Norway,Economic affairs,4.7
2010,Norway,Fuel and energy,0.1
2010,Norway,Transport,2.7
2010,Norway,Environmental protection,0.8
2010,Norway,Housing and community amenities,0.6
2010,Norway,Health,7.4
2010,Norway,Medical products appliances and equipment,0.5
2010,Norway,Outpatient services,1.7
2010,Norway,Hospital services,4.4
2010,Norway,Recreation culture and religion,1.6
2010,Norway,Recreational and sporting services,0.3
2010,Norway,Cultural services,0.6
2010,Norway,Education,5.3
2010,Norway,Tertiary education,1.0
2010,Norway,Social protection,17.6
2010,Norway,Sickness and disability,6.5
2010,Norway,Old age,5.4
2010,Norway,Family and children,3.4
2010,Norway,Unemployment,0.6
2010,Norway,Housing,0.2
2010,Norway,Social exclusion n.e.c.,0.8
2010,Switzerland,Total,32.1
2010,Switzerland,General public services,4.5
2010,Switzerland,Defence,0.8
2010,Switzerland,Public order and safety,1.5
2010,Switzerland,Economic affairs,4.1
2010,Switzerland,Fuel and energy,0.2
2010,Switzerland,Transport,2.8
2010,Switzerland,Environmental protection,0.6
2010,Switzerland,Housing and community amenities,0.2
2010,Switzerland,Health,1.8
2010,Switzerland,Medical products appliances and equipment,0.0
2010,Switzerland,Outpatient services,0.1
2010,Switzerland,Hospital services,1.4
2010,Switzerland,Recreation culture and religion,1.0
2010,Switzerland,Recreational and sporting services,0.3
