DATAFLOW,LAST UPDATE,freq,sectperf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Austria,2020,2.22,p
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bosnia and Herzegovina,2012,0.16,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bosnia and Herzegovina,2013,0.19,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bosnia and Herzegovina,2014,0.05,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bosnia and Herzegovina,2019,0.07,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2000,1.4,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2001,1.48,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2002,1.34,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2003,1.28,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2004,1.26,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2005,1.22,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2006,1.26,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2007,1.29,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2008,1.32,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2009,1.32,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2010,1.38,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2011,1.49,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2012,1.59,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2013,1.62,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2014,1.66,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2015,1.7,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2016,1.73,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2017,1.87,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2018,2.05,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2019,2.33,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Belgium,2020,2.53,p
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2000,0.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2001,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2002,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2003,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2004,0.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2005,0.1,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2006,0.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2007,0.13,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2008,0.14,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2009,0.15,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2010,0.28,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2011,0.28,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2012,0.36,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2013,0.39,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2014,0.52,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2015,0.7,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2016,0.56,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2017,0.52,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2018,0.54,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2019,0.56,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Bulgaria,2020,0.58,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2000,1.67,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2004,1.92,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2008,1.94,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2012,1.98,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2015,2.07,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2017,2.04,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Switzerland,2019,2.13,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2000,0.05,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2001,0.05,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2002,0.06,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2003,0.07,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2004,0.07,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2005,0.08,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2006,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2007,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2008,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2009,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2010,0.08,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2011,0.07,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2012,0.07,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2013,0.09,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2014,0.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2015,0.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2016,0.19,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2017,0.2,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2018,0.25,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2019,0.31,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Cyprus,2020,0.37,p
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2000,0.67,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2001,0.66,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2002,0.67,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2003,0.7,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2004,0.71,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2005,0.68,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2006,0.72,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2007,0.75,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2008,0.71,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2009,0.71,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2010,0.77,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2011,0.85,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2012,0.95,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2013,1.02,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2014,1.1,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2015,1.04,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2016,1.02,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2017,1.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2018,1.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2019,1.19,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Czechia,2020,1.21,p
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2000,1.69,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2001,1.67,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2002,1.68,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2003,1.72,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2004,1.7,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2005,1.69,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2006,1.73,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2007,1.72,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2008,1.81,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2009,1.85,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2010,1.83,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2011,1.9,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2012,1.96,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2013,1.91,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2014,1.95,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2015,2.01,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2016,2,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2017,2.11,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2018,2.14,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2019,2.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Germany (until 1990 former territory of the FRG),2020,2.11,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2000,1.46,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2001,1.59,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2002,1.69,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2003,1.74,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2004,1.65,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2005,1.63,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2006,1.61,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2007,1.76,b
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2008,1.94,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2009,2.13,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2010,1.96,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2011,1.96,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2012,1.95,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2013,1.88,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2014,1.86,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2015,1.94,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2016,2.01,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2017,1.86,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2018,1.87,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2019,1.84,p
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Denmark,2020,1.84,p
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2000,0.14,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2001,0.23,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2002,0.22,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2003,0.26,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2004,0.33,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2005,0.41,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2006,0.49,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2007,0.5,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2008,0.54,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2009,0.62,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2010,0.79,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2011,1.46,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2012,1.22,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2013,0.82,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2014,0.62,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2015,0.68,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2016,0.64,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2017,0.6,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2018,0.6,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2019,0.87,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Estonia,2020,0.98,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2000,0.14,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2001,0.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2002,0.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2003,0.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2004,0.16,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2005,0.18,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2006,0.17,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2007,0.16,
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2008,0.21,be
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2009,0.23,e
ESTAT:SDG_09_10(1.0),15/03/22 11:00:00,Annual,Business enterprise sector,Percentage of gross domestic product (GDP),Greece,2010,0.24,e
