TIME,COUNTRY,CITIZEN,SEX,VALUE
2012,Iceland,Reporting country,Total,79.6
2012,Iceland,Reporting country,Males,81.3
2012,Iceland,Reporting country,Females,78.0
2012,Norway,EU27 countries (from 2020) except reporting country,Total,84.2
2012,Norway,EU27 countries (from 2020) except reporting country,Males,87.8
2012,Norway,EU27 countries (from 2020) except reporting country,Females,79.4
2012,Norway,Reporting country,Total,75.9
2012,Norway,Reporting country,Males,77.6
2012,Norway,Reporting country,Females,74.2
2012,Switzerland,EU27 countries (from 2020) except reporting country,Total,80.9
2012,Switzerland,EU27 countries (from 2020) except reporting country,Males,85.5
2012,Switzerland,EU27 countries (from 2020) except reporting country,Females,75.0
2012,Switzerland,Reporting country,Total,79.7
2012,Switzerland,Reporting country,Males,84.7
2012,Switzerland,Reporting country,Females,74.9
2012,United Kingdom,EU27 countries (from 2020) except reporting country,Total,75.7
2012,United Kingdom,EU27 countries (from 2020) except reporting country,Males,83.1
2012,United Kingdom,EU27 countries (from 2020) except reporting country,Females,69.0
2012,United Kingdom,Reporting country,Total,70.2
2012,United Kingdom,Reporting country,Males,74.8
2012,United Kingdom,Reporting country,Females,65.7
2012,Montenegro,EU27 countries (from 2020) except reporting country,Total,0
2012,Montenegro,EU27 countries (from 2020) except reporting country,Males,0
2012,Montenegro,EU27 countries (from 2020) except reporting country,Females,0
2012,Montenegro,Reporting country,Total,47.2
2012,Montenegro,Reporting country,Males,52.1
2012,Montenegro,Reporting country,Females,42.2
2012,North Macedonia,EU27 countries (from 2020) except reporting country,Total,0
2012,North Macedonia,EU27 countries (from 2020) except reporting country,Males,0
2012,North Macedonia,EU27 countries (from 2020) except reporting country,Females,0
2012,North Macedonia,Reporting country,Total,44.1
2012,North Macedonia,Reporting country,Males,52.4
2012,North Macedonia,Reporting country,Females,35.4
2012,Serbia,EU27 countries (from 2020) except reporting country,Total,33.8
2012,Serbia,EU27 countries (from 2020) except reporting country,Males,0
2012,Serbia,EU27 countries (from 2020) except reporting country,Females,0
2012,Serbia,Reporting country,Total,45.5
2012,Serbia,Reporting country,Males,52.6
2012,Serbia,Reporting country,Females,38.3
2013,Belgium,EU27 countries (from 2020) except reporting country,Total,60.6
2013,Belgium,EU27 countries (from 2020) except reporting country,Males,65.6
2013,Belgium,EU27 countries (from 2020) except reporting country,Females,55.3
2013,Belgium,Reporting country,Total,62.9
2013,Belgium,Reporting country,Males,67.3
2013,Belgium,Reporting country,Females,58.6
2013,Bulgaria,EU27 countries (from 2020) except reporting country,Total,0
2013,Bulgaria,EU27 countries (from 2020) except reporting country,Males,0
2013,Bulgaria,EU27 countries (from 2020) except reporting country,Females,0
2013,Bulgaria,Reporting country,Total,59.5
2013,Bulgaria,Reporting country,Males,62.1
2013,Bulgaria,Reporting country,Females,56.8
2013,Czechia,EU27 countries (from 2020) except reporting country,Total,74.1
2013,Czechia,EU27 countries (from 2020) except reporting country,Males,85.3
2013,Czechia,EU27 countries (from 2020) except reporting country,Females,61.7
2013,Czechia,Reporting country,Total,67.6
2013,Czechia,Reporting country,Males,75.5
2013,Czechia,Reporting country,Females,59.6
2013,Denmark,EU27 countries (from 2020) except reporting country,Total,70.3
2013,Denmark,EU27 countries (from 2020) except reporting country,Males,76.3
2013,Denmark,EU27 countries (from 2020) except reporting country,Females,65.2
2013,Denmark,Reporting country,Total,71.7
2013,Denmark,Reporting country,Males,73.8
2013,Denmark,Reporting country,Females,69.5
2013,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Total,72.2
2013,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Males,80.2
2013,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Females,63.8
2013,Germany (until 1990 former territory of the FRG),Reporting country,Total,74.8
2013,Germany (until 1990 former territory of the FRG),Reporting country,Males,78.6
2013,Germany (until 1990 former territory of the FRG),Reporting country,Females,70.9
2013,Estonia,EU27 countries (from 2020) except reporting country,Total,63.3
2013,Estonia,EU27 countries (from 2020) except reporting country,Males,0
2013,Estonia,EU27 countries (from 2020) except reporting country,Females,57.9
2013,Estonia,Reporting country,Total,69.0
2013,Estonia,Reporting country,Males,71.5
2013,Estonia,Reporting country,Females,66.8
2013,Ireland,EU27 countries (from 2020) except reporting country,Total,69.2
2013,Ireland,EU27 countries (from 2020) except reporting country,Males,75.1
2013,Ireland,EU27 countries (from 2020) except reporting country,Females,63.5
2013,Ireland,Reporting country,Total,61.5
2013,Ireland,Reporting country,Males,65.8
2013,Ireland,Reporting country,Females,57.3
2013,Greece,EU27 countries (from 2020) except reporting country,Total,49.9
2013,Greece,EU27 countries (from 2020) except reporting country,Males,56.2
2013,Greece,EU27 countries (from 2020) except reporting country,Females,45.5
2013,Greece,Reporting country,Total,49.0
2013,Greece,Reporting country,Males,58.1
2013,Greece,Reporting country,Females,40.1
2013,Spain,EU27 countries (from 2020) except reporting country,Total,55.8
2013,Spain,EU27 countries (from 2020) except reporting country,Males,58.3
2013,Spain,EU27 countries (from 2020) except reporting country,Females,53.5
2013,Spain,Reporting country,Total,55.6
2013,Spain,Reporting country,Males,60.2
2013,Spain,Reporting country,Females,50.8
2013,France,EU27 countries (from 2020) except reporting country,Total,68.5
2013,France,EU27 countries (from 2020) except reporting country,Males,73.8
2013,France,EU27 countries (from 2020) except reporting country,Females,62.8
2013,France,Reporting country,Total,64.8
2013,France,Reporting country,Males,68.0
2013,France,Reporting country,Females,61.7
2013,Croatia,EU27 countries (from 2020) except reporting country,Total,63.4
2013,Croatia,EU27 countries (from 2020) except reporting country,Males,85.8
2013,Croatia,EU27 countries (from 2020) except reporting country,Females,0
2013,Croatia,Reporting country,Total,52.5
2013,Croatia,Reporting country,Males,56.4
2013,Croatia,Reporting country,Females,48.6
2013,Italy,EU27 countries (from 2020) except reporting country,Total,63.4
2013,Italy,EU27 countries (from 2020) except reporting country,Males,71.5
2013,Italy,EU27 countries (from 2020) except reporting country,Females,58.0
2013,Italy,Reporting country,Total,55.2
2013,Italy,Reporting country,Males,64.3
2013,Italy,Reporting country,Females,46.1
2013,Cyprus,EU27 countries (from 2020) except reporting country,Total,65.2
2013,Cyprus,EU27 countries (from 2020) except reporting country,Males,70.2
2013,Cyprus,EU27 countries (from 2020) except reporting country,Females,60.4
2013,Cyprus,Reporting country,Total,60.7
2013,Cyprus,Reporting country,Males,66.9
2013,Cyprus,Reporting country,Females,54.5
2013,Latvia,EU27 countries (from 2020) except reporting country,Total,77.1
2013,Latvia,EU27 countries (from 2020) except reporting country,Males,0
2013,Latvia,EU27 countries (from 2020) except reporting country,Females,0
2013,Latvia,Reporting country,Total,66.0
2013,Latvia,Reporting country,Males,67.3
2013,Latvia,Reporting country,Females,64.7
2013,Lithuania,EU27 countries (from 2020) except reporting country,Total,84.0
2013,Lithuania,EU27 countries (from 2020) except reporting country,Males,0
2013,Lithuania,EU27 countries (from 2020) except reporting country,Females,0
2013,Lithuania,Reporting country,Total,63.7
2013,Lithuania,Reporting country,Males,64.7
2013,Lithuania,Reporting country,Females,62.8
2013,Luxembourg,EU27 countries (from 2020) except reporting country,Total,70.2
2013,Luxembourg,EU27 countries (from 2020) except reporting country,Males,77.4
2013,Luxembourg,EU27 countries (from 2020) except reporting country,Females,62.5
2013,Luxembourg,Reporting country,Total,62.8
2013,Luxembourg,Reporting country,Males,68.3
2013,Luxembourg,Reporting country,Females,57.2
2013,Hungary,EU27 countries (from 2020) except reporting country,Total,65.0
2013,Hungary,EU27 countries (from 2020) except reporting country,Males,83.2
2013,Hungary,EU27 countries (from 2020) except reporting country,Females,48.2
2013,Hungary,Reporting country,Total,58.0
2013,Hungary,Reporting country,Males,63.6
2013,Hungary,Reporting country,Females,52.6
2013,Malta,EU27 countries (from 2020) except reporting country,Total,84.2
2013,Malta,EU27 countries (from 2020) except reporting country,Males,90.7
2013,Malta,EU27 countries (from 2020) except reporting country,Females,73.2
2013,Malta,Reporting country,Total,60.8
2013,Malta,Reporting country,Males,74.1
2013,Malta,Reporting country,Females,47.0
2013,Netherlands,EU27 countries (from 2020) except reporting country,Total,73.0
2013,Netherlands,EU27 countries (from 2020) except reporting country,Males,80.6
2013,Netherlands,EU27 countries (from 2020) except reporting country,Females,67.0
2013,Netherlands,Reporting country,Total,74.4
2013,Netherlands,Reporting country,Males,78.8
2013,Netherlands,Reporting country,Females,69.9
2013,Austria,EU27 countries (from 2020) except reporting country,Total,71.8
2013,Austria,EU27 countries (from 2020) except reporting country,Males,77.3
2013,Austria,EU27 countries (from 2020) except reporting country,Females,67.3
2013,Austria,Reporting country,Total,72.7
2013,Austria,Reporting country,Males,76.8
2013,Austria,Reporting country,Females,68.6
2013,Poland,EU27 countries (from 2020) except reporting country,Total,69.5
2013,Poland,EU27 countries (from 2020) except reporting country,Males,84.5
2013,Poland,EU27 countries (from 2020) except reporting country,Females,0
2013,Poland,Reporting country,Total,60.0
2013,Poland,Reporting country,Males,66.6
2013,Poland,Reporting country,Females,53.4
2013,Portugal,EU27 countries (from 2020) except reporting country,Total,57.9
2013,Portugal,EU27 countries (from 2020) except reporting country,Males,67.8
2013,Portugal,EU27 countries (from 2020) except reporting country,Females,49.8
2013,Portugal,Reporting country,Total,60.8
2013,Portugal,Reporting country,Males,63.7
2013,Portugal,Reporting country,Females,58.1
2013,Romania,EU27 countries (from 2020) except reporting country,Total,0
2013,Romania,EU27 countries (from 2020) except reporting country,Males,0
2013,Romania,EU27 countries (from 2020) except reporting country,Females,0
2013,Romania,Reporting country,Total,60.1
2013,Romania,Reporting country,Males,67.6
2013,Romania,Reporting country,Females,52.6
2013,Slovenia,EU27 countries (from 2020) except reporting country,Total,57.0
2013,Slovenia,EU27 countries (from 2020) except reporting country,Males,78.9
2013,Slovenia,EU27 countries (from 2020) except reporting country,Females,34.8
2013,Slovenia,Reporting country,Total,63.5
2013,Slovenia,Reporting country,Males,66.7
2013,Slovenia,Reporting country,Females,60.0
2013,Slovakia,EU27 countries (from 2020) except reporting country,Total,78.6
2013,Slovakia,EU27 countries (from 2020) except reporting country,Males,84.0
2013,Slovakia,EU27 countries (from 2020) except reporting country,Females,0
2013,Slovakia,Reporting country,Total,59.9
2013,Slovakia,Reporting country,Males,66.3
2013,Slovakia,Reporting country,Females,53.3
2013,Finland,EU27 countries (from 2020) except reporting country,Total,69.2
2013,Finland,EU27 countries (from 2020) except reporting country,Males,71.3
2013,Finland,EU27 countries (from 2020) except reporting country,Females,67.1
2013,Finland,Reporting country,Total,69.2
2013,Finland,Reporting country,Males,70.1
2013,Finland,Reporting country,Females,68.4
2013,Sweden,EU27 countries (from 2020) except reporting country,Total,71.8
2013,Sweden,EU27 countries (from 2020) except reporting country,Males,75.9
2013,Sweden,EU27 countries (from 2020) except reporting country,Females,68.0
2013,Sweden,Reporting country,Total,75.8
2013,Sweden,Reporting country,Males,77.3
2013,Sweden,Reporting country,Females,74.1
2013,Iceland,EU27 countries (from 2020) except reporting country,Total,83.9
2013,Iceland,EU27 countries (from 2020) except reporting country,Males,85.3
2013,Iceland,EU27 countries (from 2020) except reporting country,Females,82.5
2013,Iceland,Reporting country,Total,81.0
2013,Iceland,Reporting country,Males,83.0
2013,Iceland,Reporting country,Females,79.0
2013,Norway,EU27 countries (from 2020) except reporting country,Total,81.8
2013,Norway,EU27 countries (from 2020) except reporting country,Males,86.0
2013,Norway,EU27 countries (from 2020) except reporting country,Females,75.7
2013,Norway,Reporting country,Total,75.6
2013,Norway,Reporting country,Males,77.0
2013,Norway,Reporting country,Females,74.1
2013,Switzerland,EU27 countries (from 2020) except reporting country,Total,80.4
2013,Switzerland,EU27 countries (from 2020) except reporting country,Males,85.0
2013,Switzerland,EU27 countries (from 2020) except reporting country,Females,74.5
2013,Switzerland,Reporting country,Total,79.8
2013,Switzerland,Reporting country,Males,84.3
2013,Switzerland,Reporting country,Females,75.4
2013,United Kingdom,EU27 countries (from 2020) except reporting country,Total,76.5
2013,United Kingdom,EU27 countries (from 2020) except reporting country,Males,83.9
2013,United Kingdom,EU27 countries (from 2020) except reporting country,Females,69.8
2013,United Kingdom,Reporting country,Total,70.9
2013,United Kingdom,Reporting country,Males,75.3
2013,United Kingdom,Reporting country,Females,66.4
2013,Montenegro,EU27 countries (from 2020) except reporting country,Total,0
2013,Montenegro,EU27 countries (from 2020) except reporting country,Males,0
2013,Montenegro,EU27 countries (from 2020) except reporting country,Females,0
2013,Montenegro,Reporting country,Total,47.4
2013,Montenegro,Reporting country,Males,51.7
2013,Montenegro,Reporting country,Females,43.0
2013,North Macedonia,EU27 countries (from 2020) except reporting country,Total,0
2013,North Macedonia,EU27 countries (from 2020) except reporting country,Males,0
2013,North Macedonia,EU27 countries (from 2020) except reporting country,Females,0
2013,North Macedonia,Reporting country,Total,46.0
2013,North Macedonia,Reporting country,Males,54.5
2013,North Macedonia,Reporting country,Females,37.3
2013,Serbia,EU27 countries (from 2020) except reporting country,Total,0
2013,Serbia,EU27 countries (from 2020) except reporting country,Males,0
2013,Serbia,EU27 countries (from 2020) except reporting country,Females,0
2013,Serbia,Reporting country,Total,47.6
2013,Serbia,Reporting country,Males,55.1
2013,Serbia,Reporting country,Females,40.3
2014,Belgium,EU27 countries (from 2020) except reporting country,Total,62.5
2014,Belgium,EU27 countries (from 2020) except reporting country,Males,67.3
2014,Belgium,EU27 countries (from 2020) except reporting country,Females,57.5
2014,Belgium,Reporting country,Total,62.9
2014,Belgium,Reporting country,Males,66.5
2014,Belgium,Reporting country,Females,59.4
2014,Bulgaria,EU27 countries (from 2020) except reporting country,Total,0
2014,Bulgaria,EU27 countries (from 2020) except reporting country,Males,0
2014,Bulgaria,EU27 countries (from 2020) except reporting country,Females,0
2014,Bulgaria,Reporting country,Total,61.1
2014,Bulgaria,Reporting country,Males,63.9
2014,Bulgaria,Reporting country,Females,58.2
2014,Czechia,EU27 countries (from 2020) except reporting country,Total,72.5
2014,Czechia,EU27 countries (from 2020) except reporting country,Males,83.9
2014,Czechia,EU27 countries (from 2020) except reporting country,Females,61.2
2014,Czechia,Reporting country,Total,68.9
2014,Czechia,Reporting country,Males,76.8
2014,Czechia,Reporting country,Females,60.7
2014,Denmark,EU27 countries (from 2020) except reporting country,Total,72.9
2014,Denmark,EU27 countries (from 2020) except reporting country,Males,79.2
2014,Denmark,EU27 countries (from 2020) except reporting country,Females,66.7
2014,Denmark,Reporting country,Total,72.2
2014,Denmark,Reporting country,Males,74.8
2014,Denmark,Reporting country,Females,69.5
2014,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Total,73.2
2014,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Males,81.3
2014,Germany (until 1990 former territory of the FRG),EU27 countries (from 2020) except reporting country,Females,64.4
2014,Germany (until 1990 former territory of the FRG),Reporting country,Total,75.1
2014,Germany (until 1990 former territory of the FRG),Reporting country,Males,78.7
2014,Germany (until 1990 former territory of the FRG),Reporting country,Females,71.5
2014,Estonia,EU27 countries (from 2020) except reporting country,Total,79.8
2014,Estonia,EU27 countries (from 2020) except reporting country,Males,88.4
2014,Estonia,EU27 countries (from 2020) except reporting country,Females,70.6
2014,Estonia,Reporting country,Total,70.3
2014,Estonia,Reporting country,Males,72.9
2014,Estonia,Reporting country,Females,67.9
2014,Ireland,EU27 countries (from 2020) except reporting country,Total,70.5
2014,Ireland,EU27 countries (from 2020) except reporting country,Males,77.0
2014,Ireland,EU27 countries (from 2020) except reporting country,Females,64.1
2014,Ireland,Reporting country,Total,63.0
2014,Ireland,Reporting country,Males,67.8
2014,Ireland,Reporting country,Females,58.3
2014,Greece,EU27 countries (from 2020) except reporting country,Total,52.5
2014,Greece,EU27 countries (from 2020) except reporting country,Males,60.1
2014,Greece,EU27 countries (from 2020) except reporting country,Females,47.2
2014,Greece,Reporting country,Total,49.3
2014,Greece,Reporting country,Males,57.8
2014,Greece,Reporting country,Females,41.0
2014,Spain,EU27 countries (from 2020) except reporting country,Total,56.4
2014,Spain,EU27 countries (from 2020) except reporting country,Males,60.5
2014,Spain,EU27 countries (from 2020) except reporting country,Females,52.6
2014,Spain,Reporting country,Total,56.6
2014,Spain,Reporting country,Males,61.4
2014,Spain,Reporting country,Females,51.8
2014,France,EU27 countries (from 2020) except reporting country,Total,66.8
2014,France,EU27 countries (from 2020) except reporting country,Males,71.4
2014,France,EU27 countries (from 2020) except reporting country,Females,62.4
2014,France,Reporting country,Total,64.5
2014,France,Reporting country,Males,67.5
2014,France,Reporting country,Females,61.5
2014,Croatia,EU27 countries (from 2020) except reporting country,Total,0
2014,Croatia,EU27 countries (from 2020) except reporting country,Males,0
2014,Croatia,EU27 countries (from 2020) except reporting country,Females,0
2014,Croatia,Reporting country,Total,54.6
2014,Croatia,Reporting country,Males,59.1
2014,Croatia,Reporting country,Females,50.0
2014,Italy,EU27 countries (from 2020) except reporting country,Total,62.5
2014,Italy,EU27 countries (from 2020) except reporting country,Males,70.8
2014,Italy,EU27 countries (from 2020) except reporting country,Females,56.9
2014,Italy,Reporting country,Total,55.4
2014,Italy,Reporting country,Males,64.3
2014,Italy,Reporting country,Females,46.4
2014,Cyprus,EU27 countries (from 2020) except reporting country,Total,68.3
2014,Cyprus,EU27 countries (from 2020) except reporting country,Males,72.1
2014,Cyprus,EU27 countries (from 2020) except reporting country,Females,64.5
2014,Cyprus,Reporting country,Total,60.8
2014,Cyprus,Reporting country,Males,65.7
2014,Cyprus,Reporting country,Females,56.1
2014,Latvia,EU27 countries (from 2020) except reporting country,Total,80.7
2014,Latvia,EU27 countries (from 2020) except reporting country,Males,0
2014,Latvia,EU27 countries (from 2020) except reporting country,Females,0
2014,Latvia,Reporting country,Total,67.0
2014,Latvia,Reporting country,Males,69.1
2014,Latvia,Reporting country,Females,65.1
2014,Lithuania,EU27 countries (from 2020) except reporting country,Total,0
2014,Lithuania,EU27 countries (from 2020) except reporting country,Males,0
2014,Lithuania,EU27 countries (from 2020) except reporting country,Females,0
2014,Lithuania,Reporting country,Total,65.6
2014,Lithuania,Reporting country,Males,66.5
2014,Lithuania,Reporting country,Females,64.8
2014,Luxembourg,EU27 countries (from 2020) except reporting country,Total,71.5
2014,Luxembourg,EU27 countries (from 2020) except reporting country,Males,76.6
2014,Luxembourg,EU27 countries (from 2020) except reporting country,Females,65.9
2014,Luxembourg,Reporting country,Total,63.7
2014,Luxembourg,Reporting country,Males,69.5
2014,Luxembourg,Reporting country,Females,58.0
2014,Hungary,EU27 countries (from 2020) except reporting country,Total,72.3
2014,Hungary,EU27 countries (from 2020) except reporting country,Males,86.0
2014,Hungary,EU27 countries (from 2020) except reporting country,Females,57.4
2014,Hungary,Reporting country,Total,61.7
2014,Hungary,Reporting country,Males,67.7
2014,Hungary,Reporting country,Females,55.9
