SEX,GEO,SIZECLAS,Value
Total,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3440
Total,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security3619
Total,Germany (until 1990 former territory of the FRG),Education; human health and social work activities; arts entertainment and recreation; other service activities,3382
Total,Germany (until 1990 former territory of the FRG),Education,3777
Total,Germany (until 1990 former territory of the FRG),Human health and social work activities,3263
Total,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,2949
Total,Germany (until 1990 former territory of the FRG),Other service activities,3118
Total,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1386
Total,Estonia,Industry construction and services (except public administration defense compulsory social security),1372
Total,Estonia,Business economy,1396
Total,Estonia,Industry and construction,1377
Total,Estonia,Industry (except construction),1367
Total,Estonia,Mining and quarrying,1669
Total,Estonia,Manufacturing,1338
Total,Estonia,Electricity gas steam and air conditioning supply,1730
Total,Estonia,Water supply; sewerage waste management and remediation activities,1325
Total,Estonia,Construction,1424
Total,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),1389
Total,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1369
Total,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1369
Total,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1232
Total,Estonia,Transportation and storage,1360
Total,Estonia,Accommodation and food service activities,1003
Total,Estonia,Information and communication,2207
Total,Estonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1523
Total,Estonia,Financial and insurance activities,2120
Total,Estonia,Real estate activities,1271
Total,Estonia,Professional scientific and technical activities,1846
Total,Estonia,Administrative and support service activities,1164
Total,Estonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1364
Total,Estonia,Public administration and defence; compulsory social security1554
Total,Estonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1303
Total,Estonia,Education,1231
Total,Estonia,Human health and social work activities,1478
Total,Estonia,Arts entertainment and recreation,1155
Total,Estonia,Other service activities,1144
Total,Ireland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3786
Total,Ireland,Industry construction and services (except public administration defense compulsory social security),3760
Total,Ireland,Business economy,3679
Total,Ireland,Industry and construction,4016
Total,Ireland,Industry (except construction),4125
Total,Ireland,Mining and quarrying,0
Total,Ireland,Manufacturing,4048
Total,Ireland,Electricity gas steam and air conditioning supply,0
Total,Ireland,Water supply; sewerage waste management and remediation activities,3563
Total,Ireland,Construction,3612
Total,Ireland,Services (except activities of households as employers and extra-territorial organisations and bodies),3740
Total,Ireland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3705
Total,Ireland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3301
Total,Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3031
Total,Ireland,Transportation and storage,3635
Total,Ireland,Accommodation and food service activities,2214
Total,Ireland,Information and communication,5646
Total,Ireland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4050
Total,Ireland,Financial and insurance activities,5156
Total,Ireland,Real estate activities,3735
Total,Ireland,Professional scientific and technical activities,4482
Total,Ireland,Administrative and support service activities,2915
Total,Ireland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3990
Total,Ireland,Public administration and defence; compulsory social security4138
Total,Ireland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3953
Total,Ireland,Education,4468
Total,Ireland,Human health and social work activities,3800
Total,Ireland,Arts entertainment and recreation,2902
Total,Ireland,Other service activities,3029
Total,Greece,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Greece,Industry construction and services (except public administration defense compulsory social security),1446
Total,Greece,Business economy,1403
Total,Greece,Industry and construction,1411
Total,Greece,Industry (except construction),1412
Total,Greece,Mining and quarrying,1717
Total,Greece,Manufacturing,1385
Total,Greece,Electricity gas steam and air conditioning supply,2053
Total,Greece,Water supply; sewerage waste management and remediation activities,1634
Total,Greece,Construction,1408
Total,Greece,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Total,Greece,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1455
Total,Greece,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1319
Total,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,1327
Total,Greece,Transportation and storage,2156
Total,Greece,Accommodation and food service activities,1027
Total,Greece,Information and communication,1756
Total,Greece,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1690
Total,Greece,Financial and insurance activities,2445
Total,Greece,Real estate activities,1528
Total,Greece,Professional scientific and technical activities,1917
Total,Greece,Administrative and support service activities,1055
Total,Greece,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Total,Greece,Public administration and defence; compulsory social security0
Total,Greece,Education; human health and social work activities; arts entertainment and recreation; other service activities,1596
Total,Greece,Education,1765
Total,Greece,Human health and social work activities,1547
Total,Greece,Arts entertainment and recreation,1315
Total,Greece,Other service activities,1230
Total,Spain,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2061
Total,Spain,Industry construction and services (except public administration defense compulsory social security),2043
Total,Spain,Business economy,1987
Total,Spain,Industry and construction,2144
Total,Spain,Industry (except construction),2214
Total,Spain,Mining and quarrying,2679
Total,Spain,Manufacturing,2189
Total,Spain,Electricity gas steam and air conditioning supply,3682
Total,Spain,Water supply; sewerage waste management and remediation activities,2093
Total,Spain,Construction,1908
Total,Spain,Services (except activities of households as employers and extra-territorial organisations and bodies),2039
Total,Spain,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2014
Total,Spain,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1845
Total,Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,1744
Total,Spain,Transportation and storage,2093
Total,Spain,Accommodation and food service activities,1530
Total,Spain,Information and communication,2588
Total,Spain,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2054
Total,Spain,Financial and insurance activities,3320
Total,Spain,Real estate activities,2126
Total,Spain,Professional scientific and technical activities,2367
Total,Spain,Administrative and support service activities,1541
Total,Spain,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2224
Total,Spain,Public administration and defence; compulsory social security2247
Total,Spain,Education; human health and social work activities; arts entertainment and recreation; other service activities,2215
Total,Spain,Education,2358
Total,Spain,Human health and social work activities,2223
Total,Spain,Arts entertainment and recreation,1940
Total,Spain,Other service activities,1681
Total,France,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2846
Total,France,Industry construction and services (except public administration defense compulsory social security),2895
Total,France,Business economy,3006
Total,France,Industry and construction,3024
Total,France,Industry (except construction),3103
Total,France,Mining and quarrying,3073
Total,France,Manufacturing,3094
Total,France,Electricity gas steam and air conditioning supply,3765
Total,France,Water supply; sewerage waste management and remediation activities,2574
Total,France,Construction,2771
Total,France,Services (except activities of households as employers and extra-territorial organisations and bodies),2804
Total,France,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2859
Total,France,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2809
Total,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,2625
Total,France,Transportation and storage,2804
Total,France,Accommodation and food service activities,2167
Total,France,Information and communication,4039
Total,France,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3264
Total,France,Financial and insurance activities,4153
Total,France,Real estate activities,2848
Total,France,Professional scientific and technical activities,3903
Total,France,Administrative and support service activities,2363
Total,France,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2591
Total,France,Public administration and defence; compulsory social security2518
Total,France,Education; human health and social work activities; arts entertainment and recreation; other service activities,2627
Total,France,Education,3004
Total,France,Human health and social work activities,2414
Total,France,Arts entertainment and recreation,3149
Total,France,Other service activities,2430
Total,Croatia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1186
Total,Croatia,Industry construction and services (except public administration defense compulsory social security),1179
Total,Croatia,Business economy,1165
Total,Croatia,Industry and construction,1081
Total,Croatia,Industry (except construction),1095
Total,Croatia,Mining and quarrying,1480
Total,Croatia,Manufacturing,1062
Total,Croatia,Electricity gas steam and air conditioning supply,1573
Total,Croatia,Water supply; sewerage waste management and remediation activities,1083
Total,Croatia,Construction,1024
Total,Croatia,Services (except activities of households as employers and extra-territorial organisations and bodies),1233
Total,Croatia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1228
Total,Croatia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1165
Total,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1053
Total,Croatia,Transportation and storage,1320
Total,Croatia,Accommodation and food service activities,1034
Total,Croatia,Information and communication,1703
Total,Croatia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1399
Total,Croatia,Financial and insurance activities,1640
Total,Croatia,Real estate activities,1235
Total,Croatia,Professional scientific and technical activities,1699
Total,Croatia,Administrative and support service activities,920
Total,Croatia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1240
Total,Croatia,Public administration and defence; compulsory social security1282
Total,Croatia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1228
Total,Croatia,Education,1217
Total,Croatia,Human health and social work activities,1271
Total,Croatia,Arts entertainment and recreation,1123
Total,Croatia,Other service activities,1198
Total,Italy,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2553
Total,Italy,Industry construction and services (except public administration defense compulsory social security),2520
Total,Italy,Business economy,2528
Total,Italy,Industry and construction,2629
Total,Italy,Industry (except construction),2650
Total,Italy,Mining and quarrying,4054
Total,Italy,Manufacturing,2637
Total,Italy,Electricity gas steam and air conditioning supply,3309
Total,Italy,Water supply; sewerage waste management and remediation activities,2395
Total,Italy,Construction,2460
Total,Italy,Services (except activities of households as employers and extra-territorial organisations and bodies),2525
Total,Italy,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2472
Total,Italy,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2374
Total,Italy,Wholesale and retail trade; repair of motor vehicles and motorcycles,2351
Total,Italy,Transportation and storage,2356
Total,Italy,Accommodation and food service activities,1866
Total,Italy,Information and communication,3100
Total,Italy,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2602
Total,Italy,Financial and insurance activities,3983
Total,Italy,Real estate activities,2574
Total,Italy,Professional scientific and technical activities,3107
Total,Italy,Administrative and support service activities,1909
Total,Italy,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2602
Total,Italy,Public administration and defence; compulsory social security2807
Total,Italy,Education; human health and social work activities; arts entertainment and recreation; other service activities,2496
Total,Italy,Education,2298
Total,Italy,Human health and social work activities,2686
Total,Italy,Arts entertainment and recreation,3906
Total,Italy,Other service activities,1882
Total,Cyprus,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1936
Total,Cyprus,Industry construction and services (except public administration defense compulsory social security),1909
Total,Cyprus,Business economy,1790
Total,Cyprus,Industry and construction,1638
Total,Cyprus,Industry (except construction),1585
Total,Cyprus,Mining and quarrying,0
Total,Cyprus,Manufacturing,1463
Total,Cyprus,Electricity gas steam and air conditioning supply,0
Total,Cyprus,Water supply; sewerage waste management and remediation activities,1743
Total,Cyprus,Construction,1723
Total,Cyprus,Services (except activities of households as employers and extra-territorial organisations and bodies),1999
Total,Cyprus,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1973
Total,Cyprus,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1621
Total,Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,1473
Total,Cyprus,Transportation and storage,2218
Total,Cyprus,Accommodation and food service activities,1253
Total,Cyprus,Information and communication,2794
Total,Cyprus,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2363
Total,Cyprus,Financial and insurance activities,2750
Total,Cyprus,Real estate activities,1605
Total,Cyprus,Professional scientific and technical activities,2363
Total,Cyprus,Administrative and support service activities,1592
Total,Cyprus,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2347
Total,Cyprus,Public administration and defence; compulsory social security2202
Total,Cyprus,Education; human health and social work activities; arts entertainment and recreation; other service activities,2428
Total,Cyprus,Education,2793
Total,Cyprus,Human health and social work activities,2082
Total,Cyprus,Arts entertainment and recreation,2027
Total,Cyprus,Other service activities,1437
Total,Latvia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1162
Total,Latvia,Industry construction and services (except public administration defense compulsory social security),1158
Total,Latvia,Business economy,1203
Total,Latvia,Industry and construction,1125
Total,Latvia,Industry (except construction),1095
Total,Latvia,Mining and quarrying,1325
Total,Latvia,Manufacturing,1082
Total,Latvia,Electricity gas steam and air conditioning supply,1198
Total,Latvia,Water supply; sewerage waste management and remediation activities,1038
Total,Latvia,Construction,1198
Total,Latvia,Services (except activities of households as employers and extra-territorial organisations and bodies),1173
Total,Latvia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1170
Total,Latvia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1199
Total,Latvia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1072
Total,Latvia,Transportation and storage,1158
Total,Latvia,Accommodation and food service activities,875
Total,Latvia,Information and communication,2096
Total,Latvia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1364
Total,Latvia,Financial and insurance activities,1948
Total,Latvia,Real estate activities,1072
Total,Latvia,Professional scientific and technical activities,1650
Total,Latvia,Administrative and support service activities,1085
Total,Latvia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1080
Total,Latvia,Public administration and defence; compulsory social security1197
Total,Latvia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1038
Total,Latvia,Education,889
Total,Latvia,Human health and social work activities,1318
Total,Latvia,Arts entertainment and recreation,927
Total,Latvia,Other service activities,1058
Total,Lithuania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),981
Total,Lithuania,Industry construction and services (except public administration defense compulsory social security),970
Total,Lithuania,Business economy,982
Total,Lithuania,Industry and construction,989
Total,Lithuania,Industry (except construction),1004
Total,Lithuania,Mining and quarrying,1211
Total,Lithuania,Manufacturing,998
Total,Lithuania,Electricity gas steam and air conditioning supply,1174
Total,Lithuania,Water supply; sewerage waste management and remediation activities,937
Total,Lithuania,Construction,946
Total,Lithuania,Services (except activities of households as employers and extra-territorial organisations and bodies),978
Total,Lithuania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),961
Total,Lithuania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,934
Total,Lithuania,Wholesale and retail trade; repair of motor vehicles and motorcycles,887
Total,Lithuania,Transportation and storage,887
Total,Lithuania,Accommodation and food service activities,697
Total,Lithuania,Information and communication,1694
Total,Lithuania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1100
Total,Lithuania,Financial and insurance activities,1663
Total,Lithuania,Real estate activities,869
Total,Lithuania,Professional scientific and technical activities,1360
Total,Lithuania,Administrative and support service activities,793
Total,Lithuania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,980
Total,Lithuania,Public administration and defence; compulsory social security1121
Total,Lithuania,Education; human health and social work activities; arts entertainment and recreation; other service activities,937
Total,Lithuania,Education,868
Total,Lithuania,Human health and social work activities,1072
Total,Lithuania,Arts entertainment and recreation,786
Total,Lithuania,Other service activities,814
Total,Luxembourg,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4712
Total,Luxembourg,Industry construction and services (except public administration defense compulsory social security),4630
Total,Luxembourg,Business economy,4374
Total,Luxembourg,Industry and construction,3796
Total,Luxembourg,Industry (except construction),4138
Total,Luxembourg,Mining and quarrying,0
Total,Luxembourg,Manufacturing,4020
Total,Luxembourg,Electricity gas steam and air conditioning supply,0
Total,Luxembourg,Water supply; sewerage waste management and remediation activities,4579
Total,Luxembourg,Construction,3497
Total,Luxembourg,Services (except activities of households as employers and extra-territorial organisations and bodies),4947
Total,Luxembourg,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4855
Total,Luxembourg,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3919
Total,Luxembourg,Wholesale and retail trade; repair of motor vehicles and motorcycles,3488
Total,Luxembourg,Transportation and storage,4224
Total,Luxembourg,Accommodation and food service activities,2735
Total,Luxembourg,Information and communication,5276
Total,Luxembourg,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5164
Total,Luxembourg,Financial and insurance activities,6610
Total,Luxembourg,Real estate activities,0
Total,Luxembourg,Professional scientific and technical activities,5506
Total,Luxembourg,Administrative and support service activities,2988
Total,Luxembourg,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,6001
Total,Luxembourg,Public administration and defence; compulsory social security6857
Total,Luxembourg,Education; human health and social work activities; arts entertainment and recreation; other service activities,5818
Total,Luxembourg,Education,7605
Total,Luxembourg,Human health and social work activities,5089
Total,Luxembourg,Arts entertainment and recreation,4867
Total,Luxembourg,Other service activities,4277
Total,Hungary,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),977
Total,Hungary,Industry construction and services (except public administration defense compulsory social security),996
Total,Hungary,Business economy,1022
Total,Hungary,Industry and construction,992
Total,Hungary,Industry (except construction),1016
Total,Hungary,Mining and quarrying,1051
Total,Hungary,Manufacturing,994
Total,Hungary,Electricity gas steam and air conditioning supply,1507
Total,Hungary,Water supply; sewerage waste management and remediation activities,910
Total,Hungary,Construction,828
Total,Hungary,Services (except activities of households as employers and extra-territorial organisations and bodies),971
Total,Hungary,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),998
Total,Hungary,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,972
Total,Hungary,Wholesale and retail trade; repair of motor vehicles and motorcycles,897
Total,Hungary,Transportation and storage,929
Total,Hungary,Accommodation and food service activities,674
Total,Hungary,Information and communication,1605
Total,Hungary,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1196
Total,Hungary,Financial and insurance activities,1656
Total,Hungary,Real estate activities,932
Total,Hungary,Professional scientific and technical activities,1394
Total,Hungary,Administrative and support service activities,870
Total,Hungary,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,903
Total,Hungary,Public administration and defence; compulsory social security869
Total,Hungary,Education; human health and social work activities; arts entertainment and recreation; other service activities,926
Total,Hungary,Education,952
Total,Hungary,Human health and social work activities,912
Total,Hungary,Arts entertainment and recreation,865
Total,Hungary,Other service activities,692
Total,Malta,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2109
Total,Malta,Industry construction and services (except public administration defense compulsory social security),2108
Total,Malta,Business economy,2063
Total,Malta,Industry and construction,1960
Total,Malta,Industry (except construction),2049
Total,Malta,Mining and quarrying,0
Total,Malta,Manufacturing,2037
Total,Malta,Electricity gas steam and air conditioning supply,0
Total,Malta,Water supply; sewerage waste management and remediation activities,0
Total,Malta,Construction,1707
Total,Malta,Services (except activities of households as employers and extra-territorial organisations and bodies),2136
Total,Malta,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2136
Total,Malta,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2038
Total,Malta,Wholesale and retail trade; repair of motor vehicles and motorcycles,1898
Total,Malta,Transportation and storage,2436
Total,Malta,Accommodation and food service activities,1714
Total,Malta,Information and communication,2490
