"TIME","GEO","UNIT","SECTOR","COFOG99","NA_ITEM","Value"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","48.1"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","6.8"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.0"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.6"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","5.1"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.1"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","1.6"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","0.6"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.6"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.0"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","1.6"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","2.0"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","2.8"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.1"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.3"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.4"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","4.4"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.9"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","20.1"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.9"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","9.6"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","1.7"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","2.4"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.5"
"2010","Germany (until 1990 former territory of the FRG)","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.3"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","40.3"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","3.3"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.7"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","2.2"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","4.7"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.1"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","2.8"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","-0.3"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.5"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","5.7"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","0.8"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","0.5"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","4.1"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","2.2"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","1.1"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","6.5"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","1.5"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","13.8"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.1"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","8.0"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","2.4"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","0.8"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.0"
"2010","Estonia","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.2"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","64.9"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","5.2"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","0.4"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.7"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","25.1"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.1"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","4.6"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","1.0"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","1.2"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","7.5"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","0.9"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","4.0"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","1.9"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","0.9"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.2"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.4"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","4.6"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.7"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","17.5"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","3.9"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","6.3"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","2.2"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","2.3"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.7"
"2010","Ireland","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.9"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","53.0"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","12.3"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","2.7"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.8"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","4.5"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.0"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","2.5"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","0.8"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.2"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.9"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","2.3"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","0.3"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","4.3"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","0.6"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.2"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.1"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","4.1"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.9"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","19.0"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","1.7"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","13.6"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","0.9"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","1.0"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.1"
"2010","Greece","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.0"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","46.0"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","5.6"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.1"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","2.2"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","5.9"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.1"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","2.7"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","1.1"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","0.7"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.6"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","1.3"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","2.4"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","2.6"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.6"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.7"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","4.5"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.7"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","16.7"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.4"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","7.5"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","0.9"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","3.2"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.1"
"2010","Spain","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.3"
"2010","France","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","56.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","6.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","1.7"
"2010","France","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","5.2"
"2010","France","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.2"
"2010","France","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","1.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","1.0"
"2010","France","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","1.4"
"2010","France","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","8.0"
"2010","France","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","1.5"
"2010","France","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","2.7"
"2010","France","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","3.4"
"2010","France","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.6"
"2010","France","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.6"
"2010","France","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.8"
"2010","France","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","5.6"
"2010","France","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.7"
"2010","France","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","23.7"
"2010","France","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.7"
"2010","France","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","12.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","2.4"
"2010","France","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","1.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.9"
"2010","France","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","1.0"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Total","Total general government expenditure","48.5"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","General public services","Total general government expenditure","5.6"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Defence","Total general government expenditure","1.5"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Public order and safety","Total general government expenditure","2.5"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Economic affairs","Total general government expenditure","8.3"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Fuel and energy","Total general government expenditure","0.0"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Transport","Total general government expenditure","4.3"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Environmental protection","Total general government expenditure","0.6"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Housing and community amenities","Total general government expenditure","2.3"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Health","Total general government expenditure","6.2"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Medical products, appliances and equipment","Total general government expenditure","1.6"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Outpatient services","Total general government expenditure","0.9"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Hospital services","Total general government expenditure","2.9"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Recreation, culture and religion","Total general government expenditure","1.8"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Recreational and sporting services","Total general government expenditure","0.5"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Cultural services","Total general government expenditure","0.7"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Education","Total general government expenditure","4.6"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Tertiary education","Total general government expenditure","0.8"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Social protection","Total general government expenditure","15.0"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Sickness and disability","Total general government expenditure","2.1"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Old age","Total general government expenditure","8.9"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Family and children","Total general government expenditure","2.0"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Unemployment","Total general government expenditure","0.4"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Housing","Total general government expenditure","0.1"
"2010","Croatia","Percentage of gross domestic product (GDP)","General government","Social exclusion n.e.c.","Total general government expenditure","0.3"
