"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Total","Belgium","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","2 986"
"Total","Belgium","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","4 305"
"Total","Belgium","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 750"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","852"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 637"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","872"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","1 677"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","986"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","1 896"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","824"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","1 584"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","840"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","1 615"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","1 048"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","2 015"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","790"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","1 519"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1 219"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","2 344"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","688"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","1 322"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","744"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","1 431"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","858"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 650"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","885"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","1 702"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1 114"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 142"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","897"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","1 725"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","924"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","1 775"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","598"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 149"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","1 577"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","3 031"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","966"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 856"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","992"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","1 908"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","776"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","1 491"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","1 057"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","2 033"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","826"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 587"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","661"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 271"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","676"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","1 299"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","656"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 261"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","637"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 225"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","707"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","1 360"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","566"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 087"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","553"
"Total","Bulgaria","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 062"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 785"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 431"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1 820"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","2 478"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","2 012"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","2 741"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","1 947"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","2 651"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","1 975"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","2 691"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","2 057"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","2 802"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","1 973"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","2 687"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","2 197"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","2 992"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1 618"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","2 204"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","1 754"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 389"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 745"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 377"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 782"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 427"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","2 118"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 885"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1 953"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","2 660"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","1 831"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","2 494"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","1 279"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 742"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","2 425"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","3 303"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1 976"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 692"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","2 382"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","3 245"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","1 841"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","2 508"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","1 978"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","2 694"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","1 323"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 802"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 529"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 082"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1 583"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","2 156"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 504"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 049"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","1 374"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 872"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","1 883"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 565"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","1 289"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 756"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","1 231"
"Total","Czechia","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 677"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5 318"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 757"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","5 307"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","3 749"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","5 935"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","4 193"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","6 525"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","4 610"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","6 621"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","4 677"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","8 944"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","6 319"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","6 524"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","4 609"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","7 004"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","4 948"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","5 992"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","4 233"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","6 026"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","4 257"
