"TIME","GEO","AGE","SEX","INDIC_IL","UNIT","Value"
"2008","Bulgaria","65 years or over","Total","Median equivalised net income","Euro","1,558"
"2008","Bulgaria","Less than 75 years","Total","Median equivalised net income","Euro","2,265"
"2008","Bulgaria","75 years or over","Total","Median equivalised net income","Euro","1,429"
"2008","Czechia","Total","Total","Median equivalised net income","Euro","6,068"
"2008","Czechia","Less than 6 years","Total","Median equivalised net income","Euro","5,981"
"2008","Czechia","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Czechia","From 6 to 11 years","Total","Median equivalised net income","Euro","5,735"
"2008","Czechia","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Czechia","From 12 to 17 years","Total","Median equivalised net income","Euro","5,384"
"2008","Czechia","Less than 16 years","Total","Median equivalised net income","Euro","5,760"
"2008","Czechia","From 16 to 24 years","Total","Median equivalised net income","Euro","6,002"
"2008","Czechia","From 16 to 64 years","Total","Median equivalised net income","Euro","6,450"
"2008","Czechia","16 years or over","Total","Median equivalised net income","Euro","6,140"
"2008","Czechia","Less than 18 years","Total","Median equivalised net income","Euro","5,716"
"2008","Czechia","From 18 to 24 years","Total","Median equivalised net income","Euro","6,211"
"2008","Czechia","From 18 to 64 years","Total","Median equivalised net income","Euro","6,500"
"2008","Czechia","18 years or over","Total","Median equivalised net income","Euro","6,167"
"2008","Czechia","From 25 to 49 years","Total","Median equivalised net income","Euro","6,539"
"2008","Czechia","From 25 to 54 years","Total","Median equivalised net income","Euro","6,630"
"2008","Czechia","From 50 to 64 years","Total","Median equivalised net income","Euro","6,563"
"2008","Czechia","From 55 to 64 years","Total","Median equivalised net income","Euro","6,351"
"2008","Czechia","Less than 60 years","Total","Median equivalised net income","Euro","6,351"
"2008","Czechia","60 years or over","Total","Median equivalised net income","Euro","5,167"
"2008","Czechia","Less than 65 years","Total","Median equivalised net income","Euro","6,315"
"2008","Czechia","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Czechia","65 years or over","Total","Median equivalised net income","Euro","4,971"
"2008","Czechia","Less than 75 years","Total","Median equivalised net income","Euro","6,176"
"2008","Czechia","75 years or over","Total","Median equivalised net income","Euro","4,840"
"2008","Denmark","Total","Total","Median equivalised net income","Euro","24,161"
"2008","Denmark","Less than 6 years","Total","Median equivalised net income","Euro","24,530"
"2008","Denmark","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Denmark","From 6 to 11 years","Total","Median equivalised net income","Euro","24,884"
"2008","Denmark","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Denmark","From 12 to 17 years","Total","Median equivalised net income","Euro","24,063"
"2008","Denmark","Less than 16 years","Total","Median equivalised net income","Euro","24,537"
"2008","Denmark","From 16 to 24 years","Total","Median equivalised net income","Euro","20,362"
"2008","Denmark","From 16 to 64 years","Total","Median equivalised net income","Euro","25,659"
"2008","Denmark","16 years or over","Total","Median equivalised net income","Euro","24,058"
"2008","Denmark","Less than 18 years","Total","Median equivalised net income","Euro","24,509"
"2008","Denmark","From 18 to 24 years","Total","Median equivalised net income","Euro","18,235"
"2008","Denmark","From 18 to 64 years","Total","Median equivalised net income","Euro","25,732"
"2008","Denmark","18 years or over","Total","Median equivalised net income","Euro","24,052"
"2008","Denmark","From 25 to 49 years","Total","Median equivalised net income","Euro","25,841"
"2008","Denmark","From 25 to 54 years","Total","Median equivalised net income","Euro","26,340"
"2008","Denmark","From 50 to 64 years","Total","Median equivalised net income","Euro","28,421"
"2008","Denmark","From 55 to 64 years","Total","Median equivalised net income","Euro","27,217"
"2008","Denmark","Less than 60 years","Total","Median equivalised net income","Euro","25,475"
"2008","Denmark","60 years or over","Total","Median equivalised net income","Euro","19,115"
"2008","Denmark","Less than 65 years","Total","Median equivalised net income","Euro","25,354"
"2008","Denmark","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Denmark","65 years or over","Total","Median equivalised net income","Euro","17,862"
"2008","Denmark","Less than 75 years","Total","Median equivalised net income","Euro","24,753"
"2008","Denmark","75 years or over","Total","Median equivalised net income","Euro","17,191"
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Median equivalised net income","Euro","18,309"
"2008","Germany (until 1990 former territory of the FRG)","Less than 6 years","Total","Median equivalised net income","Euro","17,131"
"2008","Germany (until 1990 former territory of the FRG)","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Germany (until 1990 former territory of the FRG)","From 6 to 11 years","Total","Median equivalised net income","Euro","17,239"
"2008","Germany (until 1990 former territory of the FRG)","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Germany (until 1990 former territory of the FRG)","From 12 to 17 years","Total","Median equivalised net income","Euro","17,148"
"2008","Germany (until 1990 former territory of the FRG)","Less than 16 years","Total","Median equivalised net income","Euro","17,216"
"2008","Germany (until 1990 former territory of the FRG)","From 16 to 24 years","Total","Median equivalised net income","Euro","17,581"
"2008","Germany (until 1990 former territory of the FRG)","From 16 to 64 years","Total","Median equivalised net income","Euro","19,414"
"2008","Germany (until 1990 former territory of the FRG)","16 years or over","Total","Median equivalised net income","Euro","18,559"
"2008","Germany (until 1990 former territory of the FRG)","Less than 18 years","Total","Median equivalised net income","Euro","17,205"
"2008","Germany (until 1990 former territory of the FRG)","From 18 to 24 years","Total","Median equivalised net income","Euro","17,678"
"2008","Germany (until 1990 former territory of the FRG)","From 18 to 64 years","Total","Median equivalised net income","Euro","19,502"
"2008","Germany (until 1990 former territory of the FRG)","18 years or over","Total","Median equivalised net income","Euro","18,617"
"2008","Germany (until 1990 former territory of the FRG)","From 25 to 49 years","Total","Median equivalised net income","Euro","19,767"
"2008","Germany (until 1990 former territory of the FRG)","From 25 to 54 years","Total","Median equivalised net income","Euro","19,980"
"2008","Germany (until 1990 former territory of the FRG)","From 50 to 64 years","Total","Median equivalised net income","Euro","19,845"
"2008","Germany (until 1990 former territory of the FRG)","From 55 to 64 years","Total","Median equivalised net income","Euro","19,042"
"2008","Germany (until 1990 former territory of the FRG)","Less than 60 years","Total","Median equivalised net income","Euro","18,986"
"2008","Germany (until 1990 former territory of the FRG)","60 years or over","Total","Median equivalised net income","Euro","16,699"
"2008","Germany (until 1990 former territory of the FRG)","Less than 65 years","Total","Median equivalised net income","Euro","18,922"
"2008","Germany (until 1990 former territory of the FRG)","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Germany (until 1990 former territory of the FRG)","65 years or over","Total","Median equivalised net income","Euro","16,498"
"2008","Germany (until 1990 former territory of the FRG)","Less than 75 years","Total","Median equivalised net income","Euro","18,390"
"2008","Germany (until 1990 former territory of the FRG)","75 years or over","Total","Median equivalised net income","Euro","16,635"
"2008","Estonia","Total","Total","Median equivalised net income","Euro","5,547"
"2008","Estonia","Less than 6 years","Total","Median equivalised net income","Euro","5,929"
"2008","Estonia","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Estonia","From 6 to 11 years","Total","Median equivalised net income","Euro","5,492"
"2008","Estonia","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Estonia","From 12 to 17 years","Total","Median equivalised net income","Euro","5,284"
"2008","Estonia","Less than 16 years","Total","Median equivalised net income","Euro","5,650"
"2008","Estonia","From 16 to 24 years","Total","Median equivalised net income","Euro","5,702"
"2008","Estonia","From 16 to 64 years","Total","Median equivalised net income","Euro","6,026"
"2008","Estonia","16 years or over","Total","Median equivalised net income","Euro","5,517"
"2008","Estonia","Less than 18 years","Total","Median equivalised net income","Euro","5,597"
"2008","Estonia","From 18 to 24 years","Total","Median equivalised net income","Euro","5,842"
"2008","Estonia","From 18 to 64 years","Total","Median equivalised net income","Euro","6,085"
"2008","Estonia","18 years or over","Total","Median equivalised net income","Euro","5,530"
"2008","Estonia","From 25 to 49 years","Total","Median equivalised net income","Euro","6,422"
"2008","Estonia","From 25 to 54 years","Total","Median equivalised net income","Euro","6,279"
"2008","Estonia","From 50 to 64 years","Total","Median equivalised net income","Euro","5,724"
"2008","Estonia","From 55 to 64 years","Total","Median equivalised net income","Euro","5,428"
"2008","Estonia","Less than 60 years","Total","Median equivalised net income","Euro","5,978"
"2008","Estonia","60 years or over","Total","Median equivalised net income","Euro","3,847"
"2008","Estonia","Less than 65 years","Total","Median equivalised net income","Euro","5,957"
"2008","Estonia","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Estonia","65 years or over","Total","Median equivalised net income","Euro","3,669"
"2008","Estonia","Less than 75 years","Total","Median equivalised net income","Euro","5,772"
"2008","Estonia","75 years or over","Total","Median equivalised net income","Euro","3,398"
"2008","Ireland","Total","Total","Median equivalised net income","Euro","22,995"
"2008","Ireland","Less than 6 years","Total","Median equivalised net income","Euro","24,388"
"2008","Ireland","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Ireland","From 6 to 11 years","Total","Median equivalised net income","Euro","21,507"
"2008","Ireland","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Ireland","From 12 to 17 years","Total","Median equivalised net income","Euro","19,708"
"2008","Ireland","Less than 16 years","Total","Median equivalised net income","Euro","21,757"
"2008","Ireland","From 16 to 24 years","Total","Median equivalised net income","Euro","22,374"
"2008","Ireland","From 16 to 64 years","Total","Median equivalised net income","Euro","24,695"
"2008","Ireland","16 years or over","Total","Median equivalised net income","Euro","23,438"
"2008","Ireland","Less than 18 years","Total","Median equivalised net income","Euro","21,507"
"2008","Ireland","From 18 to 24 years","Total","Median equivalised net income","Euro","22,896"
"2008","Ireland","From 18 to 64 years","Total","Median equivalised net income","Euro","24,830"
"2008","Ireland","18 years or over","Total","Median equivalised net income","Euro","23,590"
"2008","Ireland","From 25 to 49 years","Total","Median equivalised net income","Euro","25,868"
"2008","Ireland","From 25 to 54 years","Total","Median equivalised net income","Euro","25,791"
"2008","Ireland","From 50 to 64 years","Total","Median equivalised net income","Euro","23,763"
"2008","Ireland","From 55 to 64 years","Total","Median equivalised net income","Euro","23,516"
"2008","Ireland","Less than 60 years","Total","Median equivalised net income","Euro","23,726"
"2008","Ireland","60 years or over","Total","Median equivalised net income","Euro","18,572"
"2008","Ireland","Less than 65 years","Total","Median equivalised net income","Euro","23,659"
"2008","Ireland","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Ireland","65 years or over","Total","Median equivalised net income","Euro","17,477"
"2008","Ireland","Less than 75 years","Total","Median equivalised net income","Euro","23,370"
"2008","Ireland","75 years or over","Total","Median equivalised net income","Euro","16,938"
"2008","Greece","Total","Total","Median equivalised net income","Euro","10,800"
"2008","Greece","Less than 6 years","Total","Median equivalised net income","Euro","11,288"
"2008","Greece","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Greece","From 6 to 11 years","Total","Median equivalised net income","Euro","10,667"
"2008","Greece","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Greece","From 12 to 17 years","Total","Median equivalised net income","Euro","9,976"
"2008","Greece","Less than 16 years","Total","Median equivalised net income","Euro","10,639"
"2008","Greece","From 16 to 24 years","Total","Median equivalised net income","Euro","10,000"
"2008","Greece","From 16 to 64 years","Total","Median equivalised net income","Euro","11,512"
"2008","Greece","16 years or over","Total","Median equivalised net income","Euro","10,880"
"2008","Greece","Less than 18 years","Total","Median equivalised net income","Euro","10,524"
"2008","Greece","From 18 to 24 years","Total","Median equivalised net income","Euro","10,024"
"2008","Greece","From 18 to 64 years","Total","Median equivalised net income","Euro","11,550"
"2008","Greece","18 years or over","Total","Median equivalised net income","Euro","10,980"
"2008","Greece","From 25 to 49 years","Total","Median equivalised net income","Euro","11,810"
"2008","Greece","From 25 to 54 years","Total","Median equivalised net income","Euro","11,920"
"2008","Greece","From 50 to 64 years","Total","Median equivalised net income","Euro","11,695"
"2008","Greece","From 55 to 64 years","Total","Median equivalised net income","Euro","11,352"
"2008","Greece","Less than 60 years","Total","Median equivalised net income","Euro","11,391"
"2008","Greece","60 years or over","Total","Median equivalised net income","Euro","9,968"
"2008","Greece","Less than 65 years","Total","Median equivalised net income","Euro","11,353"
"2008","Greece","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Greece","65 years or over","Total","Median equivalised net income","Euro","9,760"
"2008","Greece","Less than 75 years","Total","Median equivalised net income","Euro","11,167"
"2008","Greece","75 years or over","Total","Median equivalised net income","Euro","9,100"
"2008","Spain","Total","Total","Median equivalised net income","Euro","13,966"
"2008","Spain","Less than 6 years","Total","Median equivalised net income","Euro","12,770"
"2008","Spain","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Spain","From 6 to 11 years","Total","Median equivalised net income","Euro","11,868"
"2008","Spain","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Spain","From 12 to 17 years","Total","Median equivalised net income","Euro","11,737"
"2008","Spain","Less than 16 years","Total","Median equivalised net income","Euro","12,213"
"2008","Spain","From 16 to 24 years","Total","Median equivalised net income","Euro","13,085"
"2008","Spain","From 16 to 64 years","Total","Median equivalised net income","Euro","14,925"
"2008","Spain","16 years or over","Total","Median equivalised net income","Euro","14,324"
"2008","Spain","Less than 18 years","Total","Median equivalised net income","Euro","12,076"
"2008","Spain","From 18 to 24 years","Total","Median equivalised net income","Euro","13,424"
"2008","Spain","From 18 to 64 years","Total","Median equivalised net income","Euro","15,016"
"2008","Spain","18 years or over","Total","Median equivalised net income","Euro","14,385"
"2008","Spain","From 25 to 49 years","Total","Median equivalised net income","Euro","14,931"
"2008","Spain","From 25 to 54 years","Total","Median equivalised net income","Euro","15,139"
"2008","Spain","From 50 to 64 years","Total","Median equivalised net income","Euro","16,185"
"2008","Spain","From 55 to 64 years","Total","Median equivalised net income","Euro","16,079"
"2008","Spain","Less than 60 years","Total","Median equivalised net income","Euro","14,436"
"2008","Spain","60 years or over","Total","Median equivalised net income","Euro","12,663"
"2008","Spain","Less than 65 years","Total","Median equivalised net income","Euro","14,485"
"2008","Spain","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Spain","65 years or over","Total","Median equivalised net income","Euro","11,966"
"2008","Spain","Less than 75 years","Total","Median equivalised net income","Euro","14,322"
"2008","Spain","75 years or over","Total","Median equivalised net income","Euro","11,224"
"2008","France","Total","Total","Median equivalised net income","Euro","18,899"
"2008","France","Less than 6 years","Total","Median equivalised net income","Euro","17,676"
"2008","France","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","France","From 6 to 11 years","Total","Median equivalised net income","Euro","17,601"
"2008","France","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","France","From 12 to 17 years","Total","Median equivalised net income","Euro","17,141"
"2008","France","Less than 16 years","Total","Median equivalised net income","Euro","17,569"
"2008","France","From 16 to 24 years","Total","Median equivalised net income","Euro","17,008"
"2008","France","From 16 to 64 years","Total","Median equivalised net income","Euro","19,546"
"2008","France","16 years or over","Total","Median equivalised net income","Euro","19,348"
"2008","France","Less than 18 years","Total","Median equivalised net income","Euro","17,551"
"2008","France","From 18 to 24 years","Total","Median equivalised net income","Euro","16,919"
"2008","France","From 18 to 64 years","Total","Median equivalised net income","Euro","19,607"
"2008","France","18 years or over","Total","Median equivalised net income","Euro","19,397"
"2008","France","From 25 to 49 years","Total","Median equivalised net income","Euro","19,404"
"2008","France","From 25 to 54 years","Total","Median equivalised net income","Euro","19,754"
"2008","France","From 50 to 64 years","Total","Median equivalised net income","Euro","21,707"
"2008","France","From 55 to 64 years","Total","Median equivalised net income","Euro","21,624"
"2008","France","Less than 60 years","Total","Median equivalised net income","Euro","18,881"
"2008","France","60 years or over","Total","Median equivalised net income","Euro","19,029"
"2008","France","Less than 65 years","Total","Median equivalised net income","Euro","19,068"
"2008","France","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","France","65 years or over","Total","Median equivalised net income","Euro","18,151"
"2008","France","Less than 75 years","Total","Median equivalised net income","Euro","19,077"
"2008","France","75 years or over","Total","Median equivalised net income","Euro","17,311"
"2008","Croatia","Total","Total","Median equivalised net income","Euro",":"
"2008","Croatia","Less than 6 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 6 to 11 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 12 to 17 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","Less than 16 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 16 to 24 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 16 to 64 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","16 years or over","Total","Median equivalised net income","Euro",":"
"2008","Croatia","Less than 18 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 18 to 24 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 18 to 64 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","18 years or over","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 25 to 49 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 25 to 54 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 50 to 64 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 55 to 64 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","Less than 60 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","60 years or over","Total","Median equivalised net income","Euro",":"
"2008","Croatia","Less than 65 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","65 years or over","Total","Median equivalised net income","Euro",":"
"2008","Croatia","Less than 75 years","Total","Median equivalised net income","Euro",":"
"2008","Croatia","75 years or over","Total","Median equivalised net income","Euro",":"
"2008","Italy","Total","Total","Median equivalised net income","Euro","15,640"
"2008","Italy","Less than 6 years","Total","Median equivalised net income","Euro","14,623"
"2008","Italy","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Italy","From 6 to 11 years","Total","Median equivalised net income","Euro","14,423"
"2008","Italy","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Italy","From 12 to 17 years","Total","Median equivalised net income","Euro","13,408"
"2008","Italy","Less than 16 years","Total","Median equivalised net income","Euro","14,301"
"2008","Italy","From 16 to 24 years","Total","Median equivalised net income","Euro","14,269"
"2008","Italy","From 16 to 64 years","Total","Median equivalised net income","Euro","16,529"
"2008","Italy","16 years or over","Total","Median equivalised net income","Euro","15,885"
"2008","Italy","Less than 18 years","Total","Median equivalised net income","Euro","14,130"
"2008","Italy","From 18 to 24 years","Total","Median equivalised net income","Euro","14,495"
"2008","Italy","From 18 to 64 years","Total","Median equivalised net income","Euro","16,631"
"2008","Italy","18 years or over","Total","Median equivalised net income","Euro","15,956"
"2008","Italy","From 25 to 49 years","Total","Median equivalised net income","Euro","16,662"
"2008","Italy","From 25 to 54 years","Total","Median equivalised net income","Euro","16,706"
"2008","Italy","From 50 to 64 years","Total","Median equivalised net income","Euro","17,554"
"2008","Italy","From 55 to 64 years","Total","Median equivalised net income","Euro","17,906"
"2008","Italy","Less than 60 years","Total","Median equivalised net income","Euro","15,976"
"2008","Italy","60 years or over","Total","Median equivalised net income","Euro","14,725"
"2008","Italy","Less than 65 years","Total","Median equivalised net income","Euro","16,065"
"2008","Italy","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Italy","65 years or over","Total","Median equivalised net income","Euro","14,135"
"2008","Italy","Less than 75 years","Total","Median equivalised net income","Euro","15,903"
"2008","Italy","75 years or over","Total","Median equivalised net income","Euro","13,590"
"2008","Cyprus","Total","Total","Median equivalised net income","Euro","16,024"
"2008","Cyprus","Less than 6 years","Total","Median equivalised net income","Euro","16,433"
"2008","Cyprus","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Cyprus","From 6 to 11 years","Total","Median equivalised net income","Euro","15,785"
"2008","Cyprus","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Cyprus","From 12 to 17 years","Total","Median equivalised net income","Euro","14,121"
"2008","Cyprus","Less than 16 years","Total","Median equivalised net income","Euro","15,388"
"2008","Cyprus","From 16 to 24 years","Total","Median equivalised net income","Euro","15,702"
"2008","Cyprus","From 16 to 64 years","Total","Median equivalised net income","Euro","17,164"
"2008","Cyprus","16 years or over","Total","Median equivalised net income","Euro","16,194"
"2008","Cyprus","Less than 18 years","Total","Median equivalised net income","Euro","15,289"
"2008","Cyprus","From 18 to 24 years","Total","Median equivalised net income","Euro","15,924"
"2008","Cyprus","From 18 to 64 years","Total","Median equivalised net income","Euro","17,398"
"2008","Cyprus","18 years or over","Total","Median equivalised net income","Euro","16,303"
"2008","Cyprus","From 25 to 49 years","Total","Median equivalised net income","Euro","17,834"
"2008","Cyprus","From 25 to 54 years","Total","Median equivalised net income","Euro","17,919"
"2008","Cyprus","From 50 to 64 years","Total","Median equivalised net income","Euro","17,586"
"2008","Cyprus","From 55 to 64 years","Total","Median equivalised net income","Euro","16,967"
"2008","Cyprus","Less than 60 years","Total","Median equivalised net income","Euro","16,887"
"2008","Cyprus","60 years or over","Total","Median equivalised net income","Euro","11,274"
"2008","Cyprus","Less than 65 years","Total","Median equivalised net income","Euro","16,848"
"2008","Cyprus","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Cyprus","65 years or over","Total","Median equivalised net income","Euro","9,886"
"2008","Cyprus","Less than 75 years","Total","Median equivalised net income","Euro","16,471"
"2008","Cyprus","75 years or over","Total","Median equivalised net income","Euro","8,832"
"2008","Latvia","Total","Total","Median equivalised net income","Euro","4,740"
"2008","Latvia","Less than 6 years","Total","Median equivalised net income","Euro","5,241"
"2008","Latvia","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Latvia","From 6 to 11 years","Total","Median equivalised net income","Euro","4,629"
"2008","Latvia","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Latvia","From 12 to 17 years","Total","Median equivalised net income","Euro","4,296"
"2008","Latvia","Less than 16 years","Total","Median equivalised net income","Euro","4,765"
"2008","Latvia","From 16 to 24 years","Total","Median equivalised net income","Euro","5,100"
"2008","Latvia","From 16 to 64 years","Total","Median equivalised net income","Euro","5,254"
"2008","Latvia","16 years or over","Total","Median equivalised net income","Euro","4,735"
"2008","Latvia","Less than 18 years","Total","Median equivalised net income","Euro","4,652"
"2008","Latvia","From 18 to 24 years","Total","Median equivalised net income","Euro","5,454"
"2008","Latvia","From 18 to 64 years","Total","Median equivalised net income","Euro","5,320"
"2008","Latvia","18 years or over","Total","Median equivalised net income","Euro","4,764"
"2008","Latvia","From 25 to 49 years","Total","Median equivalised net income","Euro","5,472"
"2008","Latvia","From 25 to 54 years","Total","Median equivalised net income","Euro","5,443"
"2008","Latvia","From 50 to 64 years","Total","Median equivalised net income","Euro","4,808"
"2008","Latvia","From 55 to 64 years","Total","Median equivalised net income","Euro","4,543"
"2008","Latvia","Less than 60 years","Total","Median equivalised net income","Euro","5,228"
"2008","Latvia","60 years or over","Total","Median equivalised net income","Euro","3,031"
"2008","Latvia","Less than 65 years","Total","Median equivalised net income","Euro","5,173"
"2008","Latvia","From 65 to 74 years","Total","Median equivalised net income","Euro",":"
"2008","Latvia","65 years or over","Total","Median equivalised net income","Euro","2,749"
"2008","Latvia","Less than 75 years","Total","Median equivalised net income","Euro","4,915"
"2008","Latvia","75 years or over","Total","Median equivalised net income","Euro","2,517"
"2008","Lithuania","Total","Total","Median equivalised net income","Euro","4,111"
"2008","Lithuania","Less than 6 years","Total","Median equivalised net income","Euro","4,533"
"2008","Lithuania","From 6 to 10 years","Total","Median equivalised net income","Euro",":"
"2008","Lithuania","From 6 to 11 years","Total","Median equivalised net income","Euro","3,933"
"2008","Lithuania","From 11 to 15 years","Total","Median equivalised net income","Euro",":"
"2008","Lithuania","From 12 to 17 years","Total","Median equivalised net income","Euro","3,733"
"2008","Lithuania","Less than 16 years","Total","Median equivalised net income","Euro","4,028"
"2008","Lithuania","From 16 to 24 years","Total","Median equivalised net income","Euro","4,031"
