"ACL00","GEO","FREQUENC","TIME","ISCED11","AGE","SEX","UNIT","Value"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","28.3"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","30.1"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","26.2"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","35.8"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","34.7"
"Cinema","Belgium","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","37.2"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","28.1"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","27.9"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","28.3"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","33.8"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","31.5"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","35.4"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","42.1"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","41.0"
"Cinema","Belgium","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","42.8"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","83.9"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","83.5"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","84.4"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","79.2"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","78.7"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","79.8"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","67.1"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","67.6"
"Cinema","Belgium","At least once","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","66.6"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","84.8"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","83.4"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","86.3"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","79.2"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","77.9"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","80.7"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","63.2"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","65.3"
"Cinema","Belgium","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","60.6"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","93.7"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","96.0"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","92.1"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","86.7"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","89.5"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","84.7"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","75.9"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","78.8"
"Cinema","Belgium","At least once","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","73.8"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","55.5"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","53.4"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","57.6"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","49.2"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","49.0"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","49.3"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","29.6"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","32.7"
"Cinema","Belgium","At least 4 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","26.6"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","58.4"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","53.7"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","63.3"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","50.9"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","47.8"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","54.5"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","27.4"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","30.5"
"Cinema","Belgium","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","23.4"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","65.6"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","68.1"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","63.8"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","52.9"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","58.0"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","49.3"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","33.9"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","37.8"
"Cinema","Belgium","At least 4 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","31.0"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","46.4"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","45.5"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","47.4"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","51.8"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","50.1"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","53.5"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","59.7"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","59.2"
"Cinema","Bulgaria","Not in the last 12 months","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","60.2"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","39.5"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","40.9"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","37.7"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","46.1"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","46.2"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","46.1"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","60.2"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","57.4"
"Cinema","Bulgaria","Not in the last 12 months","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","64.0"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","12.8"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","13.2"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","12.5"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","28.1"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","23.7"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","31.1"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","30.1"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","28.0"
"Cinema","Bulgaria","Not in the last 12 months","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","31.5"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","29.1"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","30.3"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","27.7"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","26.3"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","26.7"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","25.8"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","24.4"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","22.1"
"Cinema","Bulgaria","From 1 to 3 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","26.8"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","32.1"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","31.8"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","32.6"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","29.7"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","30.6"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","28.4"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","25.3"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","26.6"
"Cinema","Bulgaria","From 1 to 3 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","23.5"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","48.2"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","41.5"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","52.3"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","36.6"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","26.6"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","43.3"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","40.4"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","30.9"
"Cinema","Bulgaria","From 1 to 3 times","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","47.3"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","53.6"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","54.5"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","52.6"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","48.2"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","49.9"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","46.5"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","40.3"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","40.8"
"Cinema","Bulgaria","At least once","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","39.8"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","60.5"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","59.1"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","62.3"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","53.9"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","53.8"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","53.9"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","39.8"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","42.6"
"Cinema","Bulgaria","At least once","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","36.0"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","87.2"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","86.8"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","87.5"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","71.9"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","76.3"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","68.9"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Total","Percentage","69.9"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Males","Percentage","72.0"
"Cinema","Bulgaria","At least once","2015","Tertiary education (levels 5-8)","From 25 to 34 years","Females","Percentage","68.5"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Total","Percentage","24.5"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Males","Percentage","24.1"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 24 years","Females","Percentage","24.9"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Total","Percentage","22.0"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Males","Percentage","23.1"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 16 to 29 years","Females","Percentage","20.7"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Total","Percentage","15.9"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Males","Percentage","18.6"
"Cinema","Bulgaria","At least 4 times","2015","All ISCED 2011 levels ","From 25 to 34 years","Females","Percentage","13.0"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Total","Percentage","28.3"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Males","Percentage","27.3"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 24 years","Females","Percentage","29.7"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Total","Percentage","24.2"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Males","Percentage","23.2"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 16 to 29 years","Females","Percentage","25.5"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Total","Percentage","14.5"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Males","Percentage","16.0"
"Cinema","Bulgaria","At least 4 times","2015","Upper secondary and post-secondary non-tertiary education (levels 3 and 4)","From 25 to 34 years","Females","Percentage","12.5"
"Cinema","Bulgaria","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Total","Percentage","39.0"
"Cinema","Bulgaria","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Males","Percentage","45.2"
"Cinema","Bulgaria","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 24 years","Females","Percentage","35.2"
"Cinema","Bulgaria","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Total","Percentage","35.2"
"Cinema","Bulgaria","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Males","Percentage","49.7"
"Cinema","Bulgaria","At least 4 times","2015","Tertiary education (levels 5-8)","From 16 to 29 years","Females","Percentage","25.6"
