"SEX","GEO","INDIC_SE","ISCO08","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Total","Czechia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,245"
"Total","Czechia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,177"
"Total","Czechia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,154"
"Total","Czechia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","799"
"Total","Czechia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,057"
"Total","Czechia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,231"
"Total","Czechia","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","1,843"
"Total","Czechia","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,149"
"Total","Czechia","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,670"
"Total","Czechia","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","824"
"Total","Czechia","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,250"
"Total","Czechia","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1,345"
"Total","Czechia","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,207"
"Total","Czechia","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,169"
"Total","Czechia","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,302"
"Total","Czechia","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","1,073"
"Total","Czechia","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","977"
"Total","Denmark","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4,493"
"Total","Denmark","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","4,473"
"Total","Denmark","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","4,676"
"Total","Denmark","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","5,112"
"Total","Denmark","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","5,266"
"Total","Denmark","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","7,666"
"Total","Denmark","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","5,182"
"Total","Denmark","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","6,342"
"Total","Denmark","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","4,845"
"Total","Denmark","Gross earnings","Total","Construction","2018","10 employees or more","Euro","4,729"
"Total","Denmark","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4,379"
"Total","Denmark","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4,347"
"Total","Denmark","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","4,259"
"Total","Denmark","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3,849"
"Total","Denmark","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","5,190"
"Total","Denmark","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","3,173"
"Total","Denmark","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","5,941"
"Total","Denmark","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","4,892"
"Total","Denmark","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","6,382"
"Total","Denmark","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","4,515"
"Total","Denmark","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","5,853"
"Total","Denmark","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","3,956"
"Total","Denmark","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4,233"
"Total","Denmark","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","4,855"
"Total","Denmark","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4,139"
"Total","Denmark","Gross earnings","Total","Education","2018","10 employees or more","Euro","4,602"
"Total","Denmark","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,939"
"Total","Denmark","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","3,726"
"Total","Denmark","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","5,042"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,370"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,349"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,337"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","3,736"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","3,867"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","4,020"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","3,854"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","4,910"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","3,293"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Construction","2018","10 employees or more","Euro","2,981"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,242"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,198"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","2,933"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","2,894"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","2,765"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","1,966"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","4,595"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3,346"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","4,717"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,523"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,165"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","2,343"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,440"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","3,619"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,382"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Education","2018","10 employees or more","Euro","3,777"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,263"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","2,949"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","3,118"
"Total","Estonia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,386"
"Total","Estonia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,372"
"Total","Estonia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,396"
"Total","Estonia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,377"
"Total","Estonia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,367"
"Total","Estonia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,669"
"Total","Estonia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,338"
"Total","Estonia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,730"
"Total","Estonia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,325"
"Total","Estonia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,424"
"Total","Estonia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,389"
"Total","Estonia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,369"
"Total","Estonia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,369"
"Total","Estonia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,232"
"Total","Estonia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,360"
"Total","Estonia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","1,003"
"Total","Estonia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,207"
"Total","Estonia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,523"
"Total","Estonia","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","2,120"
"Total","Estonia","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,271"
"Total","Estonia","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,846"
"Total","Estonia","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","1,164"
"Total","Estonia","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,364"
"Total","Estonia","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1,554"
"Total","Estonia","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,303"
"Total","Estonia","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,231"
"Total","Estonia","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,478"
"Total","Estonia","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","1,155"
"Total","Estonia","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","1,144"
"Total","Ireland","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,786"
"Total","Ireland","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,760"
"Total","Ireland","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,679"
"Total","Ireland","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","4,016"
"Total","Ireland","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","4,125"
"Total","Ireland","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro",":"
"Total","Ireland","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","4,048"
"Total","Ireland","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro",":"
"Total","Ireland","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","3,563"
"Total","Ireland","Gross earnings","Total","Construction","2018","10 employees or more","Euro","3,612"
"Total","Ireland","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,740"
"Total","Ireland","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,705"
"Total","Ireland","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","3,301"
"Total","Ireland","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3,031"
"Total","Ireland","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","3,635"
"Total","Ireland","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","2,214"
"Total","Ireland","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","5,646"
"Total","Ireland","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","4,050"
"Total","Ireland","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","5,156"
"Total","Ireland","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,735"
"Total","Ireland","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,482"
"Total","Ireland","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","2,915"
"Total","Ireland","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,990"
"Total","Ireland","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","4,138"
"Total","Ireland","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,953"
"Total","Ireland","Gross earnings","Total","Education","2018","10 employees or more","Euro","4,468"
"Total","Ireland","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,800"
"Total","Ireland","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","2,902"
"Total","Ireland","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","3,029"
"Total","Greece","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Greece","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,446"
"Total","Greece","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,403"
"Total","Greece","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,411"
"Total","Greece","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,412"
"Total","Greece","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,717"
"Total","Greece","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,385"
"Total","Greece","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","2,053"
"Total","Greece","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,634"
"Total","Greece","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,408"
"Total","Greece","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Total","Greece","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,455"
"Total","Greece","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,319"
"Total","Greece","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,327"
"Total","Greece","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","2,156"
"Total","Greece","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","1,027"
"Total","Greece","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","1,756"
"Total","Greece","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,690"
"Total","Greece","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","2,445"
"Total","Greece","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,528"
"Total","Greece","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,917"
"Total","Greece","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","1,055"
"Total","Greece","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Total","Greece","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Total","Greece","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,596"
"Total","Greece","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,765"
"Total","Greece","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,547"
"Total","Greece","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","1,315"
"Total","Greece","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","1,230"
"Total","Spain","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2,061"
"Total","Spain","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","2,043"
"Total","Spain","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,987"
"Total","Spain","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","2,144"
"Total","Spain","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","2,214"
"Total","Spain","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","2,679"
"Total","Spain","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","2,189"
"Total","Spain","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","3,682"
"Total","Spain","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","2,093"
"Total","Spain","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,908"
"Total","Spain","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2,039"
"Total","Spain","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2,014"
"Total","Spain","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,845"
"Total","Spain","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,744"
"Total","Spain","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","2,093"
"Total","Spain","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","1,530"
